energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-5.14157079,3.57040778,0.69146785,0.00000000,1.73973754,2.32663688,0.80512102,0.00000000
-5.13556778,3.54630008,0.68225610,0.00000000,1.72758711,2.31145915,0.80045749,0.00000000
-5.12956478,3.51444060,0.67139187,0.00000000,1.71303973,2.29092255,0.79432926,0.00000000
-5.12356178,3.47543491,0.65904612,0.00000000,1.69622744,2.26548034,0.78689949,0.00000000
-5.11755878,3.42993113,0.64539735,0.00000000,1.67727009,2.23561634,0.77833764,0.00000000
-5.11155578,3.37860390,0.63062716,0.00000000,1.65627756,2.20183117,0.76881476,0.00000000
-5.10555278,3.32213939,0.61491614,0.00000000,1.63335317,2.16462926,0.75849909,0.00000000
-5.09954977,3.26122155,0.59844022,0.00000000,1.60859786,2.12450692,0.74755204,0.00000000
-5.09354677,3.19652038,0.58136764,0.00000000,1.58211491,2.08194210,0.73612477,0.00000000
-5.08754377,3.12868233,0.56385653,0.00000000,1.55401497,2.03738612,0.72435551,0.00000000
-5.08154077,3.05832327,0.54605327,0.00000000,1.52442094,1.99125760,0.71236762,0.00000000
-5.07553777,2.98602386,0.52809146,0.00000000,1.49347249,1.94393869,0.70026865,0.00000000
-5.06953477,2.91232763,0.51009162,0.00000000,1.46132992,1.89577375,0.68815017,0.00000000
-5.06353177,2.83774127,0.49216143,0.00000000,1.42817707,1.84707013,0.67608850,0.00000000
-5.05752876,2.76273705,0.47439654,0.00000000,1.39422314,1.79810101,0.66414623,0.00000000
-5.05152576,2.68775688,0.45688172,0.00000000,1.35970325,1.74910993,0.65237438,0.00000000
-5.04552276,2.61321757,0.43969239,0.00000000,1.32487770,1.70031648,0.64081499,0.00000000
-5.03951976,2.53951672,0.42289625,0.00000000,1.29002983,1.65192284,0.62950408,0.00000000
-5.03351676,2.46703872,0.40655495,0.00000000,1.25546271,1.60412062,0.61847471,0.00000000
-5.02751376,2.39616035,0.39072580,0.00000000,1.22149455,1.55709743,0.60775979,0.00000000
-5.02151076,2.32725536,0.37546319,0.00000000,1.18845313,1.51104287,0.59739476,0.00000000
-5.01550775,2.26069772,0.36081985,0.00000000,1.15666948,1.46615343,0.58741960,0.00000000
-5.00950475,2.19686318,0.34684772,0.00000000,1.12647086,1.42263593,0.57788027,0.00000000
-5.00350175,2.13612885,0.33359854,0.00000000,1.09817349,1.38070940,0.56882942,0.00000000
-4.99749875,2.07887081,0.32112391,0.00000000,1.07207518,1.34060517,0.56032617,0.00000000
-4.99149575,2.02545977,0.30947506,0.00000000,1.04844814,1.30256515,0.55243515,0.00000000
-4.98549275,1.97625491,0.29870220,0.00000000,1.02753224,1.26683841,0.54522480,0.00000000
-4.97948974,1.93159625,0.28885351,0.00000000,1.00952892,1.23367635,0.53876483,0.00000000
-4.97348674,1.89179604,0.27997385,0.00000000,0.99459608,1.20332655,0.53312331,0.00000000
-4.96748374,1.85712949,0.27210327,0.00000000,0.98284398,1.17602584,0.52836333,0.00000000
-4.96148074,1.82782553,0.26527540,0.00000000,0.97433248,1.15199295,0.52453943,0.00000000
-4.95547774,1.80405823,0.25951582,0.00000000,0.96906965,1.13142108,0.52169427,0.00000000
-4.94947474,1.78593918,0.25484057,0.00000000,0.96701184,1.11447100,0.51985537,0.00000000
-4.94347174,1.77351167,0.25125478,0.00000000,0.96806539,1.10126492,0.51903253,0.00000000
-4.93746873,1.76674689,0.24875169,0.00000000,0.97208971,1.09188158,0.51921578,0.00000000
