energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
0.65732866,0.48080612,0.23194183,0.00000000,0.07808046,0.24547205,0.23041584,0.00000000
0.66333167,0.48890788,0.23720223,0.00000000,0.08060232,0.24775106,0.23741707,0.00000000
0.66933467,0.49581172,0.24165508,0.00000000,0.08331061,0.24959252,0.24339745,0.00000000
0.67533767,0.50126664,0.24518504,0.00000000,0.08624607,0.25084044,0.24826346,0.00000000
0.68134067,0.50509818,0.24771350,0.00000000,0.08947422,0.25137427,0.25196104,0.00000000
0.68734367,0.50721919,0.24920325,0.00000000,0.09308782,0.25111473,0.25447993,0.00000000
0.69334667,0.50763730,0.24966155,0.00000000,0.09720842,0.25002786,0.25585671,0.00000000
0.69934967,0.50645894,0.24914159,0.00000000,0.10198710,0.24812735,0.25617608,0.00000000
0.70535268,0.50388947,0.24774210,0.00000000,0.10760398,0.24547497,0.25557050,0.00000000
0.71135568,0.50022965,0.24560525,0.00000000,0.11426654,0.24217912,0.25421794,0.00000000
0.71735868,0.49586832,0.24291277,0.00000000,0.12220664,0.23839169,0.25233803,0.00000000
0.72336168,0.49127163,0.23988044,0.00000000,0.13167614,0.23430315,0.25018642,0.00000000
0.72936468,0.48696915,0.23675119,0.00000000,0.14294112,0.23013628,0.24804772,0.00000000
0.73536768,0.48353727,0.23378698,0.00000000,0.15627475,0.22613868,0.24622713,0.00000000
0.74137069,0.48158051,0.23125979,0.00000000,0.17194887,0.22257435,0.24504104,0.00000000
0.74737369,0.48171117,0.22944202,0.00000000,0.19022438,0.21971456,0.24480689,0.00000000
0.75337669,0.48452821,0.22859659,0.00000000,0.21134086,0.21782847,0.24583265,0.00000000
0.75937969,0.49059575,0.22896720,0.00000000,0.23550535,0.21717370,0.24840620,0.00000000
0.76538269,0.50042207,0.23076891,0.00000000,0.26288099,0.21798706,0.25278493,0.00000000
0.77138569,0.51443964,0.23417961,0.00000000,0.29357564,0.22047596,0.25918600,0.00000000
0.77738869,0.53298685,0.23933238,0.00000000,0.32763113,0.22481046,0.26777748,0.00000000
0.78339170,0.55629205,0.24630932,0.00000000,0.36501348,0.23111644,0.27867064,0.00000000
0.78939470,0.58446037,0.25513684,0.00000000,0.40560463,0.23946989,0.29191382,0.00000000
0.79539770,0.61746383,0.26578269,0.00000000,0.44919618,0.24989260,0.30748791,0.00000000
