energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
5.42371186,2.25814272,2.07719178,0.96014520,0.18587340,0.40914018,0.30642034,0.08836693
5.42971486,2.34650556,2.15836715,0.99792731,0.19733463,0.42339558,0.32070392,0.09091237
5.43571786,2.43245298,2.23957553,1.03466495,0.20846275,0.43722027,0.33407134,0.09328859
5.44172086,2.51502408,2.32004823,1.07003445,0.21911798,0.45048437,0.34628976,0.09546017
5.44772386,2.59333250,2.39906269,1.10375622,0.22916319,0.46307697,0.35714744,0.09739570
5.45372686,2.66658739,2.47595753,1.13559865,0.23846704,0.47490853,0.36645936,0.09906886
5.45972986,2.73411128,2.55014434,1.16538022,0.24690704,0.48591254,0.37407231,0.10045937
5.46573287,2.79535384,2.62111578,1.19296956,0.25437247,0.49604624,0.37986904,0.10155365
5.47173587,2.84990103,2.68844970,1.21828366,0.26076710,0.50529037,0.38377152,0.10234523
5.47773887,2.89747922,2.75180925,1.24128431,0.26601144,0.51364805,0.38574282,0.10283483
5.48374187,2.93795421,2.81093911,1.26197308,0.27004461,0.52114260,0.38578787,0.10303027
5.48974487,2.97132520,2.86565821,1.28038498,0.27282568,0.52781461,0.38395269,0.10294589
5.49574787,2.99771409,2.91584951,1.29658139,0.27433438,0.53371822,0.38032244,0.10260194
5.50175088,3.01735079,2.96144753,1.31064241,0.27457129,0.53891694,0.37501803,0.10202353
5.50775388,3.03055529,3.00242440,1.32265916,0.27355732,0.54347903,0.36819174,0.10123958
5.51375688,3.03771753,3.03877534,1.33272643,0.27133276,0.54747291,0.36002186,0.10028152
5.51975988,3.03927611,3.07050452,1.34093594,0.26795569,0.55096267,0.35070653,0.09918204
5.52576288,3.03569706,3.09761204,1.34737065,0.26350007,0.55400398,0.34045727,0.09797376
5.53176588,3.02745372,3.12008300,1.35210036,0.25805343,0.55664071,0.32949230,0.09668804
5.53776888,3.01500894,3.13787934,1.35517881,0.25171435,0.55890240,0.31802996,0.09535389
5.54377189,2.99880041,3.15093495,1.35664241,0.24458987,0.56080274,0.30628256,0.09399703
5.54977489,2.97922983,3.15915455,1.35651063,0.23679278,0.56233923,0.29445087,0.09263924
5.55577789,2.95665659,3.16241644,1.35478817,0.22843919,0.56349400,0.28271950,0.09129788
5.56178089,2.93139598,3.16057919,1.35146856,0.21964608,0.56423587,0.27125317,0.08998570
5.56778389,2.90372203,3.15349202,1.34653924,0.21052929,0.56452344,0.26019426,0.08871093
5.57378689,2.87387451,3.14100829,1.33998767,0.20120165,0.56430917,0.24966134,0.08747753
5.57978989,2.84206952,3.12300166,1.33180829,0.19177155,0.56354415,0.23974890,0.08628576
