energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-5.86193097,0.97801488,0.00853229,0.01953038,0.01358254,0.49358024,0.09667848,0.06690145,0.24075122,0.06610658
-5.85592796,1.01562384,0.00913594,0.01851854,0.01450462,0.52174447,0.10355578,0.06937829,0.26258698,0.06412070
-5.84992496,1.06520393,0.00982319,0.01791958,0.01557838,0.55528114,0.11142775,0.07272259,0.28651319,0.06321869
-5.84392196,1.12521340,0.01058217,0.01769976,0.01678743,0.59344101,0.12015109,0.07683372,0.31218672,0.06327806
-5.83791896,1.19398210,0.01139939,0.01782826,0.01811363,0.63539599,0.12956785,0.08160497,0.33921759,0.06417123
-5.83191596,1.26974041,0.01225995,0.01827802,0.01953754,0.68025231,0.13950781,0.08692567,0.36717408,0.06576808
-5.82591296,1.35065201,0.01314784,0.01902659,0.02103892,0.72706645,0.14979148,0.09268361,0.39558981,0.06793841
-5.81990995,1.43485028,0.01404626,0.02005691,0.02259727,0.77486360,0.16023378,0.09876767,0.42397277,0.07055425
-5.81390695,1.52047817,0.01493802,0.02135795,0.02419242,0.82265849,0.17064835,0.10507071,0.45181616,0.07349206
-5.80790395,1.60573049,0.01580594,0.02292536,0.02580520,0.86947823,0.18085227,0.11149257,0.47861078,0.07663492
-5.80190095,1.68889782,0.01663327,0.02476191,0.02741806,0.91438640,0.19067124,0.11794306,0.50385851,0.07987441
-5.79589795,1.76841023,0.01740421,0.02687787,0.02901574,0.95650764,0.19994480,0.12434500,0.52708649,0.08311249
-5.78989495,1.84287948,0.01810424,0.02929113,0.03058578,0.99505173,0.20853156,0.13063692,0.54786128,0.08626309
-5.78389195,1.91113751,0.01872064,0.03202713,0.03211904,1.02933625,0.21631409,0.13677543,0.56580253,0.08925343
-5.77788894,1.97226944,0.01924280,0.03511855,0.03361004,1.05880653,0.22320325,0.14273716,0.58059542,0.09202503
-5.77188594,2.02563923,0.01966250,0.03860469,0.03505715,1.08305209,0.22914176,0.14851985,0.59200129,0.09453441
-5.76588294,2.07090634,0.01997419,0.04253051,0.03646265,1.10181846,0.23410672,0.15414282,0.59986592,0.09675321
-5.75987994,2.10803215,0.02017507,0.04694536,0.03783249,1.11501386,0.23811101,0.15964642,0.60412496,0.09866802
-5.75387694,2.13727525,0.02026511,0.05190137,0.03917598,1.12271005,0.24120330,0.16509062,0.60480633,0.10027961
-5.74787394,2.15917550,0.02024701,0.05745149,0.04050515,1.12513726,0.24346685,0.17055252,0.60202918,0.10160172
-5.74187094,2.17452697,0.02012595,0.06364733,0.04183405,1.12267329,0.24501681,0.17612309,0.59599970,0.10265946
-5.73586793,2.18434087,0.01990936,0.07053667,0.04317781,1.11582716,0.24599636,0.18190293,0.58700374,0.10348721
-5.72986493,2.18979994,0.01960656,0.07816093,0.04455168,1.10521806,0.24657172,0.18799743,0.57539660,0.10412635
-5.72386193,2.19220625,0.01922830,0.08655249,0.04596990,1.09155049,0.24692620,0.19451148,0.56159055,0.10462270
-5.71785893,2.19292486,0.01878633,0.09573223,0.04744470,1.07558685,0.24725369,0.20154384,0.54604058,0.10502386
-5.71185593,2.19332603,0.01829288,0.10570707,0.04898526,1.05811860,0.24775169,0.20918161,0.52922903,0.10537670
-5.70585293,2.19472860,0.01776024,0.11646802,0.05059687,1.03993755,0.24861434,0.21749494,0.51164983,0.10572488
-5.69984992,2.19834736,0.01720026,0.12798854,0.05228018,1.02180836,0.25002569,0.22653234,0.49379296,0.10610674
-5.69384692,2.20524672,0.01662399,0.14022350,0.05403077,1.00444359,0.25215348,0.23631675,0.47612992,0.10655354
-5.68784392,2.21630270,0.01604133,0.15310880,0.05583891,0.98848225,0.25514370,0.24684276,0.45910057,0.10708821
-5.68184092,2.23217493,0.01546081,0.16656163,0.05768963,0.97447262,0.25911611,0.25807487,0.44310189,0.10772455
-5.67583792,2.25328940,0.01488942,0.18048155,0.05956307,0.96285981,0.26416085,0.26994724,0.42847903,0.10846701
-5.66983492,2.27983236,0.01433255,0.19475226,0.06143515,0.95397843,0.27033630,0.28236466,0.41551874,0.10931104
-5.66383192,2.31175504,0.01379403,0.20924401,0.06327840,0.94804998,0.27766800,0.29520496,0.40444521,0.11024386
-5.65782891,2.34878825,0.01327625,0.22381671,0.06506307,0.94518493,0.28614879,0.30832255,0.39541836,0.11124566
-5.65182591,2.39046535,0.01278031,0.23832340,0.06675837,0.94538874,0.29573991,0.32155309,0.38853426,0.11229122
-5.64582291,2.43615195,0.01230633,0.25261420,0.06833381,0.94857102,0.30637302,0.33471897,0.38382743,0.11335160
-5.63981991,2.48507996,0.01185363,0.26654026,0.06976048,0.95455720,0.31795281,0.34763538,0.38127476,0.11439604
-5.63381691,2.53638422,0.01142113,0.27995787,0.07101243,0.96310157,0.33036021,0.36011667,0.38080049,0.11539381
-5.62781391,2.58913928,0.01100759,0.29273226,0.07206775,0.97390106,0.34345585,0.37198265,0.38228214,0.11631593
-5.62181091,2.64239454,0.01061192,0.30474115,0.07290961,0.98660878,0.35708374,0.38306466,0.38555681,0.11713663
-5.61580790,2.69520628,0.01023342,0.31587771,0.07352698,1.00084687,0.37107490,0.39321100,0.39042774,0.11783459
-5.60980490,2.74666525,0.00987204,0.32605306,0.07391516,1.01621812,0.38525105,0.40229163,0.39667076,0.11839379
