energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.20760380,4.55852130,0.06394767,0.66958144,0.95546255,0.32060278,0.06818522,1.92078006,2.16553618,0.81185452
-5.20160080,4.52099960,0.06466759,0.67310454,0.95214111,0.30162479,0.06701787,1.89414588,2.11409629,0.83575110
-5.19559780,4.48506402,0.06532638,0.67592624,0.94908452,0.28386117,0.06595157,1.86919548,2.06345558,0.85852287
-5.18959480,4.45176250,0.06591053,0.67809323,0.94637018,0.26761632,0.06501104,1.84649775,2.01468497,0.87998428
-5.18359180,4.42202269,0.06640661,0.67964298,0.94404402,0.25317933,0.06422032,1.82655419,1.96870781,0.89996786
-5.17758879,4.39665145,0.06680149,0.68060224,0.94212393,0.24082257,0.06360292,1.80980027,1.92628287,0.91832878
-5.17158579,4.37634241,0.06708259,0.68098660,0.94060463,0.23080108,0.06318204,1.79661048,1.88799598,0.93494922
-5.16558279,4.36168982,0.06723811,0.68080114,0.93946396,0.22335256,0.06298075,1.78730643,1.85426021,0.94974234
-5.15957979,4.35320715,0.06725727,0.68004187,0.93867000,0.21869760,0.06302212,1.78216684,1.82532403,0.96265554
-5.15357679,4.35134812,0.06713051,0.67869798,0.93818865,0.21703995,0.06332920,1.78143857,1.80128652,0.97367300
-5.14757379,4.35652794,0.06684973,0.67675461,0.93799113,0.21856646,0.06392488,1.78534727,1.78211831,0.98281695
-5.14157079,4.36914266,0.06640842,0.67419604,0.93806104,0.22344654,0.06483158,1.79410677,1.76768672,0.99014797
-5.13556778,4.38958438,0.06580189,0.67100885,0.93840032,0.23183079,0.06607063,1.80792600,1.75778354,0.99576379
-5.12956478,4.41825053,0.06502735,0.66718517,0.93903387,0.24384880,0.06766152,1.82701276,1.75215338,0.99979686
-5.12356178,4.45554606,0.06408413,0.66272535,0.94001242,0.25960584,0.06962090,1.85157356,1.75052119,1.00241049
-5.11755878,4.50187737,0.06297371,0.65764029,0.94141342,0.27917881,0.07196141,1.88180932,1.75261717,1.00379375
-5.11155578,4.55763790,0.06169982,0.65195291,0.94333978,0.30261112,0.07469039,1.91790670,1.75819769,1.00415509
-5.10555278,4.62318568,0.06026848,0.64569889,0.94591651,0.32990709,0.07780851,1.96002560,1.76706124,1.00371510
-5.09954977,4.69881380,0.05868797,0.63892642,0.94928542,0.36102599,0.08130839,2.00828313,1.77905856,1.00269843
-5.09354677,4.78471549,0.05696878,0.63169507,0.95359798,0.39587608,0.08517335,2.06273525,1.79409670,1.00132525
-5.08754377,4.88094575,0.05512349,0.62407381,0.95900691,0.43430914,0.08937635,2.12335697,1.81213692,0.99980265
-5.08154077,4.98738236,0.05316656,0.61613819,0.96565684,0.47611588,0.09387918,2.19002267,1.83318696,0.99831627
