energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
5.68184092,1.58516619,1.79908979,0.21964905,0.70316578,0.01830138,0.26511903,0.00000000
5.68784392,1.57532393,1.75132046,0.21754882,0.68367355,0.01819958,0.25879321,0.00000000
5.69384692,1.56039493,1.69815625,0.21485501,0.66182319,0.01805139,0.25167753,0.00000000
5.69984992,1.54100433,1.64095959,0.21166824,0.63808044,0.01786826,0.24399200,0.00000000
5.70585293,1.51790590,1.58118964,0.20810233,0.61292078,0.01766381,0.23597043,0.00000000
5.71185593,1.49196661,1.52036645,0.20428196,0.58681682,0.01745360,0.22785523,0.00000000
5.71785893,1.46414818,1.46003496,0.20034001,0.56022681,0.01725483,0.21989208,0.00000000
5.72386193,1.43548564,1.40172951,0.19641473,0.53358480,0.01708589,0.21232468,0.00000000
5.72986493,1.40706316,1.34693932,0.19264683,0.50729252,0.01696595,0.20538948,0.00000000
5.73586793,1.37998744,1.29707561,0.18917628,0.48171306,0.01691444,0.19931059,0.00000000
5.74187094,1.35535901,1.25344036,0.18613908,0.45716630,0.01695043,0.19429486,0.00000000
5.74787394,1.33424184,1.21719735,0.18366387,0.43392593,0.01709206,0.19052712,0.00000000
5.75387694,1.31763198,1.18934527,0.18186844,0.41221789,0.01735588,0.18816579,0.00000000
5.75987994,1.30642586,1.17069360,0.18085627,0.39222010,0.01775619,0.18733871,0.00000000
5.76588294,1.30138916,1.16184118,0.18071306,0.37406291,0.01830443,0.18813935,0.00000000
5.77188594,1.30312729,1.16315810,0.18150340,0.35783048,0.01900858,0.19062357,0.00000000
5.77788894,1.31205851,1.17477129,0.18326776,0.34356252,0.01987259,0.19480684,0.00000000
5.78389195,1.32839088,1.19655439,0.18601982,0.33125639,0.02089595,0.20066223,0.00000000
5.78989495,1.35210428,1.22812254,0.18974437,0.32086956,0.02207337,0.20811922,0.00000000
5.79589795,1.38293846,1.26883276,0.19439590,0.31232214,0.02339454,0.21706340,0.00000000
5.80190095,1.42038834,1.31779054,0.19989798,0.30549974,0.02484410,0.22733734,0.00000000
5.80790395,1.46370708,1.37386316,0.20614366,0.30025654,0.02640175,0.23874260,0.00000000
5.81390695,1.51191772,1.43569999,0.21299688,0.29641876,0.02804257,0.25104305,0.00000000
5.81990995,1.56383334,1.50176011,0.22029494,0.29378847,0.02973745,0.26396948,0.00000000
5.82591296,1.61808572,1.57034674,0.22785214,0.29214796,0.03145383,0.27722541,0.00000000
5.83191596,1.67316183,1.63964822,0.23546436,0.29126461,0.03315644,0.29049425,0.00000000
5.83791896,1.72744709,1.70778444,0.24291465,0.29089622,0.03480830,0.30344723,0.00000000
5.84392196,1.77927413,1.77285750,0.24997956,0.29079697,0.03637179,0.31575239,0.00000000
5.84992496,1.82697517,1.83300513,0.25643592,0.29072352,0.03780974,0.32708384,0.00000000
5.85592796,1.86893615,1.88645475,0.26206799,0.29044159,0.03908665,0.33713134,0.00000000
5.86193097,1.90365023,1.93157647,0.26667458,0.28973233,0.04016981,0.34560962,0.00000000
5.86793397,1.92976868,1.96693265,0.27007577,0.28839866,0.04103032,0.35226713,0.00000000
5.87393697,1.94614678,1.99132210,0.27211910,0.28627108,0.04164412,0.35689379,0.00000000
5.87993997,1.95188288,2.00381711,0.27268483,0.28321292,0.04199275,0.35932754,0.00000000
5.88594297,1.94634889,2.00379153,0.27169002,0.27912460,0.04206397,0.35945919,0.00000000
5.89194597,1.92921092,1.99093889,0.26909138,0.27394693,0.04185214,0.35723552,0.00000000
5.89794897,1.90043937,1.96527970,0.26488665,0.26766325,0.04135836,0.35266040,0.00000000
5.90395198,1.86030806,1.92715784,0.25911444,0.26030028,0.04059044,0.34579393,0.00000000
5.90995498,1.80938285,1.87722617,0.25185273,0.25192779,0.03956251,0.33674967,0.00000000
5.91595798,1.74850037,1.81642246,0.24321590,0.24265713,0.03829457,0.32568996,0.00000000
5.92196098,1.67873822,1.74593665,0.23335067,0.23263866,0.03681171,0.31281985,0.00000000
5.92796398,1.60137821,1.66717129,0.22243099,0.22205840,0.03514330,0.29837966,0.00000000
5.93396698,1.51786453,1.58169706,0.21065232,0.21113390,0.03332199,0.28263666,0.00000000
5.93996998,1.42975886,1.49120538,0.19822533,0.20010978,0.03138268,0.26587629,0.00000000
5.94597299,1.33869461,1.39746027,0.18536962,0.18925296,0.02936149,0.24839318,0.00000000
5.95197599,1.24633200,1.30225145,0.17230746,0.17884784,0.02729477,0.23048252,0.00000000
5.95797899,1.15431600,1.20735034,0.15925795,0.16919166,0.02521808,0.21243197,0.00000000
5.96398199,1.06423834,1.11447061,0.14643178,0.16059005,0.02316540,0.19451451,0.00000000
5.96998499,0.97760478,1.02523414,0.13402666,0.15335287,0.02116841,0.17698238,0.00000000
5.97598799,0.89580841,0.94114317,0.12222373,0.14779041,0.01925589,0.16006236,0.00000000
5.98199100,0.82010895,0.86355890,0.11118474,0.14420978,0.01745330,0.14395231,0.00000000
5.98799400,0.75161833,0.79368631,0.10105016,0.14291156,0.01578248,0.12881918,0.00000000
5.99399700,0.69129176,0.73256471,0.09193818,0.14418642,0.01426156,0.11479822,0.00000000
6.00000000,0.63992377,0.68106342,0.08394436,0.14831178,0.01290490,0.10199348,0.00000000
