energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-3.68284142,1.11338804,0.28428518,0.46858993,0.00040019,0.07025590,0.56363862,0.00000000,0.24743391,0.11056880
-3.67683842,1.13909111,0.29332683,0.48272593,0.00040984,0.07107475,0.57489734,0.00000000,0.25199129,0.11211754
-3.67083542,1.16049691,0.30179870,0.49513769,0.00041760,0.07148227,0.58379981,0.00000000,0.25542585,0.11323951
-3.66483242,1.17742627,0.30967094,0.50574208,0.00042318,0.07147057,0.59018311,0.00000000,0.25774110,0.11392874
-3.65882941,1.18984414,0.31695388,0.51451608,0.00042641,0.07104202,0.59395186,0.00000000,0.25897074,0.11419388
-3.65282641,1.19785890,0.32369763,0.52149816,0.00042716,0.07020893,0.59507816,0.00000000,0.25917730,0.11405756
-3.64682341,1.20171722,0.32999054,0.52678791,0.00042539,0.06899298,0.59359934,0.00000000,0.25844968,0.11355530
-3.64082041,1.20179446,0.33595630,0.53054369,0.00042112,0.06742432,0.58961386,0.00000000,0.25689981,0.11273398
-3.63481741,1.19858135,0.34174990,0.53297860,0.00041446,0.06554039,0.58327521,0.00000000,0.25465847,0.11165003
-3.62881441,1.19266723,0.34755270,0.53435467,0.00040559,0.06338452,0.57478443,0.00000000,0.25187054,0.11036733
-3.62281141,1.18472060,0.35356659,0.53497582,0.00039474,0.06100443,0.56438134,0.00000000,0.24868973,0.10895496
-3.61680840,1.17546783,0.36000775,0.53517954,0.00038221,0.05845057,0.55233487,0.00000000,0.24527321,0.10748483
-3.61080540,1.16567074,0.36710005,0.53532785,0.00036833,0.05577452,0.53893302,0.00000000,0.24177618,0.10602934
-3.60480240,1.15610392,0.37506836,0.53579771,0.00035348,0.05302737,0.52447265,0.00000000,0.23834673,0.10465907
-3.59879940,1.14753268,0.38413208,0.53697136,0.00033805,0.05025831,0.50924968,0.00000000,0.23512107,0.10344063
-3.59279640,1.14069219,0.39449904,0.53922675,0.00032245,0.04751328,0.49354997,0.00000000,0.23221945,0.10243476
-3.58679340,1.13626871,0.40635984,0.54292853,0.00030709,0.04483396,0.47764123,0.00000000,0.22974276,0.10169463
-3.58079040,1.13488319,0.41988297,0.54841968,0.00029236,0.04225694,0.46176629,0.00000000,0.22777003,0.10126449
-3.57478739,1.13707780,0.43521060,0.55601413,0.00027864,0.03981317,0.44613784,0.00000000,0.22635683,0.10117864
