energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-4.93746873,1.61473454,0.00677335,0.00000000,0.01715030,0.34638371,0.53166768,0.61256943,0.00534565,0.57107088
-4.93146573,1.55917378,0.00666146,0.00000000,0.01699054,0.32930695,0.50744380,0.59436460,0.00505643,0.55232560
-4.92546273,1.50791675,0.00656301,0.00000000,0.01685560,0.31348602,0.48527074,0.57744843,0.00479637,0.53521855
-4.91945973,1.46063339,0.00647481,0.00000000,0.01673295,0.29889749,0.46500001,0.56172233,0.00456294,0.51958520
-4.91345673,1.41687704,0.00639335,0.00000000,0.01660971,0.28548337,0.44645046,0.54704711,0.00435310,0.50522136
-4.90745373,1.37611381,0.00631492,0.00000000,0.01647317,0.27315655,0.42941848,0.53325355,0.00416349,0.49189476
-4.90145073,1.33775465,0.00623577,0.00000000,0.01631136,0.26180701,0.41368883,0.52015421,0.00399056,0.47935738
-4.89544772,1.30118865,0.00615230,0.00000000,0.01611353,0.25130856,0.39904591,0.50755587,0.00383077,0.46735811
-4.88944472,1.26581643,0.00606115,0.00000000,0.01587054,0.24152578,0.38528476,0.49527192,0.00368072,0.45565518
-4.88344172,1.23108193,0.00595936,0.00000000,0.01557521,0.23232094,0.37222156,0.48313449,0.00353725,0.44402790
-4.87743872,1.19650166,0.00584450,0.00000000,0.01522253,0.22356053,0.35970313,0.47100548,0.00339757,0.43228716
-4.87143572,1.16169000,0.00571476,0.00000000,0.01480977,0.21512131,0.34761525,0.45878625,0.00325933,0.42028448
-4.86543272,1.12637995,0.00556902,0.00000000,0.01433652,0.20689550,0.33588943,0.44642546,0.00312067,0.40791914
-4.85942971,1.09043831,0.00540687,0.00000000,0.01380459,0.19879513,0.32450800,0.43392481,0.00298024,0.39514334
-4.85342671,1.05387512,0.00522866,0.00000000,0.01321785,0.19075520,0.31350743,0.42134241,0.00283718,0.38196510
-4.84742371,1.01684707,0.00503549,0.00000000,0.01258198,0.18273588,0.30297988,0.40879361,0.00269117,0.36844911
-4.84142071,0.97965499,0.00482913,0.00000000,0.01190421,0.17472349,0.29307295,0.39644945,0.00254229,0.35471540
-4.83541771,0.94273577,0.00461204,0.00000000,0.01119292,0.16673039,0.28398786,0.38453252,0.00239105,0.34093612
-4.82941471,0.90664922,0.00438721,0.00000000,0.01045732,0.15879397,0.27597609,0.37331072,0.00223830,0.32733071
-4.82341171,0.87206055,0.00415812,0.00000000,0.00970706,0.15097463,0.26933477,0.36308884,0.00208513,0.31415951
-4.81740870,0.83971935,0.00392865,0.00000000,0.00895188,0.14335311,0.26440092,0.35419851,0.00193284,0.30171644
-4.81140570,0.81043591,0.00370293,0.00000000,0.00820129,0.13602727,0.26154493,0.34698681,0.00178284,0.29032083
-4.80540270,0.78505581,0.00348527,0.00000000,0.00746427,0.12910839,0.26116321,0.34180384,0.00163659,0.28030883
-4.79939970,0.76443375,0.00328005,0.00000000,0.00674901,0.12271733,0.26367048,0.33898988,0.00149555,0.27202466
-4.79339670,0.74940736,0.00309163,0.00000000,0.00606278,0.11698051,0.26949164,0.33886229,0.00136110,0.26581205
-4.78739370,0.74077194,0.00292423,0.00000000,0.00541173,0.11202608,0.27905344,0.34170290,0.00123451,0.26200598
-4.78139070,0.73925672,0.00278189,0.00000000,0.00480084,0.10798017,0.29277612,0.34774607,0.00111692,0.26092501
-4.77538769,0.74550320,0.00266834,0.00000000,0.00423391,0.10496341,0.31106495,0.35716787,0.00100929,0.26286421
-4.76938469,0.76004623,0.00258701,0.00000000,0.00371357,0.10308782,0.33430185,0.37007686,0.00091238,0.26808895
-4.76338169,0.78329802,0.00254092,0.00000000,0.00324135,0.10245406,0.36283717,0.38650663,0.00082678,0.27682948
-4.75737869,0.81553547,0.00253265,0.00000000,0.00281776,0.10314906,0.39698155,0.40641052,0.00075288,0.28927628
-4.75137569,0.85689100,0.00256431,0.00000000,0.00244246,0.10524400,0.43699814,0.42965866,0.00069086,0.30557637
-4.74537269,0.90734701,0.00263747,0.00000000,0.00211434,0.10879280,0.48309504,0.45603756,0.00064074,0.32583032
-4.73936968,0.96673399,0.00275319,0.00000000,0.00183171,0.11383084,0.53541830,0.48525229,0.00060237,0.35009019
