energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-4.97948974,1.73452957,0.28363491,0.00000000,0.65522348,0.76082721,0.36148324,0.00000000
-4.97348674,1.72310411,0.28389523,0.00000000,0.65411967,0.75531567,0.35709376,0.00000000
-4.96748374,1.70508064,0.28282919,0.00000000,0.64968095,0.74683367,0.35159744,0.00000000
-4.96148074,1.68070679,0.28043831,0.00000000,0.64196928,0.73546724,0.34512256,0.00000000
-4.95547774,1.65037980,0.27675437,0.00000000,0.63111612,0.72136858,0.33782062,0.00000000
-4.94947474,1.61463839,0.27183888,0.00000000,0.61732005,0.70475347,0.32986273,0.00000000
-4.94347174,1.57414992,0.26578142,0.00000000,0.60084259,0.68589663,0.32143548,0.00000000
-4.93746873,1.52969336,0.25869717,0.00000000,0.58200203,0.66512522,0.31273639,0.00000000
-4.93146573,1.48213887,0.25072350,0.00000000,0.56116586,0.64281087,0.30396896,0.00000000
-4.92546273,1.43242492,0.24201597,0.00000000,0.53874196,0.61936049,0.29533779,0.00000000
-4.91945973,1.38153387,0.23274378,0.00000000,0.51516892,0.59520630,0.28704377,0.00000000
-4.91345673,1.33046712,0.22308500,0.00000000,0.49090598,0.57079554,0.27927954,0.00000000
-4.90745373,1.28022088,0.21322167,0.00000000,0.46642285,0.54658024,0.27222545,0.00000000
-4.90145073,1.23176346,0.20333508,0.00000000,0.44218983,0.52300747,0.26604620,0.00000000
-4.89544772,1.18601490,0.19360133,0.00000000,0.41866858,0.50051040,0.26088811,0.00000000
-4.88944472,1.14382977,0.18418734,0.00000000,0.39630367,0.47950049,0.25687726,0.00000000
-4.88344172,1.10598328,0.17524754,0.00000000,0.37551523,0.46036101,0.25411843,0.00000000
-4.87743872,1.07316120,0.16692111,0.00000000,0.35669267,0.44344189,0.25269480,0.00000000
-4.87143572,1.04595345,0.15933007,0.00000000,0.34018957,0.42905606,0.25266834,0.00000000
-4.86543272,1.02485098,0.15257798,0.00000000,0.32631959,0.41747710,0.25408086,0.00000000
-4.85942971,1.01024567,0.14674937,0.00000000,0.31535344,0.40893804,0.25695532,0.00000000
-4.85342671,1.00243249,0.14190976,0.00000000,0.30751652,0.40363108,0.26129752,0.00000000
-4.84742371,1.00161315,0.13810610,0.00000000,0.30298724,0.40170793,0.26709766,0.00000000
