energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
1.47973987,6.00393396,0.00661508,0.38994235,0.05697082,0.22622478,0.08004228,5.56090149
1.48574287,5.88391470,0.00647759,0.38266656,0.05584425,0.23041264,0.08030769,5.44959267
1.49174587,5.77531572,0.00635380,0.37661274,0.05470824,0.23502332,0.08067824,5.34894838
1.49774887,5.68083618,0.00625072,0.37196484,0.05357976,0.24006393,0.08115872,5.26152527
1.50375188,5.60290219,0.00617535,0.36888073,0.05247326,0.24555003,0.08175614,5.18962450
1.50975488,5.54362768,0.00613445,0.36748930,0.05140034,0.25150526,0.08247979,5.13525571
1.51575788,5.50479139,0.00613444,0.36788882,0.05036956,0.25796097,0.08334136,5.10011619
1.52176088,5.48783011,0.00618115,0.37014668,0.04938644,0.26495580,0.08435517,5.08558531
1.52776388,5.49384741,0.00627976,0.37430042,0.04845349,0.27253532,0.08553839,5.09273329
1.53376688,5.52363612,0.00643460,0.38036004,0.04757044,0.28075163,0.08691139,5.12234268
1.53976988,5.57771228,0.00664910,0.38831140,0.04673461,0.28966282,0.08849802,5.17494039
1.54577289,5.65635764,0.00692563,0.39812049,0.04594127,0.29933240,0.09032597,5.25083735
1.55177589,5.75966727,0.00726549,0.40973826,0.04518416,0.30982853,0.09242705,5.35017262
1.55777889,5.88759879,0.00766878,0.42310583,0.04445604,0.32122305,0.09483739,5.47295862
1.56378189,6.04001944,0.00813440,0.43815958,0.04374921,0.33359036,0.09759756,5.61912394
1.56978489,6.21674767,0.00866004,0.45483593,0.04305607,0.34700596,0.10075255,5.78855069
1.57578789,6.41758604,0.00924212,0.47307540,0.04236961,0.36154492,0.10435158,5.98110320
1.58179090,6.64234299,0.00987583,0.49282580,0.04168388,0.37727988,0.10844773,6.19664609
1.58779390,6.89084151,0.01055519,0.51404417,0.04099435,0.39427910,0.11309729,6.43504970
1.59379690,7.16291381,0.01127303,0.53669758,0.04029821,0.41260405,0.11835901,6.69618228
1.59979990,7.45838175,0.01202113,0.56076240,0.03959456,0.43230706,0.12429300,6.97988869
1.60580290,7.77702379,0.01279030,0.58622237,0.03888446,0.45342876,0.13095948,7.28595657
1.61180590,8.11853019,0.01357048,0.61306536,0.03817100,0.47599542,0.13841730,7.61407161
1.61780890,8.48244871,0.01435090,0.64127909,0.03745910,0.50001645,0.14672224,7.96376429
1.62381191,8.86812408,0.01512027,0.67084601,0.03675543,0.52548178,0.15592524,8.33435128
1.62981491,9.27463471,0.01586695,0.70173771,0.03606805,0.55235956,0.16607041,8.72487482
1.63581791,9.70073046,0.01657918,0.73390904,0.03540618,0.58059391,0.17719299,9.13404408
1.64182091,10.14477562,0.01724530,0.76729248,0.03477977,0.61010309,0.18931737,9.56018211
1.64782391,10.60470066,0.01785403,0.80179294,0.03419918,0.64077793,0.20245499,10.00118219
1.65382691,11.07796638,0.01839467,0.83728334,0.03367474,0.67248068,0.21660245,10.45447688
1.65982991,11.56154323,0.01885739,0.87360134,0.03321638,0.70504443,0.23173969,10.91702237
1.66583292,12.05190810,0.01923348,0.91054730,0.03283323,0.73827297,0.24782838,11.38530024
1.67183592,12.54505982,0.01951554,0.94788374,0.03253331,0.77194128,0.26481062,11.85533783
1.67783892,13.03655407,0.01969769,0.98533627,0.03232317,0.80579676,0.28260785,12.32274741
1.68384192,13.52155699,0.01977577,1.02259618,0.03220763,0.83956096,0.30112029,12.78278369
1.68984492,13.99491668,0.01974740,1.05932434,0.03218958,0.87293222,0.32022664,13.23041820
1.69584792,14.45125010,0.01961211,1.09515662,0.03226976,0.90558890,0.33978443,13.66042826
1.70185093,14.88504316,0.01937134,1.12971039,0.03244666,0.93719338,0.35963073,14.06749793
1.70785393,15.29076056,0.01902838,1.16259199,0.03271646,0.96739679,0.37958357,14.44632750
1.71385693,15.66296201,0.01858836,1.19340492,0.03307299,0.99584436,0.39944384,14.79174798
1.71985993,15.99642128,0.01805800,1.22175840,0.03350779,1.02218138,0.41899786,15.09883696
1.72586293,16.28624417,0.01744554,1.24727620,0.03401022,1.04605966,0.43802047,15.36303211
1.73186593,16.52798214,0.01676043,1.26960525,0.03456760,1.06714438,0.45627871,15.58023884
1.73786893,16.71773811,0.01601308,1.28842392,0.03516540,1.08512113,0.47353604,15.74692891
1.74387194,16.85226156,0.01521463,1.30344973,0.03578756,1.09970303,0.48955694,15.86022735
1.74987494,16.92903030,0.01437659,1.31444623,0.03641674,1.11063772,0.50411190,15.91798510
1.75587794,16.94631685,0.01351058,1.32122888,0.03703474,1.11771397,0.51698255,15.91883579
1.76188094,16.90323774,0.01262807,1.32366988,0.03762286,1.12076774,0.52796688,15.86223508
1.76788394,16.79978447,0.01174005,1.32170164,0.03816233,1.11968742,0.53688446,15.74848198
1.77388694,16.63683554,0.01085689,1.31531901,0.03863483,1.11441808,0.54358120,15.57872156
1.77988994,16.41614914,0.00998806,1.30458014,0.03902286,1.10496454,0.54793388,15.35492931
1.78589295,16.14033689,0.00914202,1.28960583,0.03931029,1.09139313,0.54985390,15.07987762
1.79189595,15.81281909,0.00832614,1.27057763,0.03948281,1.07383195,0.54929041,14.75708543
1.79789895,15.43776272,0.00754658,1.24773455,0.03952828,1.05246965,0.54623244,14.39075214
1.80390195,15.02000368,0.00680829,1.22136851,0.03943721,1.02755280,0.54071011,13.98567783
1.80990495,14.56495515,0.00611507,1.19181872,0.03920302,0.99938168,0.53279478,13.54717137
1.81590795,14.07850447,0.00546956,1.15946509,0.03882230,0.96830491,0.52259812,13.08094908
1.82191096,13.56690108,0.00487341,1.12472087,0.03829502,0.93471279,0.51027014,12.59302620
1.82791396,13.03663853,0.00432730,1.08802475,0.03762457,0.89902991,0.49599620,12.08960402
1.83391696,12.49433348,0.00383115,1.04983266,0.03681778,0.86170689,0.47999321,11.57695538
1.83991996,11.94660507,0.00338419,1.01060952,0.03588483,0.82321191,0.46250501,11.06131158
1.84592296,11.39995753,0.00298514,0.97082117,0.03483902,0.78402202,0.44379723,10.54875327
1.85192596,10.86066926,0.00263232,0.93092674,0.03369654,0.74461463,0.42415163,10.04510813
1.85792896,10.33469097,0.00232379,0.89137162,0.03247608,0.70545946,0.40386037,9.55585769
1.86393197,9.82755520,0.00205745,0.85258130,0.03119841,0.66701104,0.38322010,9.08605532
1.86993497,9.34429920,0.00183115,0.81495607,0.02988593,0.62970201,0.36252626,8.64025705
1.87593797,8.88940232,0.00164275,0.77886679,0.02856212,0.59393731,0.34206761,8.22246635
1.88194097,8.46673879,0.00149021,0.74465159,0.02725101,0.56008935,0.32212121,7.83609347
1.88794397,8.07954590,0.00137159,0.71261367,0.02597660,0.52849410,0.30294789,7.48392954
1.89394697,7.73040716,0.00128512,0.68301987,0.02476232,0.49944810,0.28478828,7.16813477
1.89994997,7.42124941,0.00122915,0.65610009,0.02363047,0.47320633,0.26785955,6.89024015
1.90595298,7.15335267,0.00120220,0.63204722,0.02260168,0.44998078,0.25235268,6.65116118
1.91195598,6.92737073,0.00120288,0.61101753,0.02169448,0.42993974,0.23843045,6.45122209
1.91795898,6.74336091,0.00122989,0.59313132,0.02092479,0.41320744,0.22622602,6.29018895
1.92396198,6.60082093,0.00128198,0.57847355,0.02030558,0.39986421,0.21584208,6.16730968
1.92996498,6.49873111,0.00135788,0.56709451,0.01984655,0.38994693,0.20735056,6.08135941
1.93596798,6.43560040,0.00145626,0.55901032,0.01955386,0.38344973,0.20079285,6.03068953
1.94197099,6.40951489,0.00157569,0.55420325,0.01942998,0.38032495,0.19618043,6.01327913
1.94797399,6.41818794,0.00171459,0.55262185,0.01947360,0.38048434,0.19349597,6.02678793
1.95397699,6.45901136,0.00187117,0.55418108,0.01967966,0.38380064,0.19269477,6.06860975
1.95997999,6.52910753,0.00204346,0.55876236,0.02003940,0.39010947,0.19370664,6.13592653
1.96598299,6.62538242,0.00222923,0.56621390,0.02054061,0.39921172,0.19643803,6.22576239
1.97198599,6.74457991,0.00242602,0.57635125,0.02116785,0.41087653,0.20077452,6.33503803
1.97798899,6.88333766,0.00263113,0.58895845,0.02190292,0.42484479,0.20658359,6.46062557
1.98399200,7.03824481,0.00284169,0.60378972,0.02272521,0.44083343,0.21371761,6.59940383
1.98999500,7.20590148,0.00305464,0.62057194,0.02361233,0.45854023,0.22201707,6.74831410
1.99599800,7.38297993,0.00326680,0.63900792,0.02454066,0.47764938,0.23131387,6.90441601
2.00200100,7.56628646,0.00347497,0.65878042,0.02548596,0.49783748,0.24143479,7.06494299
2.00800400,7.75282313,0.00367595,0.67955697,0.02642410,0.51877997,0.25220480,7.22735617
2.01400700,7.93984757,0.00386664,0.70099519,0.02733168,0.54015764,0.26345041,7.38939554
2.02001001,8.12492896,0.00404412,0.72274868,0.02818667,0.56166324,0.27500267,7.54912645
2.02601301,8.30599804,0.00420573,0.74447302,0.02896903,0.58300768,0.28669998,7.70497985
2.03201601,8.48138860,0.00434914,0.76583191,0.02966127,0.60392571,0.29839049,7.85578392
2.03801901,8.64986843,0.00447240,0.78650298,0.03024888,0.62418089,0.30993402,8.00078545
2.04402201,8.81065755,0.00457402,0.80618335,0.03072070,0.64356945,0.32120362,8.13965900
2.05002501,8.96343218,0.00465299,0.82459447,0.03106917,0.66192315,0.33208651,8.27250262
2.05602801,9.10831359,0.00470881,0.84148643,0.03129050,0.67911088,0.34248464,8.39981939
2.06203102,9.24584159,0.00474152,0.85664151,0.03138466,0.69503906,0.35231490,8.52248454
2.06803402,9.37693321,0.00475166,0.86987696,0.03135532,0.70965088,0.36150889,8.64169893
2.07403702,9.50282821,0.00474027,0.88104721,0.03120965,0.72292458,0.37001259,8.75893012
2.08004002,9.62502349,0.00470887,0.89004549,0.03095804,0.73487086,0.37778594,8.87584339
2.08604302,9.74519935,0.00465938,0.89680499,0.03061380,0.74552979,0.38480235,8.99422527
2.09204602,9.86514107,0.00459411,0.90129971,0.03019273,0.75496734,0.39104854,9.11590288
2.09804902,9.98665917,0.00451568,0.90354512,0.02971268,0.76327191,0.39652445,9.24266268
