energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-1.50375188,0.94596051,0.00013719,0.02539806,0.21941537,0.18751456,0.00344106,0.09615788,0.09204128,0.54312616
-1.49774887,0.92389498,0.00012681,0.02545274,0.21291526,0.18141586,0.00352336,0.09422171,0.08944983,0.53182944
-1.49174587,0.89993930,0.00011700,0.02540704,0.20652637,0.17510185,0.00359081,0.09202665,0.08673891,0.51927170
-1.48574287,0.87421132,0.00010778,0.02525390,0.20037155,0.16860123,0.00364209,0.08958729,0.08391975,0.50550024
-1.47973987,0.84687315,0.00009917,0.02498837,0.19459337,0.16195065,0.00367635,0.08692292,0.08100719,0.49058504
-1.47373687,0.81813163,0.00009122,0.02460785,0.18934947,0.15519419,0.00369318,0.08405754,0.07801993,0.47462113
-1.46773387,0.78823777,0.00008398,0.02411226,0.18480767,0.14838252,0.00369270,0.08101953,0.07498067,0.45773002
-1.46173087,0.75748488,0.00007752,0.02350417,0.18114110,0.14157214,0.00367551,0.07784144,0.07191606,0.44006040
-1.45572786,0.72620536,0.00007189,0.02278877,0.17852327,0.13482433,0.00364271,0.07455951,0.06885667,0.42178776
-1.44972486,0.69476624,0.00006716,0.02197379,0.17712316,0.12820410,0.00359585,0.07121310,0.06583668,0.40311311
-1.44372186,0.66356350,0.00006341,0.02106932,0.17710057,0.12177894,0.00353686,0.06784409,0.06289359,0.38426070
-1.43771886,0.63301531,0.00006071,0.02008752,0.17860154,0.11561756,0.00346801,0.06449612,0.06006778,0.36547499
-1.43171586,0.60355461,0.00005913,0.01904236,0.18175419,0.10978853,0.00339184,0.06121382,0.05740197,0.34701685
-1.42571286,0.57562105,0.00005875,0.01794917,0.18666500,0.10435897,0.00331101,0.05804203,0.05494066,0.32915926
-1.41970985,0.54965283,0.00005966,0.01682427,0.19341551,0.09939318,0.00322826,0.05502496,0.05272958,0.31218268
-1.41370685,0.52607869,0.00006195,0.01568456,0.20205975,0.09495147,0.00314630,0.05220544,0.05081506,0.29637027
-1.40770385,0.50531036,0.00006573,0.01454707,0.21262243,0.09108903,0.00306772,0.04962427,0.04924347,0.28200315
-1.40170085,0.48773569,0.00007110,0.01342864,0.22509791,0.08785502,0.00299490,0.04731956,0.04806071,0.26935588
-1.39569785,0.47371278,0.00007819,0.01234548,0.23945017,0.08529180,0.00292996,0.04532629,0.04731172,0.25869227
-1.38969485,0.46356524,0.00008713,0.01131296,0.25561372,0.08343446,0.00287470,0.04367595,0.04704009,0.25026162
-1.38369185,0.45757859,0.00009807,0.01034530,0.27349545,0.08231048,0.00283057,0.04239630,0.04728762,0.24429543
-1.37768884,0.45599773,0.00011118,0.00945541,0.29297745,0.08193969,0.00279862,0.04151127,0.04809403,0.24100466
-1.37168584,0.45902555,0.00012662,0.00865480,0.31392059,0.08233437,0.00277957,0.04104100,0.04949658,0.24057731
-1.36568284,0.46682228,0.00014457,0.00795343,0.33616875,0.08349952,0.00277376,0.04100188,0.05152971,0.24317643
-1.35967984,0.47950553,0.00016522,0.00735978,0.35955349,0.08543324,0.00278123,0.04140675,0.05422460,0.24893843
-1.35367684,0.49715056,0.00018874,0.00688081,0.38389892,0.08812720,0.00280174,0.04226507,0.05760866,0.25797146
-1.34767384,0.51979067,0.00021532,0.00652203,0.40902640,0.09156707,0.00283487,0.04358306,0.06170489,0.27035390
-1.34167084,0.54741734,0.00024509,0.00628759,0.43475890,0.09573296,0.00288002,0.04536387,0.06653113,0.28613277
-1.33566783,0.57997995,0.00027820,0.00618032,0.46092471,0.10059969,0.00293653,0.04760758,0.07209911,0.30532215
-1.32966483,0.61738487,0.00031472,0.00620185,0.48736015,0.10613702,0.00300369,0.05031124,0.07841348,0.32790134
-1.32366183,0.65949398,0.00035471,0.00635265,0.51391128,0.11230965,0.00308085,0.05346867,0.08547058,0.35381305
-1.31765883,0.70612259,0.00039816,0.00663211,0.54043434,0.11907717,0.00316744,0.05707026,0.09325732,0.38296155
-1.31165583,0.75703682,0.00044497,0.00703858,0.56679504,0.12639376,0.00326298,0.06110262,0.10174990,0.41521092
-1.30565283,0.81195086,0.00049498,0.00756938,0.59286665,0.13420787,0.00336714,0.06554822,0.11091269,0.45038361
-1.29964982,0.87052430,0.00054794,0.00822084,0.61852712,0.14246185,0.00347973,0.07038490,0.12069725,0.48825933
-1.29364682,0.93235984,0.00060352,0.00898826,0.64365554,0.15109156,0.00360068,0.07558548,0.13104155,0.52857470
-1.28764382,0.99700197,0.00066128,0.00986594,0.66812815,0.16002608,0.00373005,0.08111732,0.14186954,0.57102363
-1.28164082,1.06393682,0.00072067,0.01084711,0.69181442,0.16918757,0.00386796,0.08694207,0.15309116,0.61525865
-1.27563782,1.13259354,0.00078110,0.01192397,0.71457345,0.17849136,0.00401455,0.09301545,0.16460271,0.66089334
