energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.12956478,1.52145398,0.00035056,0.20336288,0.21301016,0.34233692,0.01594482,0.62523596,0.45916225,0.44376466
-5.12356178,1.56107084,0.00035008,0.22685268,0.21273484,0.34469006,0.01590048,0.62207350,0.49410716,0.45809902
-5.11755878,1.60354632,0.00034729,0.25273997,0.21248575,0.34747379,0.01574591,0.61917218,0.53242019,0.47259359
-5.11155578,1.64888619,0.00034223,0.28112036,0.21226526,0.35054112,0.01548496,0.61641047,0.57425726,0.48731716
-5.10555278,1.69708869,0.00033503,0.31206015,0.21208266,0.35373729,0.01512372,0.61367061,0.61973768,0.50235324
-5.09954977,1.74813031,0.00032585,0.34558892,0.21195275,0.35690268,0.01467031,0.61083915,0.66893052,0.51779358
-5.09354677,1.80195130,0.00031489,0.38169248,0.21189428,0.35987609,0.01413460,0.60780761,0.72184115,0.53373093
-5.08754377,1.85844163,0.00030238,0.42030633,0.21192830,0.36249843,0.01352785,0.60447347,0.77839868,0.55025152
-5.08154077,1.91742833,0.00028857,0.46131014,0.21207659,0.36461661,0.01286233,0.60074132,0.83844483,0.56742755
-5.07553777,1.97866476,0.00027373,0.50452340,0.21236013,0.36608758,0.01215094,0.59652426,0.90172514,0.58531019
-5.06953477,2.04182260,0.00025813,0.54970270,0.21279776,0.36678223,0.01140677,0.59174544,0.96788283,0.60392324
-5.06353177,2.10648694,0.00024204,0.59654079,0.21340499,0.36658915,0.01064274,0.58633965,1.03645603,0.62325792
-5.05752876,2.17215493,0.00022570,0.64466756,0.21419301,0.36541794,0.00987122,0.58025487,1.10687859,0.64326894
-5.05152576,2.23823804,0.00020937,0.69365316,0.21516798,0.36320188,0.00910372,0.57345370,1.17848486,0.66387210
-5.04552276,2.30406815,0.00019326,0.74301330,0.21633052,0.35990009,0.00835065,0.56591454,1.25051840,0.68494341
-5.03951976,2.36890718,0.00017755,0.79221648,0.21767548,0.35549871,0.00762109,0.55763242,1.32214457,0.70631991
-5.03351676,2.43196001,0.00016241,0.84069330,0.21919191,0.35001136,0.00692266,0.54861951,1.39246665,0.72780198
-5.02751376,2.49239039,0.00014797,0.88784737,0.22086324,0.34347875,0.00626147,0.53890517,1.46054523,0.74915713
-5.02151076,2.54933905,0.00013432,0.93306776,0.22266774,0.33596734,0.00564209,0.52853564,1.52542001,0.77012506
-5.01550775,2.60194376,0.00012153,0.97574232,0.22457903,0.32756745,0.00506761,0.51757334,1.58613352,0.79042369
-5.00950475,2.64936036,0.00010965,1.01527188,0.22656683,0.31839057,0.00453971,0.50609582,1.64175580,0.80975611
-5.00350175,2.69078423,0.00009869,1.05108443,0.22859785,0.30856630,0.00405882,0.49419447,1.69140933,0.82781788
-4.99749875,2.72547152,0.00008865,1.08264920,0.23063671,0.29823880,0.00362428,0.48197308,1.73429306,0.84430476
-4.99149575,2.75275938,0.00007950,1.10948996,0.23264705,0.28756324,0.00323450,0.46954628,1.76970496,0.85892029
-4.98549275,2.77208462,0.00007120,1.13119719,0.23459260,0.27670203,0.00288716,0.45703798,1.79706203,0.87138321
-4.97948974,2.78300025,0.00006371,1.14743865,0.23643837,0.26582134,0.00257938,0.44457982,1.81591719,0.88143443
-4.97348674,2.78518926,0.00005697,1.15796811,0.23815177,0.25508764,0.00230792,0.43230973,1.82597233,0.88884332
-4.96748374,2.77847536,0.00005092,1.16263184,0.23970377,0.24466473,0.00206933,0.42037051,1.82708712,0.89341333
-4.96148074,2.76283021,0.00004551,1.16137266,0.24106995,0.23471103,0.00186009,0.40890851,1.81928317,0.89498663
-4.95547774,2.73837689,0.00004066,1.15423146,0.24223141,0.22537719,0.00167674,0.39807227,1.80274355,0.89344791
-4.94947474,2.70538943,0.00003632,1.14134614,0.24317562,0.21680416,0.00151596,0.38801108,1.77780748,0.88872709
-4.94347174,2.66428841,0.00003244,1.12294786,0.24389694,0.20912145,0.00137466,0.37887335,1.74496057,0.88080109
-4.93746873,2.61563247,0.00002896,1.09935495,0.24439698,0.20244575,0.00125004,0.37080477,1.70482091,0.86969448
-4.93146573,2.56010608,0.00002584,1.07096453,0.24468463,0.19687957,0.00113957,0.36394605,1.65812144,0.85547922
-4.92546273,2.49850370,0.00002304,1.03824209,0.24477580,0.19251008,0.00104107,0.35843030,1.60568941,0.83827335
-4.91945973,2.43171077,0.00002052,1.00170951,0.24469275,0.18940794,0.00095266,0.35437988,1.54842339,0.81823877
-4.91345673,2.36068197,0.00001825,0.96193183,0.24446319,0.18762608,0.00087276,0.35190292,1.48726895,0.79557812
-4.90745373,2.28641748,0.00001621,0.91950316,0.24411890,0.18719847,0.00080006,0.35108933,1.42319358,0.77053098
-4.90145073,2.20993781,0.00001437,0.87503232,0.24369421,0.18813879,0.00073351,0.35200660,1.35716187,0.74336921
-4.89544772,2.13225810,0.00001272,0.82912857,0.24322416,0.19043921,0.00067229,0.35469549,1.29011172,0.71439186
-4.88944472,2.05436276,0.00001123,0.78238790,0.24274251,0.19406908,0.00061575,0.35916570,1.22293232,0.68391957
-4.88344172,1.97718130,0.00000989,0.73538035,0.24227971,0.19897398,0.00056341,0.36539204,1.15644467,0.65228872
-4.87743872,1.90156618,0.00000870,0.68863869,0.24186094,0.20507488,0.00051491,0.37331099,1.09138515,0.61984542
-4.87143572,1.82827376,0.00000765,0.64264879,0.24150427,0.21226786,0.00047001,0.38281831,1.02839262,0.58693958
-4.86543272,1.75794881,0.00000671,0.59784192,0.24121912,0.22042437,0.00042854,0.39376767,0.96799933,0.55391924
-4.85942971,1.69111346,0.00000590,0.55458920,0.24100520,0.22939214,0.00039041,0.40597075,0.91062582,0.52112524
-4.85342671,1.62816102,0.00000520,0.51319814,0.24085180,0.23899694,0.00035559,0.41919882,0.85657984,0.48888652
-4.84742371,1.56935484,0.00000460,0.47391143,0.24073783,0.24904522,0.00032408,0.43318617,0.80605895,0.45751607
-4.84142071,1.51483247,0.00000411,0.43690773,0.24063235,0.25932762,0.00029594,0.44763519,0.75915683,0.42730776
-4.83541771,1.46461485,0.00000373,0.40230445,0.24049589,0.26962345,0.00027124,0.46222324,0.71587250,0.39853397
-4.82941471,1.41862013,0.00000345,0.37016210,0.24028231,0.27970590,0.00025010,0.47661113,0.67612227,0.37144415
-4.82341171,1.37668155,0.00000327,0.34049007,0.23994128,0.28934802,0.00023267,0.49045302,0.63975348,0.34626426
-4.81740870,1.33856855,0.00000320,0.31325347,0.23942129,0.29832919,0.00021912,0.50340735,0.60655977,0.32319697
