energy_ev,total_up,Ru_p_up,Ru_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
1.91795898,0.47053017,0.35406005,0.06101902,0.03730011,0.00000000,0.55813314,0.00000000
1.92396198,0.46744739,0.36422824,0.06483585,0.03825798,0.00000000,0.53992463,0.00000000
1.92996498,0.46628931,0.37729809,0.06954521,0.03954827,0.00000000,0.52175451,0.00000000
1.93596798,0.46770978,0.39379797,0.07529059,0.04124243,0.00000000,0.50418615,0.00000000
1.94197099,0.47234085,0.41423215,0.08221452,0.04341144,0.00000000,0.48774952,0.00000000
1.94797399,0.48077656,0.43906639,0.09045486,0.04612415,0.00000000,0.47292723,0.00000000
1.95397699,0.49355733,0.46871367,0.10014096,0.04944539,0.00000000,0.46014301,0.00000000
1.95997999,0.51115532,0.50352004,0.11138943,0.05343412,0.00000000,0.44975251,0.00000000
1.96598299,0.53396103,0.54375116,0.12429985,0.05814156,0.00000000,0.44203688,0.00000000
1.97198599,0.56227131,0.58957965,0.13895042,0.06360931,0.00000000,0.43719898,0.00000000
1.97798899,0.59627905,0.64107364,0.15539363,0.06986758,0.00000000,0.43536213,0.00000000
1.98399200,0.63606483,0.69818693,0.17365230,0.07693352,0.00000000,0.43657121,0.00000000
1.98999500,0.68159053,0.76075098,0.19371591,0.08480982,0.00000000,0.44079585,0.00000000
1.99599800,0.73269533,0.82846937,0.21553764,0.09348350,0.00000000,0.44793529,0.00000000
2.00200100,0.78909414,0.90091482,0.23903211,0.10292504,0.00000000,0.45782470,0.00000000
2.00800400,0.85037872,0.97752946,0.26407413,0.11308796,0.00000000,0.47024240,0.00000000
2.01400700,0.91602166,1.05762847,0.29049856,0.12390877,0.00000000,0.48491779,0.00000000
2.02001001,0.98538327,1.14040740,0.31810138,0.13530749,0.00000000,0.50153966,0.00000000
2.02601301,1.05772152,1.22495343,0.34664215,0.14718866,0.00000000,0.51976453,0.00000000
2.03201601,1.13220497,1.31026047,0.37584775,0.15944289,0.00000000,0.53922498,0.00000000
2.03801901,1.20792849,1.39524805,0.40541746,0.17194890,0.00000000,0.55953761,0.00000000
2.04402201,1.28393166,1.47878367,0.43502928,0.18457616,0.00000000,0.58031072,0.00000000
2.05002501,1.35921937,1.55970809,0.46434719,0.19718775,0.00000000,0.60115156,0.00000000
2.05602801,1.43278399,1.63686296,0.49302930,0.20964372,0.00000000,0.62167307,0.00000000
2.06203102,1.50362878,1.70911980,0.52073646,0.22180454,0.00000000,0.64150019,0.00000000
2.06803402,1.57079149,1.77540947,0.54714098,0.23353462,0.00000000,0.66027577,0.00000000
2.07403702,1.63336747,1.83475103,0.57193527,0.24470583,0.00000000,0.67766586,0.00000000
2.08004002,1.69053151,1.88627874,0.59483978,0.25520066,0.00000000,0.69336471,0.00000000
2.08604302,1.74155743,1.92926625,0.61561011,0.26491514,0.00000000,0.70709908,0.00000000
2.09204602,1.78583484,1.96314686,0.63404287,0.27376118,0.00000000,0.71863222,0.00000000
2.09804902,1.82288228,1.98752895,0.64998008,0.28166836,0.00000000,0.72776708,0.00000000
2.10405203,1.85235625,2.00220595,0.66331191,0.28858502,0.00000000,0.73434902,0.00000000
2.11005503,1.87405596,2.00716035,0.67397768,0.29447869,0.00000000,0.73826773,0.00000000
2.11605803,1.88792348,2.00256167,0.68196518,0.29933581,0.00000000,0.73945839,0.00000000
2.12206103,1.89403958,1.98875838,0.68730830,0.30316085,0.00000000,0.73790208,0.00000000
2.12806403,1.89261552,1.96626426,0.69008328,0.30597478,0.00000000,0.73362521,0.00000000
2.13406703,1.88398119,1.93573994,0.69040374,0.30781317,0.00000000,0.72669817,0.00000000
2.14007004,1.86857042,1.89797021,0.68841481,0.30872397,0.00000000,0.71723307,0.00000000
2.14607304,1.84690414,1.85383856,0.68428675,0.30876503,0.00000000,0.70538060,0.00000000
2.15207604,1.81957215,1.80429963,0.67820839,0.30800165,0.00000000,0.69132617,0.00000000
