energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.26763382,2.55261011,0.06229788,0.42631923,1.43925526,0.76787692,0.07075381,1.16359459,0.16814316,0.10789427
-5.26163082,2.53857134,0.06391876,0.41569753,1.44432980,0.75548565,0.07005181,1.16196325,0.17364023,0.10502017
-5.25562781,2.53181500,0.06553697,0.40629489,1.45283116,0.74678308,0.06944547,1.16419367,0.17911491,0.10246536
-5.24962481,2.53222509,0.06711156,0.39813502,1.46442049,0.74184230,0.06892081,1.17023753,0.18452902,0.10022955
-5.24362181,2.53966719,0.06860450,0.39122461,1.47874846,0.74069350,0.06846680,1.18004241,0.18985626,0.09831069
-5.23761881,2.55399722,0.06998175,0.38555580,1.49546778,0.74332560,0.06807607,1.19355434,0.19508252,0.09670508
-5.23161581,2.57506784,0.07121419,0.38110891,1.51424459,0.74968876,0.06774537,1.21071879,0.20020554,0.09540760
-5.22561281,2.60273221,0.07227836,0.37785526,1.53476797,0.75969743,0.06747577,1.23148041,0.20523398,0.09441175
-5.21960980,2.63684459,0.07315701,0.37575985,1.55675728,0.77323385,0.06727265,1.25578100,0.21018575,0.09370978
-5.21360680,2.67725744,0.07383932,0.37478381,1.57996688,0.79015161,0.06714535,1.28355610,0.21508592,0.09329261
-5.20760380,2.72381536,0.07432089,0.37488635,1.60418803,0.81027910,0.06710659,1.31473009,0.21996410,0.09314980
-5.20160080,2.77634576,0.07460346,0.37602618,1.62924805,0.83342275,0.06717170,1.34921011,0.22485149,0.09326941
-5.19559780,2.83464703,0.07469434,0.37816231,1.65500683,0.85936960,0.06735757,1.38687908,0.22977782,0.09363779
-5.18959480,2.89847476,0.07460567,0.38125423,1.68135106,0.88788947,0.06768154,1.42758816,0.23476824,0.09423946
-5.18359180,2.96752700,0.07435343,0.38526150,1.70818650,0.91873639,0.06816019,1.47114922,0.23984037,0.09505681
-5.17758879,3.04142948,0.07395637,0.39014274,1.73542911,0.95164932,0.06880809,1.51732765,0.24500170,0.09607000
-5.17158579,3.11972204,0.07343485,0.39585428,1.76299544,0.98635250,0.06963663,1.56583615,0.25024749,0.09725678
-5.16558279,3.20184722,0.07280971,0.40234847,1.79079313,1.02255511,0.07065301,1.61632992,0.25555925,0.09859247
-5.15957979,3.28714223,0.07210115,0.40957197,1.81871209,1.05995091,0.07185933,1.66840381,0.26090396,0.10004996
-5.15357679,3.37483524,0.07132783,0.41746401,1.84661717,1.09821771,0.07325201,1.72159177,0.26623402,0.10159992
-5.14757379,3.46404674,0.07050602,0.42595493,1.87434274,1.13701717,0.07482146,1.77536899,0.27148812,0.10321102
-5.14157079,3.55379663,0.06964912,0.43496515,1.90168969,1.17599511,0.07655206,1.82915699,0.27659276,0.10485040
-5.13556778,3.64301730,0.06876734,0.44440466,1.92842528,1.21478266,0.07842254,1.88233170,0.28146456,0.10648417
-5.12956478,3.73057275,0.06786765,0.45417316,1.95428580,1.25299844,0.08040659,1.93423459,0.28601322,0.10807813
-5.12356178,3.81528344,0.06695404,0.46416095,1.97898235,1.29025211,0.08247390,1.98418658,0.29014496,0.10959847
-5.11755878,3.89595627,0.06602797,0.47425054,2.00220928,1.32614925,0.08459137,2.03150458,0.29376627,0.11101263
-5.11155578,3.97141879,0.06508907,0.48431904,2.02365525,1.36029780,0.08672463,2.07551997,0.29678792,0.11229020
-5.10555278,4.04055642,0.06413594,0.49424115,2.04301632,1.39231591,0.08883970,2.11559869,0.29912888,0.11340380
-5.09954977,4.10235125,0.06316712,0.50389278,2.06001050,1.42184109,0.09090466,2.15116199,0.30072008,0.11432993
-5.09354677,4.15592095,0.06218205,0.51315501,2.07439318,1.44854039,0.09289144,2.18170719,0.30150785,0.11504981
-5.08754377,4.20055595,0.06118201,0.52191833,2.08597268,1.47212124,0.09477741,2.20682765,0.30145676,0.11555005
-5.08154077,4.23575329,0.06017099,0.53008686,2.09462509,1.49234245,0.09654687,2.22623088,0.30055192,0.11582325
-5.07553777,4.26124547,0.05915641,0.53758244,2.10030784,1.50902494,0.09819219,2.23975417,0.29880044,0.11586840
-5.06953477,4.27702273,0.05814958,0.54434824,2.10307102,1.52206150,0.09971471,2.24737683,0.29623217,0.11569111
-5.06353177,4.28334760,0.05716607,0.55035191,2.10306607,1.53142506,0.10112521,2.24922832,0.29289955,0.11530363
-5.05752876,4.28076051,0.05622561,0.55558785,2.10055107,1.53717499,0.10244390,2.24559185,0.28887668,0.11472473
-5.05152576,4.27007602,0.05535192,0.56007864,2.09589235,1.53946073,0.10370006,2.23690296,0.28425756,0.11397924
-5.04552276,4.25236916,0.05457215,0.56387549,2.08956206,1.53852267,0.10493111,2.22374286,0.27915366,0.11309755
-5.03951976,4.22895222,0.05391607,0.56705766,2.08213153,1.53468972,0.10618135,2.20682669,0.27369082,0.11211478
-5.03351676,4.20134235,0.05341510,0.56973079,2.07426060,1.52837373,0.10750022,2.18698680,0.26800568,0.11106986
-5.02751376,4.17122101,0.05310110,0.57202430,2.06668291,1.52006059,0.10894032,2.16515150,0.26224176,0.11000450
-5.02151076,4.14038655,0.05300507,0.57408794,2.06018769,1.51029843,0.11055510,2.14232001,0.25654519,0.10896189
-5.01550775,4.11070152,0.05315573,0.57608745,2.05559844,1.49968317,0.11239648,2.11953441,0.25106051,0.10798555
-5.00950475,4.08403652,0.05357815,0.57819980,2.05374931,1.48884207,0.11451231,2.09784941,0.24592633,0.10711794
-5.00350175,4.06221268,0.05429235,0.58060785,2.05545974,1.47841571,0.11694402,2.07830129,0.24127134,0.10639921
-4.99749875,4.04694487,0.05531212,0.58349493,2.06150841,1.46903931,0.11972428,2.06187678,0.23721050,0.10586590
-4.99149575,4.03978759,0.05664393,0.58703923,2.07260738,1.46132398,0.12287506,2.04948339,0.23384174,0.10554978
-4.98549275,4.04208561,0.05828608,0.59140852,2.08937729,1.45583861,0.12640596,2.04192192,0.23124308,0.10547681
-4.97948974,4.05493116,0.06022815,0.59675498,2.11232460,1.45309322,0.13031299,2.03986245,0.22947051,0.10566623
-4.97348674,4.07912909,0.06245073,0.60321055,2.14182186,1.45352413,0.13457786,2.04382447,0.22855638,0.10612989
-4.96748374,4.11517116,0.06492548,0.61088285,2.17809154,1.45748160,0.13916777,2.05416201,0.22850865,0.10687179
-4.96148074,4.16322043,0.06761549,0.61985165,2.22119438,1.46522021,0.14403576,2.07105407,0.22931083,0.10788782
-4.95547774,4.22310597,0.07047603,0.63016602,2.27102252,1.47689219,0.14912165,2.09450085,0.23092266,0.10916583
-4.94947474,4.29432794,0.07345555,0.64184225,2.32729783,1.49254382,0.15435337,2.12432559,0.23328159,0.11068594
-4.94347174,4.37607273,0.07649700,0.65486237,2.38957565,1.51211483,0.15964891,2.16018205,0.23630490,0.11242106
-4.93746873,4.46723727,0.07953931,0.66917345,2.45725357,1.53544059,0.16491853,2.20156699,0.23989245,0.11433771
-4.93146573,4.56646144,0.08251915,0.68468759,2.52958527,1.56225695,0.17006733,2.24783732,0.24392999,0.11639700
-4.92546273,4.67216728,0.08537275,0.70128257,2.60569866,1.59220737,0.17499805,2.29823088,0.24829286,0.11855584
-4.91945973,4.78260341,0.08803771,0.71880318,2.68461777,1.62485195,0.17961394,2.35189017,0.25285000,0.12076822
-4.91345673,4.89589292,0.09045491,0.73706321,2.76528753,1.65967811,0.18382161,2.40788796,0.25746803,0.12298660
-4.90745373,5.01008306,0.09257021,0.75584802,2.84660044,1.69611255,0.18753380,2.46525385,0.26201542,0.12516332
-4.90145073,5.12319504,0.09433607,0.77491781,2.92742424,1.73353398,0.19067189,2.52300071,0.26636636,0.12725198
-4.89544772,5.23327224,0.09571289,0.79401141,3.00662942,1.77128666,0.19316818,2.58015016,0.27040445,0.12920870
-4.88944472,5.33842544,0.09667008,0.81285068,3.08311570,1.80869408,0.19496765,2.63575614,0.27402579,0.13099327
-4.88344172,5.43687376,0.09718685,0.83114540,3.15583647,1.84507287,0.19602942,2.68892603,0.27714160,0.13257011
-4.87743872,5.52698037,0.09725264,0.84859861,3.22382048,1.87974649,0.19632762,2.73883859,0.27968009,0.13390902
-4.87143572,5.60728211,0.09686719,0.86491230,3.28619010,1.91205862,0.19585181,2.78475844,0.28158770,0.13498560
-4.86543272,5.67651268,0.09604027,0.87979345,3.34217571,1.94138599,0.19460686,2.82604681,0.28282952,0.13578159
-4.85942971,5.73361916,0.09479110,0.89296006,3.39112606,1.96715049,0.19261242,2.86216868,0.28338898,0.13628477
-4.85342671,5.77777185,0.09314745,0.90414732,3.43251434,1.98883040,0.18990186,2.89269614,0.28326694,0.13648878
-4.84742371,5.80836800,0.09114451,0.91311345,3.46594050,2.00597044,0.18652093,2.91730859,0.28248007,0.13639262
-4.84142071,5.82502967,0.08882356,0.91964532,3.49112977,2.01819060,0.18252599,2.93579002,0.28105881,0.13600008
-4.83541771,5.82759670,0.08623052,0.92356351,3.50792817,2.02519344,0.17798214,2.94802376,0.27904495,0.13531895
-4.82941471,5.81611544,0.08341442,0.92472671,3.51629546,2.02676979,0.17296112,2.95398561,0.27648895,0.13436028
-4.82341171,5.79082423,0.08042583,0.92303522,3.51629637,2.02280262,0.16753914,2.95373550,0.27344725,0.13313748
-4.81740870,5.75213656,0.07731543,0.91843368,3.50809066,2.01326908,0.16179477,2.94740868,0.26997962,0.13166558
-4.81140570,5.70062292,0.07413263,0.91091258,3.49192285,1.99824060,0.15580690,2.93520674,0.26614665,0.12996046
