energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.72136068,0.88400711,0.25528538,0.19914095,0.00040937,0.14352585,0.23129852,0.09459202,0.00183293,0.44645801
-4.71535768,0.93926457,0.27338417,0.20622067,0.00045008,0.15404276,0.24625826,0.10223377,0.00185456,0.47553881
-4.70935468,0.99839471,0.29219961,0.21497012,0.00049165,0.16478987,0.26133729,0.11033580,0.00188899,0.50698700
-4.70335168,1.06039944,0.31139698,0.22504330,0.00053358,0.17575458,0.27645017,0.11883504,0.00193489,0.54009840
-4.69734867,1.12429212,0.33063809,0.23609572,0.00057531,0.18693723,0.29153619,0.12766814,0.00199134,0.57415218
-4.69134567,1.18911476,0.34958730,0.24778926,0.00061625,0.19835200,0.30656262,0.13677230,0.00205795,0.60842217
-4.68534267,1.25395497,0.36791802,0.25979712,0.00065583,0.21002714,0.32152681,0.14608616,0.00213476,0.64218938
-4.67933967,1.31796212,0.38531940,0.27180863,0.00069345,0.22200433,0.33645696,0.15555050,0.00222229,0.67475535
-4.67333667,1.38036203,0.40150309,0.28353395,0.00072857,0.23433722,0.35141131,0.16510892,0.00232149,0.70545600
-4.66733367,1.44046972,0.41620968,0.29470840,0.00076068,0.24708907,0.36647562,0.17470835,0.00243366,0.73367554
-4.66133067,1.49769950,0.42921459,0.30509641,0.00078931,0.26032945,0.38175895,0.18429944,0.00256038,0.75885986
-4.65532766,1.55157188,0.44033327,0.31449494,0.00081409,0.27413024,0.39738772,0.19383672,0.00270345,0.78052891
