energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
3.43671836,1.23989710,0.78624640,0.00000000,1.20962015,0.00535416,0.04313847,0.35872729
3.44272136,1.26250325,0.79735362,0.00000000,1.24344373,0.00537268,0.04472661,0.37745865
3.44872436,1.28863153,0.80813285,0.00000000,1.27906328,0.00541805,0.04649963,0.39721132
3.45472736,1.31751816,0.81814947,0.00000000,1.31575731,0.00548755,0.04843054,0.41764332
3.46073037,1.34838508,0.82700923,0.00000000,1.35283678,0.00557824,0.05048999,0.43839206
3.46673337,1.38048181,0.83438167,0.00000000,1.38968800,0.00568716,0.05264783,0.45908629
3.47273637,1.41312683,0.84002078,0.00000000,1.42581430,0.00581148,0.05487467,0.47935887
3.47873937,1.44574646,0.84378204,0.00000000,1.46087460,0.00594869,0.05714351,0.49885984
3.48474237,1.47790958,0.84563469,0.00000000,1.49471682,0.00609678,0.05943135,0.51726942
3.49074537,1.50935649,0.84566854,0.00000000,1.52740440,0.00625437,0.06172054,0.53431024
3.49674837,1.54002049,0.84409498,0.00000000,1.55923450,0.00642084,0.06400007,0.54975841
3.50275138,1.57004094,0.84124187,0.00000000,1.59074640,0.00659638,0.06626652,0.56345291
3.50875438,1.59976700,0.83754248,0.00000000,1.62271932,0.00678206,0.06852465,0.57530267
3.51475738,1.62975157,0.83351889,0.00000000,1.65615910,0.00697978,0.07078763,0.58529126
3.52076038,1.66073518,0.82976052,0.00000000,1.69227350,0.00719228,0.07307690,0.59347864
3.52676338,1.69362034,0.82689856,0.00000000,1.73243670,0.00742301,0.07542150,0.59999989
3.53276638,1.72943690,0.82557768,0.00000000,1.77814360,0.00767599,0.07785710,0.60506097
3.53876938,1.76929962,0.82642598,0.00000000,1.83095538,0.00795568,0.08042448,0.60893134
3.54477239,1.81435944,0.83002472,0.00000000,1.89243775,0.00826670,0.08316776,0.61193396
3.55077539,1.86575020,0.83687907,0.00000000,1.96409428,0.00861368,0.08613232,0.61443281
3.55677839,1.92453297,0.84739134,0.00000000,2.04729695,0.00900096,0.08936243,0.61681839
3.56278139,1.99164011,0.86183784,0.00000000,2.14321654,0.00943236,0.09289890,0.61949190
3.56878439,2.06782151,0.88035046,0.00000000,2.25275586,0.00991091,0.09677655,0.62284858
3.57478739,2.15359535,0.90290397,0.00000000,2.37648830,0.01043865,0.10102193,0.62726102
3.58079040,2.24920551,0.92930956,0.00000000,2.51460473,0.01101638,0.10565115,0.63306296
3.58679340,2.35458782,0.95921513,0.00000000,2.66687106,0.01164353,0.11066808,0.64053450
3.59279640,2.46934674,0.99211226,0.00000000,2.83259898,0.01231800,0.11606296,0.64988915
3.59879940,2.59274398,1.02734980,0.00000000,3.01063140,0.01303610,0.12181147,0.66126344
3.60480240,2.72369975,1.06415353,0.00000000,3.19934423,0.01379253,0.12787438,0.67470942
3.61080540,2.86080731,1.10165103,0.00000000,3.39666494,0.01458042,0.13419776,0.69019053
3.61680840,3.00236024,1.13890088,0.00000000,3.60010825,0.01539143,0.14071388,0.70758091
3.62281141,3.14639218,1.17492485,0.00000000,3.80682798,0.01621595,0.14734252,0.72666829
3.62881441,3.29072729,1.20874187,0.00000000,4.01368403,0.01704326,0.15399298,0.74716037
3.63481741,3.43304012,1.23940227,0.00000000,4.21732222,0.01786184,0.16056645,0.76869436
3.64082041,3.57092233,1.26602086,0.00000000,4.41426454,0.01865965,0.16695881,0.79084937
3.64682341,3.70195407,1.28780763,0.00000000,4.60100650,0.01942449,0.17306366,0.81316112
3.65282641,3.82377708,1.30409463,0.00000000,4.77411820,0.02014431,0.17877554,0.83513839
