energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.92646323,1.87331129,0.00111531,0.03264159,0.20308616,1.12439804,0.00579565,0.19723832,0.49251764,0.46698255
-2.92046023,1.86140238,0.00110999,0.03188106,0.20518081,1.11039898,0.00565456,0.18834890,0.50483701,0.47075761
-2.91445723,1.85313953,0.00110150,0.03135678,0.20799168,1.09603328,0.00553712,0.17991483,0.51944939,0.47706017
-2.90845423,1.84868462,0.00108984,0.03106421,0.21150558,1.08133506,0.00544146,0.17195786,0.53640976,0.48599976
-2.90245123,1.84824545,0.00107518,0.03099788,0.21570511,1.06640898,0.00536566,0.16450062,0.55577548,0.49766820
-2.89644822,1.85205726,0.00105780,0.03115118,0.22056723,1.05142062,0.00530780,0.15756483,0.57759993,0.51213340
-2.89044522,1.86036001,0.00103810,0.03151616,0.22606168,1.03658369,0.00526604,0.15116949,0.60192467,0.52943251
-2.88444222,1.87337260,0.00101662,0.03208320,0.23214931,1.02214467,0.00523857,0.14532896,0.62877040,0.54956476
-2.87843922,1.89126555,0.00099398,0.03284085,0.23878060,1.00836572,0.00522367,0.14005136,0.65812725,0.57248447
-2.87243622,1.91413358,0.00097086,0.03377547,0.24589429,0.99550687,0.00521969,0.13533719,0.68994478,0.59809457
-2.86643322,1.94196981,0.00094799,0.03487114,0.25341640,0.98380833,0.00522501,0.13117824,0.72412256,0.62624100
-2.86043022,1.97464287,0.00092610,0.03610943,0.26125974,0.97347386,0.00523804,0.12755696,0.76050160,0.65670842
-2.85442721,2.01187844,0.00090590,0.03746940,0.26932379,0.96465606,0.00525719,0.12444629,0.79885743,0.68921769
-2.84842421,2.05324632,0.00088808,0.03892757,0.27749534,0.95744422,0.00528084,0.12180981,0.83889519,0.72342524
-2.84242121,2.09815392,0.00087326,0.04045807,0.28564955,0.95185537,0.00530730,0.11960243,0.88024736,0.75892463
-2.83641821,2.14584674,0.00086195,0.04203289,0.29365163,0.94782890,0.00533485,0.11777134,0.92247420,0.79525055
-2.83041521,2.19541632,0.00085462,0.04362213,0.30135918,0.94522501,0.00536170,0.11625730,0.96506749,0.83188520
-2.82441221,2.24581534,0.00085158,0.04519450,0.30862484,0.94382702,0.00538600,0.11499626,1.00745733,0.86826693
-2.81840920,2.29587969,0.00085308,0.04671782,0.31529947,0.94334744,0.00540589,0.11392101,1.04902215,0.90380126
-2.81240620,2.34435684,0.00085927,0.04815960,0.32123561,0.94343741,0.00541953,0.11296307,1.08910161,0.93787364
-2.80640320,2.38993925,0.00087018,0.04948770,0.32629111,0.94369919,0.00542513,0.11205452,1.12701211,0.96986393
-2.80040020,2.43130196,0.00088580,0.05067109,0.33033286,0.94370098,0.00542101,0.11112984,1.16206427,0.99916190
-2.79439720,2.46714254,0.00090606,0.05168052,0.33324041,0.94299352,0.00540567,0.11012767,1.19358192,1.02518336
-2.78839420,2.49622209,0.00093084,0.05248929,0.33490946,0.94112763,0.00537786,0.10899233,1.22092176,1.04738632
-2.78239120,2.51740553,0.00096003,0.05307395,0.33525500,0.93767196,0.00533663,0.10767526,1.24349287,1.06528651
-2.77638819,2.52969951,0.00099350,0.05341496,0.33421397,0.93223023,0.00528138,0.10613616,1.26077541,1.07847177
-2.77038519,2.53228644,0.00103118,0.05349725,0.33174747,0.92445706,0.00521192,0.10434387,1.27233752,1.08661462
-2.76438219,2.52455325,0.00107301,0.05331069,0.32784224,0.91407201,0.00512854,0.10227704,1.27784985,1.08948259
-2.75837919,2.50611362,0.00111898,0.05285049,0.32251152,0.90087099,0.00503199,0.09992444,1.27709696,1.08694580
-2.75237619,2.47682291,0.00116917,0.05211735,0.31579513,0.88473476,0.00492354,0.09728504,1.26998512,1.07898158
