energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-1.98399200,1.06268399,0.33651091,0.00000000,0.01250166,0.28395071,0.35927022,0.00316231
-1.97798899,1.08926216,0.34917505,0.00000000,0.01256484,0.28945974,0.38075097,0.00316619
-1.97198599,1.11996832,0.36295876,0.00000000,0.01259466,0.29741825,0.40362275,0.00317711
-1.96598299,1.15449618,0.37772306,0.00000000,0.01258745,0.30772744,0.42777022,0.00319423
-1.95997999,1.19251036,0.39334017,0.00000000,0.01254158,0.32023336,0.45307184,0.00321672
-1.95397699,1.23364760,0.40969350,0.00000000,0.01245756,0.33472847,0.47939914,0.00324372
-1.94797399,1.27751828,0.42667724,0.00000000,0.01233799,0.35095467,0.50661581,0.00327437
-1.94197099,1.32370873,0.44419534,0.00000000,0.01218760,0.36860783,0.53457684,0.00330779
-1.93596798,1.37178484,0.46216040,0.00000000,0.01201317,0.38734388,0.56312793,0.00334312
-1.92996498,1.42129715,0.48049242,0.00000000,0.01182351,0.40678650,0.59210537,0.00337954
-1.92396198,1.47178806,0.49911783,0.00000000,0.01162933,0.42653622,0.62133671,0.00341620
-1.91795898,1.52280104,0.51796884,0.00000000,0.01144315,0.44618090,0.65064220,0.00345233
-1.91195598,1.57389228,0.53698340,0.00000000,0.01127924,0.46530717,0.67983747,0.00348718
-1.90595298,1.62464436,0.55610583,0.00000000,0.01115345,0.48351272,0.70873712,0.00352008
-1.89994997,1.67468168,0.57528824,0.00000000,0.01108306,0.50041884,0.73715955,0.00355041
-1.89394697,1.72368719,0.59449257,0.00000000,0.01108669,0.51568294,0.76493262,0.00357770
-1.88794397,1.77141948,0.61369335,0.00000000,0.01118406,0.52901042,0.79190011,0.00360156
-1.88194097,1.81772936,0.63288077,0.00000000,0.01139580,0.54016540,0.81792850,0.00362178
-1.87593797,1.86257483,0.65206392,0.00000000,0.01174324,0.54897988,0.84291373,0.00363832
-1.86993497,1.90603326,0.67127376,0.00000000,0.01224810,0.55536081,0.86678751,0.00365131
-1.86393197,1.94830970,0.69056560,0.00000000,0.01293213,0.55929461,0.88952257,0.00366111
-1.85792896,1.98974022,0.71002051,0.00000000,0.01381675,0.56084902,0.91113648,0.00366828
-1.85192596,2.03078940,0.72974553,0.00000000,0.01492261,0.56017188,0.93169361,0.00367362
-1.84592296,2.07204152,0.74987219,0.00000000,0.01626902,0.55748696,0.95130476,0.00367810
-1.83991996,2.11418498,0.77055329,0.00000000,0.01787341,0.55308678,0.97012444,0.00368290
-1.83391696,2.15799016,0.79195785,0.00000000,0.01975073,0.54732276,0.98834547,0.00368934
-1.82791396,2.20428113,0.81426412,0.00000000,0.02191274,0.54059298,1.00619123,0.00369884
-1.82191096,2.25390216,0.83765105,0.00000000,0.02436740,0.53332804,1.02390563,0.00371288
-1.81590795,2.30768017,0.86228842,0.00000000,0.02711816,0.52597554,1.04174123,0.00373296
-1.80990495,2.36638467,0.88832600,0.00000000,0.03016341,0.51898388,1.05994613,0.00376048
-1.80390195,2.43068699,0.91588249,0.00000000,0.03349590,0.51278599,1.07875018,0.00379672
-1.79789895,2.50112070,0.94503461,0.00000000,0.03710234,0.50778360,1.09835127,0.00384275
-1.79189595,2.57804510,0.97580715,0.00000000,0.04096312,0.50433281,1.11890244,0.00389941
-1.78589295,2.66161376,1.00816441,0.00000000,0.04505226,0.50273150,1.14050060,0.00396718
-1.77988994,2.75174975,1.04200379,0.00000000,0.04933750,0.50320893,1.16317733,0.00404620
-1.77388694,2.84812899,1.07715183,0.00000000,0.05378069,0.50591827,1.18689258,0.00413623
