energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-2.94447224,2.25790007,0.08991850,0.26352041,0.54845923,0.00000000,1.21461146,0.00000000,0.79136227,0.05706070
-2.93846923,2.18154226,0.08764999,0.27112933,0.51918717,0.00000000,1.14949930,0.00000000,0.78822486,0.05485523
-2.93246623,2.11284572,0.08604997,0.28067216,0.49089889,0.00000000,1.08600882,0.00000000,0.78745180,0.05291756
-2.92646323,2.05262267,0.08512724,0.29202908,0.46412633,0.00000000,1.02494109,0.00000000,0.78900215,0.05126506
-2.92046023,2.00139847,0.08487163,0.30502953,0.43933425,0.00000000,0.96698122,0.00000000,0.79272579,0.04990673
-2.91445723,1.95939438,0.08525470,0.31945438,0.41690847,0.00000000,0.91268090,0.00000000,0.79836590,0.04884306
-2.90845423,1.92652199,0.08623079,0.33503962,0.39714687,0.00000000,0.86244723,0.00000000,0.80556620,0.04806604
-2.90245123,1.90238959,0.08773862,0.35148167,0.38025361,0.00000000,0.81653773,0.00000000,0.81388281,0.04755960
-2.89644822,1.88631993,0.08970318,0.36844400,0.36633648,0.00000000,0.77506175,0.00000000,0.82280007,0.04730015
-2.89044522,1.87737863,0.09203798,0.38556513,0.35540745,0.00000000,0.73798758,0.00000000,0.83174983,0.04725749
-2.88444222,1.87441164,0.09464753,0.40246760,0.34738621,0.00000000,0.70515475,0.00000000,0.84013323,0.04739585
