energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
3.37068534,1.16797069,0.00099580,0.07942947,0.48251363,0.00000000,0.03628545,0.08470775,0.15577051,0.68724671
3.37668834,1.12115769,0.00085186,0.07939906,0.45307851,0.00000000,0.03638909,0.08067446,0.14859994,0.65920943
3.38269135,1.08133876,0.00072865,0.07936887,0.42847290,0.00000000,0.03644690,0.07714226,0.14266378,0.63560069
3.38869435,1.04815113,0.00062515,0.07928450,0.40844689,0.00000000,0.03644210,0.07404918,0.13794711,0.61627536
3.39469735,1.02121764,0.00054030,0.07909836,0.39274691,0.00000000,0.03636100,0.07133599,0.13443010,0.60107150
3.40070035,1.00017363,0.00047306,0.07877192,0.38113206,0.00000000,0.03619374,0.06894902,0.13209107,0.58982444
3.40670335,0.98469020,0.00042250,0.07827727,0.37338773,0.00000000,0.03593488,0.06684245,0.13090914,0.58237938
3.41270635,0.97449284,0.00038780,0.07759838,0.36933623,0.00000000,0.03558374,0.06498000,0.13086621,0.57860176
3.41870935,0.96937497,0.00036833,0.07673161,0.36884416,0.00000000,0.03514454,0.06333607,0.13194824,0.57838509
3.42471236,0.96920586,0.00036367,0.07568574,0.37182638,0.00000000,0.03462630,0.06189613,0.13414579,0.58165607
3.43071536,0.97393297,0.00037362,0.07448142,0.37824673,0.00000000,0.03404248,0.06065661,0.13745374,0.58837661
3.43671836,0.98357865,0.00039820,0.07315006,0.38811551,0.00000000,0.03341045,0.05962422,0.14187041,0.59854300
3.44272136,0.99823180,0.00043768,0.07173237,0.40148415,0.00000000,0.03275071,0.05881471,0.14739588,0.61218213
3.44872436,1.01803476,0.00049256,0.07027638,0.41843727,0.00000000,0.03208598,0.05825124,0.15402979,0.62934506
3.45472736,1.04316648,0.00056356,0.06883531,0.43908271,0.00000000,0.03144019,0.05796248,0.16176878,0.65009828
3.46073037,1.07382255,0.00065157,0.06746517,0.46353992,0.00000000,0.03083736,0.05798036,0.17060348,0.67451313
3.46673337,1.11019331,0.00075769,0.06622234,0.49192732,0.00000000,0.03030049,0.05833783,0.18051556,0.70265381
3.47273637,1.15244104,0.00088312,0.06516114,0.52434915,0.00000000,0.02985049,0.05906647,0.19147467,0.73456461
3.47873937,1.20067723,0.00102916,0.06433157,0.56088236,0.00000000,0.02950514,0.06019427,0.20343582,0.77025696
3.48474237,1.25494112,0.00119717,0.06377722,0.60156418,0.00000000,0.02927829,0.06174357,0.21633697,0.80969698
3.49074537,1.31518035,0.00138846,0.06353351,0.64638082,0.00000000,0.02917907,0.06372917,0.23009739,0.85279404
3.49674837,1.38123481,0.00160432,0.06362626,0.69525773,0.00000000,0.02921147,0.06615686,0.24461666,0.89939103
3.50275138,1.45282428,0.00184585,0.06407060,0.74805196,0.00000000,0.02937399,0.06902230,0.25977445,0.94925669
3.50875438,1.52954050,0.00211397,0.06487043,0.80454680,0.00000000,0.02965963,0.07231027,0.27543127,1.00208068
3.51475738,1.61084412,0.00240932,0.06601815,0.86444900,0.00000000,0.03005607,0.07599442,0.29143010,1.05747148
3.52076038,1.69606661,0.00273215,0.06749488,0.92738869,0.00000000,0.03054608,0.08003738,0.30759884,1.11495748
3.52676338,1.78441725,0.00308230,0.06927106,0.99292192,0.00000000,0.03110813,0.08439140,0.32375361,1.17399127
3.53276638,1.87499482,0.00345909,0.07130741,1.06053590,0.00000000,0.03171720,0.08899927,0.33970268,1.23395715
3.53876938,1.96680370,0.00386125,0.07355612,1.12965652,0.00000000,0.03234573,0.09379568,0.35525091,1.29418155
3.54477239,2.05877364,0.00428688,0.07596237,1.19965804,0.00000000,0.03296462,0.09870881,0.37020446,1.35394618
3.55077539,2.14978261,0.00473340,0.07846596,1.26987441,0.00000000,0.03354435,0.10366219,0.38437564,1.41250345
3.55677839,2.23868174,0.00519751,0.08100311,1.33961192,0.00000000,0.03405607,0.10857670,0.39758751,1.46909342
3.56278139,2.32432152,0.00567520,0.08350827,1.40816267,0.00000000,0.03447263,0.11337263,0.40967824,1.52296210
3.56878439,2.40557822,0.00616172,0.08591592,1.47481837,0.00000000,0.03476958,0.11797174,0.42050482,1.57337992
3.57478739,2.48137972,0.00665168,0.08816232,1.53888400,0.00000000,0.03492596,0.12229929,0.42994605,1.61966016
3.58079040,2.55072979,0.00713909,0.09018714,1.59969093,0.00000000,0.03492501,0.12628585,0.43790470,1.66117637
3.58679340,2.61273008,0.00761742,0.09193492,1.65660922,0.00000000,0.03475467,0.12986897,0.44430875,1.69737830
3.59279640,2.66659921,0.00807979,0.09335636,1.70905865,0.00000000,0.03440784,0.13299459,0.44911169,1.72780569
3.59879940,2.71168840,0.00851908,0.09440934,1.75651839,0.00000000,0.03388250,0.13561811,0.45229191,1.75209954
3.60480240,2.74749337,0.00892809,0.09505974,1.79853514,0.00000000,0.03318161,0.13770522,0.45385135,1.77001046
3.61080540,2.77366229,0.00929976,0.09528207,1.83472976,0.00000000,0.03231283,0.13923236,0.45381348,1.78140380
