energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
1.14957479,4.77268886,0.76988784,0.00139313,2.16300277,2.11500215,0.22914252,0.95112132
1.15557779,4.68798517,0.73288285,0.00136458,2.12017897,2.10133374,0.22854498,0.93722926
1.16158079,4.60467923,0.69870611,0.00133541,2.07999502,2.08578922,0.22794121,0.92549908
1.16758379,4.52549888,0.66816783,0.00130624,2.04390226,2.06923553,0.22742490,0.91672482
1.17358679,4.45301773,0.64197449,0.00127765,2.01323333,2.05255620,0.22708781,0.91162832
1.17958979,4.38958538,0.62070920,0.00125020,1.98916466,2.03662524,0.22701691,0.91083524
1.18559280,4.33726096,0.60481576,0.00122437,1.97268173,2.02227932,0.22729140,0.91485295
1.19159580,4.29775106,0.59458668,0.00120060,1.96454815,2.01028896,0.22797962,0.92405094
1.19759880,4.27235360,0.59015548,0.00117924,1.96527903,2.00132945,0.22913598,0.93864428
1.20360180,4.26190948,0.59149324,0.00116058,1.97511961,1.99595262,0.23079802,0.95868079
1.20960480,4.26676369,0.59840964,0.00114478,1.99403012,1.99456063,0.23298375,0.98403258
1.21560780,4.28673807,0.61055822,0.00113195,2.02167738,1.99738304,0.23568942,1.01439236
1.22161081,4.32111752,0.62744594,0.00112204,2.05743432,2.00445853,0.23888785,1.04927500
1.22761381,4.36865154,0.64844670,0.00111495,2.10038776,2.01562252,0.24252755,1.08802478
1.23361681,4.42757250,0.67281848,0.00111044,2.14935519,2.03050184,0.24653262,1.12982816
1.23961981,4.49563142,0.69972390,0.00110817,2.20291045,2.04851722,0.25080370,1.17373241
1.24562281,4.57015160,0.72825353,0.00110773,2.25941842,2.06889424,0.25521987,1.21866951
1.25162581,4.64809938,0.75745137,0.00110860,2.31707786,2.09068270,0.25964160,1.26348489
1.25762881,4.72617045,0.78634196,0.00111020,2.37397176,2.11278427,0.26391461,1.30697035
1.26363182,4.80088946,0.81395814,0.00111192,2.42812337,2.13398742,0.26787457,1.34789987
1.26963482,4.86871949,0.83936874,0.00111309,2.47755652,2.15300857,0.27135254,1.38506748
1.27563782,4.92617758,0.86170528,0.00111306,2.52035781,2.16853764,0.27418076,1.41732539
1.28164082,4.96995160,0.88018681,0.00111116,2.55473846,2.17928636,0.27619869,1.44362126
1.28764382,4.99701391,0.89414188,0.00110681,2.57909334,2.18403684,0.27725900,1.46303295
1.29364682,5.00472675,0.90302713,0.00109944,2.59205479,2.18168855,0.27723313,1.47479929
1.29964982,4.99093495,0.90644151,0.00108860,2.59253894,2.17130131,0.27601634,1.47834579
1.30565283,4.95404191,0.90413589,0.00107392,2.57978263,2.15213245,0.27353181,1.47330393
1.31165583,4.89306551,0.89601758,0.00105514,2.55336937,2.12366638,0.26973378,1.45952349
1.31765883,4.80767171,0.88214968,0.00103213,2.51324339,2.08563536,0.26460947,1.43707735
1.32366183,4.69818482,0.86274549,0.00100488,2.45971127,2.03803067,0.25817979,1.40625866
1.32966483,4.56557409,0.83815811,0.00097351,2.39343141,1.98110378,0.25049869,1.36757063
1.33566783,4.41141823,0.80886600,0.00093826,2.31539194,1.91535781,0.24165150,1.32170965
1.34167084,4.23784963,0.77545507,0.00089948,2.22687852,1.84152997,0.23175199,1.26954247
1.34767384,4.04748180,0.73859815,0.00085762,2.12943357,1.76056613,0.22093869,1.21207873
1.35367684,3.84332361,0.69903289,0.00081322,2.02480905,1.67358885,0.20937041,1.15044004
1.35967984,3.62868471,0.65753884,0.00076687,1.91491506,1.58186083,0.19722140,1.08582714
1.36568284,3.40707660,0.61491488,0.00071923,1.80176642,1.48674545,0.18467623,1.01948646
1.37168584,3.18211379,0.57195769,0.00067098,1.68742958,1.38966638,0.17192479,0.95267742
1.37768884,2.95741904,0.52944204,0.00062281,1.57397190,1.29206805,0.15915754,0.88664169
1.38369185,2.73653632,0.48810360,0.00057539,1.46341496,1.19537860,0.14656118,0.82257543
1.38969485,2.52285429,0.44862448,0.00052940,1.35769323,1.10097664,0.13431506,0.76160517
1.39569785,2.31954237,0.41162198,0.00048547,1.25861926,1.01016298,0.12258826,0.70476793
1.40170085,2.12950060,0.37764047,0.00044418,1.16785567,0.92413787,0.11153742,0.65299573
1.40770385,1.95532362,0.34714626,0.00040607,1.08689417,0.84398422,0.10130552,0.60710450
1.41370685,1.79927833,0.32052539,0.00037163,1.01704129,0.77065670,0.09202128,0.56778721
1.41970985,1.66329412,0.29808384,0.00034127,0.95941022,0.70497643,0.08379931,0.53561071
1.42571286,1.54896396,0.28004972,0.00031537,0.91491791,0.64763066,0.07674083,0.51101589
1.43171586,1.45755427,0.26657708,0.00029425,0.88428635,0.59917659,0.07093476,0.49432038
1.43771886,1.39002127,0.25775080,0.00027816,0.86804715,0.56004844,0.06645913,0.48572341
1.44372186,1.34703138,0.25359206,0.00026732,0.86654796,0.53056667,0.06338251,0.48531193
1.44972486,1.32898342,0.25406408,0.00026188,0.87996018,0.51094837,0.06176543,0.49306772
1.45572786,1.33603055,0.25907769,0.00026196,0.90828664,0.50131782,0.06166152,0.50887484
1.46173087,1.36810006,0.26849660,0.00026763,0.95136888,0.50171634,0.06311838,0.53252715
1.46773387,1.42490979,0.28214201,0.00027893,1.00889335,0.51211066,0.06617787,0.56373557
1.47373687,1.50598012,0.29979670,0.00029582,1.08039643,0.53239934,0.07087606,0.60213497
1.47973987,1.61064131,0.32120843,0.00031825,1.16526801,0.56241679,0.07724248,0.64729070
1.48574287,1.73803596,0.34609270,0.00034610,1.26275399,0.60193483,0.08529889,0.69870453
1.49174587,1.88711725,0.37413513,0.00037917,1.37195798,0.65066180,0.09505762,0.75582039
1.49774887,2.05664379,0.40499339,0.00041723,1.49184263,0.70823947,0.10651939,0.81802975
