energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.26763382,2.73312171,0.00078679,0.79186978,0.60535592,0.24061117,0.83728978,1.12213099,0.00325919,0.60486040
-5.26163082,2.75414353,0.00076959,0.82350146,0.59508970,0.23171313,0.86535513,1.13603983,0.00293104,0.58345961
-5.25562781,2.76799338,0.00074969,0.85183063,0.58438131,0.22266934,0.89020011,1.14651616,0.00262808,0.56194130
-5.24962481,2.77402237,0.00072755,0.87635576,0.57313828,0.21353452,0.91131058,1.15334421,0.00235126,0.54037748
-5.24362181,2.77172760,0.00070363,0.89664344,0.56128898,0.20436258,0.92823991,1.15638100,0.00210099,0.51883704
-5.23761881,2.76077245,0.00067846,0.91234162,0.54878397,0.19520576,0.94062295,1.15556314,0.00187713,0.49738533
-5.23161581,2.74100316,0.00065258,0.92319055,0.53559723,0.18611415,0.94818753,1.15091179,0.00167911,0.47608458
-5.22561281,2.71246088,0.00062653,0.92903080,0.52172728,0.17713540,0.95076313,1.14253535,0.00150606,0.45499488
-5.21960980,2.67538822,0.00060084,0.92980814,0.50719801,0.16831487,0.94828634,1.13062971,0.00135682,0.43417566
-5.21360680,2.63022965,0.00057603,0.92557502,0.49205910,0.15969582,0.94080275,1.11547568,0.00123006,0.41368754
-5.20760380,2.57762536,0.00055257,0.91648845,0.47638605,0.15131981,0.92846531,1.09743363,0.00112435,0.39359422
-5.20160080,2.51839831,0.00053091,0.90280445,0.46027953,0.14322719,0.91152915,1.07693517,0.00103821,0.37396434
-5.19559780,2.45353483,0.00051145,0.88486919,0.44386412,0.13545752,0.89034304,1.05447222,0.00097016,0.35487316
-5.18959480,2.38415904,0.00049452,0.86310728,0.42728635,0.12805003,0.86533797,1.03058346,0.00091875,0.33640381
-5.18359180,2.31150219,0.00048041,0.83800758,0.41071199,0.12104390,0.83701326,1.00583878,0.00088259,0.31864815
-5.17758879,2.23686773,0.00046935,0.81010717,0.39432273,0.11447854,0.80592078,0.98082211,0.00086035,0.30170710
-5.17158579,2.16159361,0.00046149,0.77997416,0.37831227,0.10839364,0.77264801,0.95611326,0.00085077,0.28569044
-5.16558279,2.08701330,0.00045694,0.74818999,0.36288195,0.10282916,0.73780060,0.93226944,0.00085264,0.27071619
-5.15957979,2.01441706,0.00045572,0.71533200,0.34823607,0.09782524,0.70198510,0.90980724,0.00086481,0.25690951
-5.15357679,1.94501502,0.00045781,0.68195689,0.33457720,0.09342194,0.66579264,0.88918573,0.00088619,0.24440128
-5.14757379,1.87990368,0.00046309,0.64858577,0.32210142,0.08965906,0.62978405,0.87079136,0.00091566,0.23332644
-5.14157079,1.82003713,0.00047142,0.61569132,0.31099397,0.08657582,0.59447704,0.85492537,0.00095214,0.22382212
-5.13556778,1.76620401,0.00048255,0.58368736,0.30142519,0.08421058,0.56033566,0.84179424,0.00099452,0.21602580
-5.12956478,1.71901123,0.00049621,0.55292141,0.29354713,0.08260059,0.52776259,0.83150353,0.00104169,0.21007336
-5.12356178,1.67887472,0.00051205,0.52367009,0.28749082,0.08178172,0.49709406,0.82405535,0.00109248,0.20609724
-5.11755878,1.64601749,0.00052967,0.49613754,0.28336422,0.08178825,0.46859773,0.81934970,0.00114572,0.20422462
-5.11155578,1.62047482,0.00054865,0.47045674,0.28125096,0.08265263,0.44247300,0.81718948,0.00120019,0.20457573
-5.10555278,1.60210581,0.00056850,0.44669333,0.28120984,0.08440520,0.41885390,0.81728893,0.00125468,0.20726211
-5.09954977,1.59061076,0.00058873,0.42485180,0.28327494,0.08707394,0.39781390,0.81928527,0.00130797,0.21238493
-5.09354677,1.58555305,0.00060883,0.40488335,0.28745633,0.09068402,0.37937234,0.82275280,0.00135884,0.22003324
-5.08754377,1.58638446,0.00062826,0.38669517,0.29374126,0.09525741,0.36350206,0.82721908,0.00140615,0.23028216
-5.08154077,1.59247245,0.00064652,0.37016036,0.30209562,0.10081219,0.35013758,0.83218226,0.00144877,0.24319087
-5.07553777,1.60312822,0.00066312,0.35512825,0.31246568,0.10736183,0.33918365,0.83712913,0.00148570,0.25880052
-5.06953477,1.61763408,0.00067758,0.34143436,0.32477985,0.11491427,0.33052334,0.84155286,0.00151602,0.27713198
