energy_ev,total_up,Au_p_up,Au_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-4.64332166,8.42197293,2.06320113,4.12800335,0.32722341,0.00000000,2.95572799,0.00000000
-4.63731866,8.22152259,2.00410347,4.01364881,0.31545830,0.00000000,2.90950993,0.00000000
-4.63131566,7.99539173,1.94141233,3.88888280,0.30302300,0.00000000,2.85146091,0.00000000
-4.62531266,7.74651269,1.87579985,3.75520326,0.29000486,0.00000000,2.78247866,0.00000000
-4.61930965,7.47811351,1.80801748,3.61418903,0.27650314,0.00000000,2.70364336,0.00000000
-4.61330665,7.19366323,1.73888635,3.46747627,0.26262773,0.00000000,2.61619621,0.00000000
-4.60730365,6.89681103,1.66928334,3.31673416,0.24849739,0.00000000,2.52151310,0.00000000
-4.60130065,6.59132001,1.60012295,3.16364001,0.23423750,0.00000000,2.42107387,0.00000000
-4.59529765,6.28099662,1.53233577,3.00985380,0.21997735,0.00000000,2.31642804,0.00000000
-4.58929465,5.96961716,1.46684412,2.85699239,0.20584729,0.00000000,2.20915788,0.00000000
-4.58329165,5.66085306,1.40453600,2.70660375,0.19197569,0.00000000,2.10084012,0.00000000
-4.57728864,5.35819697,1.34623838,2.56014159,0.17848587,0.00000000,1.99300743,0.00000000
-4.57128564,5.06489189,1.29269118,2.41894100,0.16549326,0.00000000,1.88711116,0.00000000
-4.56528264,4.78386572,1.24452307,2.28419597,0.15310284,0.00000000,1.78448662,0.00000000
-4.55927964,4.51767365,1.20223045,2.15693935,0.14140690,0.00000000,1.68632229,0.00000000
-4.55327664,4.26845067,1.16616056,2.03802631,0.13048336,0.00000000,1.59363402,0.00000000
-4.54727364,4.03787623,1.13649981,1.92812195,0.12039463,0.00000000,1.50724535,0.00000000
-4.54127064,3.82715262,1.11326782,1.82769387,0.11118703,0.00000000,1.42777452,0.00000000
-4.53526763,3.63699824,1.09631782,1.73701020,0.10289075,0.00000000,1.35562885,0.00000000
-4.52926463,3.46765611,1.08534330,1.65614341,0.09552046,0.00000000,1.29100636,0.00000000
-4.52326163,3.31891743,1.07989088,1.58497994,0.08907630,0.00000000,1.23390457,0.00000000
-4.51725863,3.19015922,1.07937872,1.52323539,0.08354535,0.00000000,1.18413591,0.00000000
-4.51125563,3.08039424,1.08311982,1.47047473,0.07890339,0.00000000,1.14134889,0.00000000
-4.50525263,2.98833098,1.09034901,1.42613663,0.07511684,0.00000000,1.10505394,0.00000000
-4.49924962,2.91244079,1.10025236,1.38956081,0.07214484,0.00000000,1.07465257,0.00000000
-4.49324662,2.85102893,1.11199771,1.36001706,0.06994121,0.00000000,1.04946848,0.00000000
-4.48724362,2.80230613,1.12476479,1.33673463,0.06845640,0.00000000,1.02877909,0.00000000
-4.48124062,2.76445731,1.13777343,1.31893032,0.06763906,0.00000000,1.01184604,0.00000000
-4.47523762,2.73570409,1.15030868,1.30583412,0.06743746,0.00000000,0.99794328,0.00000000
-4.46923462,2.71435861,1.16174156,1.29671105,0.06780041,0.00000000,0.98638166,0.00000000
-4.46323162,2.69886616,1.17154469,1.29087828,0.06867794,0.00000000,0.97652895,0.00000000
-4.45722861,2.68783548,1.17930204,1.28771684,0.07002151,0.00000000,0.96782483,0.00000000
-4.45122561,2.68005572,1.18471275,1.28667777,0.07178390,0.00000000,0.95979033,0.00000000
-4.44522261,2.67450060,1.18758900,1.28728260,0.07391879,0.00000000,0.95203195,0.00000000
-4.43921961,2.67032053,1.18784849,1.28911884,0.07638020,0.00000000,0.94424055,0.00000000
-4.43321661,2.66682449,1.18550223,1.29183118,0.07912169,0.00000000,0.93618583,0.00000000
-4.42721361,2.66345413,1.18063869,1.29510956,0.08209559,0.00000000,0.92770712,0.00000000
-4.42121061,2.65975261,1.17340555,1.29867532,0.08525233,0.00000000,0.91870154,0.00000000
-4.41520760,2.65533150,1.16399041,1.30226693,0.08853993,0.00000000,0.90911060,0.00000000
-4.40920460,2.64983843,1.15260165,1.30562657,0.09190371,0.00000000,0.89890646,0.00000000
-4.40320160,2.64292851,1.13945094,1.30848899,0.09528640,0.00000000,0.88807889,0.00000000
-4.39719860,2.63424181,1.12473825,1.31057352,0.09862860,0.00000000,0.87662377,0.00000000
-4.39119560,2.62338868,1.10864039,1.31158017,0.10186966,0.00000000,0.86453409,0.00000000
-4.38519260,2.60994410,1.09130359,1.31119027,0.10494889,0.00000000,0.85179383,0.00000000
-4.37918959,2.59345136,1.07284041,1.30907152,0.10780717,0.00000000,0.83837501,0.00000000
-4.37318659,2.57343472,1.05333086,1.30488740,0.11038878,0.00000000,0.82423792,0.00000000
-4.36718359,2.54941971,1.03282738,1.29831013,0.11264343,0.00000000,0.80933433,0.00000000
-4.36118059,2.52095956,1.01136300,1.28903618,0.11452829,0.00000000,0.79361306,0.00000000
-4.35517759,2.48766528,0.98896180,1.27680324,0.11600997,0.00000000,0.77702734,0.00000000
-4.34917459,2.44923700,0.96565064,1.26140740,0.11706626,0.00000000,0.75954322,0.00000000
-4.34317159,2.40549372,0.94147103,1.24271889,0.11768754,0.00000000,0.74114805,0.00000000
-4.33716858,2.35639920,0.91649008,1.22069550,0.11787769,0.00000000,0.72185832,0.00000000
-4.33116558,2.30208133,0.89080958,1.19539218,0.11765448,0.00000000,0.70172601,0.00000000
-4.32516258,2.24284357,0.86457220,1.16696625,0.11704932,0.00000000,0.68084286,0.00000000
-4.31915958,2.17916682,0.83796452,1.13567738,0.11610639,0.00000000,0.65934212,0.00000000
