energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-5.35767884,1.36423457,0.14563011,0.74078907,0.00008561,0.04842316,0.21206450,0.25884856,0.00067749,0.40215468
-5.35167584,1.40964028,0.15692926,0.75297886,0.00009908,0.04819774,0.21146595,0.28709496,0.00078829,0.40417313
-5.34567284,1.46111843,0.16937934,0.76818136,0.00011391,0.04803051,0.21111496,0.31761986,0.00091349,0.40685323
-5.33966983,1.51872591,0.18303622,0.78655818,0.00013011,0.04792781,0.21101378,0.35029786,0.00105453,0.41020926
-5.33366683,1.58240840,0.19795691,0.80822906,0.00014767,0.04789500,0.21115585,0.38494771,0.00121295,0.41423562
-5.32766383,1.65200279,0.21420056,0.83327425,0.00016654,0.04793658,0.21152631,0.42133235,0.00139042,0.41890639
-5.32166083,1.72724301,0.23182963,0.86173801,0.00018667,0.04805629,0.21210262,0.45916087,0.00158872,0.42417505
-5.31565783,1.80776909,0.25091088,0.89363323,0.00020796,0.04825728,0.21285538,0.49809257,0.00180977,0.42997459
-5.30965483,1.89313935,0.27151622,0.92894679,0.00023031,0.04854219,0.21374922,0.53774318,0.00205559,0.43621796
-5.30365183,1.98284530,0.29372319,0.96764553,0.00025360,0.04891328,0.21474397,0.57769305,0.00232830,0.44279901
-5.29764882,2.07632887,0.31761491,1.00968252,0.00027771,0.04937248,0.21579586,0.61749717,0.00263006,0.44959390
-5.29164582,2.17300120,0.34327945,1.05500336,0.00030251,0.04992141,0.21685886,0.65669677,0.00296306,0.45646319
-5.28564282,2.27226234,0.37080827,1.10355205,0.00032785,0.05056135,0.21788615,0.69483185,0.00332943,0.46325446
-5.27963982,2.37352087,0.40029392,1.15527624,0.00035363,0.05129314,0.21883160,0.73145448,0.00373118,0.46980557
-5.27363682,2.47621255,0.43182672,1.21013146,0.00037975,0.05211708,0.21965128,0.76614197,0.00417009,0.47594843
-5.26763382,2.57981711,0.46549049,1.26808400,0.00040614,0.05303268,0.22030488,0.79850955,0.00464765,0.48151333
-5.26163082,2.68387227,0.50135750,1.32911231,0.00043277,0.05403847,0.22075707,0.82822190,0.00516488,0.48633346
-5.25562781,2.78798426,0.53948273,1.39320663,0.00045966,0.05513164,0.22097861,0.85500293,0.00572228,0.49024975
-5.24962481,2.89183439,0.57989764,1.46036706,0.00048689,0.05630777,0.22094723,0.87864351,0.00631964,0.49311561
-5.24362181,2.99518131,0.62260386,1.53059981,0.00051457,0.05756052,0.22064828,0.89900654,0.00695597,0.49480150
-5.23761881,3.09785893,0.66756711,1.60391219,0.00054291,0.05888124,0.22007494,0.91602934,0.00762938,0.49519915
-5.23161581,3.19977038,0.71471165,1.68030644,0.00057215,0.06025878,0.21922817,0.92972322,0.00833699,0.49422508
-5.22561281,3.30087847,0.76391591,1.75977285,0.00060264,0.06167923,0.21811628,0.94017016,0.00907488,0.49182355
-5.21960980,3.40119336,0.81500945,1.84228286,0.00063473,0.06312584,0.21675414,0.94751700,0.00983805,0.48796853
-5.21360680,3.50075857,0.86777168,1.92778234,0.00066888,0.06457900,0.21516220,0.95196736,0.01062046,0.48266479
-5.20760380,3.59963621,0.92193266,2.01618595,0.00070555,0.06601642,0.21336524,0.95377173,0.01141505,0.47594801
-5.20160080,3.69789256,0.97717609,2.10737278,0.00074525,0.06741339,0.21139094,0.95321631,0.01221386,0.46788390
