energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-5.15357679,3.37861409,0.00172583,0.50446092,0.41756135,0.37611588,0.69708863,1.77154395,0.99152947,0.00000000
-5.14757379,3.29568313,0.00159771,0.50629820,0.41039735,0.36421351,0.68583380,1.71280645,0.97179907,0.00000000
-5.14157079,3.20548610,0.00147314,0.50524889,0.40200223,0.35161877,0.67180473,1.65235012,0.94986016,0.00000000
-5.13556778,3.10908182,0.00135238,0.50139353,0.39252697,0.33848936,0.65522772,1.59070993,0.92605490,0.00000000
-5.12956478,3.00757710,0.00123580,0.49487278,0.38213887,0.32498715,0.63637289,1.52838442,0.90074053,0.00000000
-5.12356178,2.90211690,0.00112381,0.48588457,0.37101816,0.31127657,0.61554981,1.46583636,0.87428422,0.00000000
-5.11755878,2.79387579,0.00101683,0.47467981,0.35935476,0.29752317,0.59310252,1.40349528,0.84705881,0.00000000
-5.11155578,2.68405041,0.00091528,0.46155685,0.34734522,0.28389249,0.56940403,1.34176135,0.81943956,0.00000000
-5.10555278,2.57385278,0.00081953,0.44685490,0.33519003,0.27054908,0.54485052,1.28101028,0.79180174,0.00000000
-5.09954977,2.46450399,0.00072991,0.43094656,0.32309120,0.25765568,0.51985524,1.22159845,0.76451903,0.00000000
-5.09354677,2.35722794,0.00064666,0.41422989,0.31125016,0.24537243,0.49484237,1.16386803,0.73796238,0.00000000
-5.08754377,2.25324447,0.00056994,0.39711998,0.29986592,0.23385614,0.47024075,1.10815141,0.71249916,0.00000000
-5.08154077,2.15376150,0.00049985,0.38004043,0.28913341,0.22325939,0.44647760,1.05477459,0.68849226,0.00000000
-5.07553777,2.05996554,0.00043636,0.36341474,0.27924187,0.21372951,0.42397227,1.00405921,0.66629871,0.00000000
-5.06953477,1.97301022,0.00037939,0.34765791,0.27037319,0.20540723,0.40312998,0.95632275,0.64626766,0.00000000
-5.06353177,1.89400237,0.00032876,0.33316814,0.26270006,0.19842509,0.38433551,0.91187697,0.62873728,0.00000000
-5.05752876,1.82398544,0.00028424,0.32031897,0.25638391,0.19290537,0.36794692,0.87102433,0.61403052,0.00000000
-5.05152576,1.76392032,0.00024553,0.30945166,0.25157232,0.18895779,0.35428919,0.83405248,0.60244947,0.00000000
-5.04552276,1.71466355,0.00021229,0.30086808,0.24839620,0.18667667,0.34364785,0.80122700,0.59426841,0.00000000
-5.03951976,1.67694342,0.00018414,0.29482399,0.24696644,0.18613786,0.33626258,0.77278264,0.58972552,0.00000000
-5.03351676,1.65133463,0.00016068,0.29152295,0.24737024,0.18739541,0.33232093,0.74891337,0.58901368,0.00000000
-5.02751376,1.63823234,0.00014150,0.29111078,0.24966713,0.19047811,0.33195228,0.72976180,0.59227047,0.00000000
-5.02151076,1.63782679,0.00012619,0.29367087,0.25388500,0.19538608,0.33522216,0.71540854,0.59956804,0.00000000
-5.01550775,1.65007974,0.00011432,0.29922026,0.26001613,0.20208754,0.34212721,0.70586189,0.61090328,0.00000000
-5.00950475,1.67470430,0.00010550,0.30770695,0.26801368,0.21051605,0.35259105,0.70104879,0.62618894,0.00000000
-5.00350175,1.71114939,0.00009933,0.31900832,0.27778870,0.22056836,0.36646128,0.70080743,0.64524633,0.00000000
-4.99749875,1.75859065,0.00009544,0.33293111,0.28920816,0.23210312,0.38350810,0.70488224,0.66780027,0.00000000
-4.99149575,1.81592875,0.00009347,0.34921303,0.30209406,0.24494066,0.40342458,0.71292172,0.69347688,0.00000000
-4.98549275,1.88179643,0.00009308,0.36752614,0.31622399,0.25886395,0.42582913,0.72447953,0.72180461,0.00000000
-4.97948974,1.95457505,0.00009397,0.38748216,0.33133323,0.27362094,0.45027019,0.73901926,0.75221892,0.00000000
-4.97348674,2.03242078,0.00009585,0.40863977,0.34711855,0.28892826,0.47623326,0.75592271,0.78407090,0.00000000
-4.96748374,2.11330062,0.00009843,0.43051378,0.36324372,0.30447639,0.50315047,0.77450195,0.81663958,0.00000000
-4.96148074,2.19503741,0.00010148,0.45258621,0.37934667,0.31993607,0.53041239,0.79401470,0.84914797,0.00000000
-4.95547774,2.27536278,0.00010478,0.47431875,0.39504806,0.33496597,0.55738193,0.81368263,0.88078224,0.00000000
-4.94947474,2.35197640,0.00010811,0.49516669,0.40996116,0.34922128,0.58341005,0.83271199,0.91071352,0.00000000
-4.94347174,2.42260941,0.00011131,0.51459343,0.42370252,0.36236291,0.60785262,0.85031584,0.93812144,0.00000000
-4.93746873,2.48508979,0.00011421,0.53208552,0.43590317,0.37406712,0.63008811,0.86573689,0.96221862,0.00000000
-4.93146573,2.53740676,0.00011669,0.54716730,0.44621979,0.38403497,0.64953509,0.87827014,0.98227487,0.00000000
-4.92546273,2.57777178,0.00011864,0.55941479,0.45434539,0.39200139,0.66566926,0.88728427,0.99764036,0.00000000
-4.91945973,2.60467328,0.00011998,0.56846821,0.46001909,0.39774337,0.67803890,0.89224078,1.00776639,0.00000000
-4.91345673,2.61692287,0.00012066,0.57404253,0.46303447,0.40108690,0.68627835,0.89271022,1.01222312,0.00000000
-4.90745373,2.61369080,0.00012065,0.57593560,0.46324612,0.40191251,0.69011870,0.88838456,1.01071328,0.00000000
-4.90145073,2.59452917,0.00011997,0.57403359,0.46057412,0.40015882,0.68939540,0.87908542,1.00308122,0.00000000
-4.89544772,2.55938188,0.00011863,0.56831337,0.45500620,0.39582437,0.68405225,0.86476752,0.98931710,0.00000000
-4.88944472,2.50858096,0.00011670,0.55884177,0.44659757,0.38896731,0.67414171,0.84551756,0.96955577,0.00000000
-4.88344172,2.44282952,0.00011427,0.54577178,0.43546828,0.37970313,0.65982148,0.82154844,0.94407076,0.00000000
-4.87743872,2.36317232,0.00011145,0.52933592,0.42179842,0.36820056,0.64134751,0.79318917,0.91326341,0.00000000
-4.87143572,2.27095545,0.00010838,0.50983696,0.40582136,0.35467584,0.61906384,0.76087120,0.87764799,0.00000000
-4.86543272,2.16777712,0.00010524,0.48763664,0.38781522,0.33938554,0.59338966,0.72511165,0.83783329,0.00000000
-4.85942971,2.05543195,0.00010221,0.46314274,0.36809327,0.32261845,0.56480433,0.68649434,0.79450178,0.00000000
-4.85342671,1.93585122,0.00009953,0.43679513,0.34699338,0.30468679,0.53383095,0.64564959,0.74838719,0.00000000
-4.84742371,1.81104194,0.00009744,0.40905154,0.32486724,0.28591717,0.50101924,0.60323360,0.70025156,0.00000000
-4.84142071,1.68302704,0.00009623,0.38037346,0.30206972,0.26664163,0.46692854,0.55990828,0.65086265,0.00000000
-4.83541771,1.55378931,0.00009619,0.35121285,0.27894873,0.24718919,0.43211146,0.51632238,0.60097279,0.00000000
-4.82941471,1.42522078,0.00009766,0.32200015,0.25583610,0.22787815,0.39709898,0.47309456,0.55129968,0.00000000
-4.82341171,1.29907947,0.00010099,0.29313387,0.23303966,0.20900940,0.36238740,0.43079897,0.50250991,0.00000000
-4.81740870,1.17695433,0.00010656,0.26497228,0.21083682,0.19086080,0.32842750,0.38995356,0.45520573,0.00000000
-4.81140570,1.06023912,0.00011479,0.23782704,0.18946973,0.17368295,0.29561627,0.35101152,0.40991500,0.00000000
-4.80540270,0.95011537,0.00012608,0.21195918,0.16914211,0.15769605,0.26429121,0.31435571,0.36708473,0.00000000
-4.79939970,0.84754395,0.00014088,0.18757709,0.15001764,0.14308806,0.23472727,0.28029596,0.32707784,0.00000000
-4.79339670,0.75326471,0.00015962,0.16483662,0.13222000,0.13001387,0.20713612,0.24906914,0.29017307,0.00000000
-4.78739370,0.66780294,0.00018276,0.14384279,0.11583404,0.11859543,0.18166773,0.22084141,0.25656753,0.00000000
-4.78139070,0.59148160,0.00021072,0.12465319,0.10090828,0.10892255,0.15841377,0.19571236,0.22638146,0.00000000
-4.77538769,0.52443787,0.00024390,0.10728236,0.08745818,0.10105426,0.13741248,0.17372064,0.19966477,0.00000000
-4.76938469,0.46664265,0.00028267,0.09170712,0.07547013,0.09502045,0.11865471,0.15485040,0.17640475,0.00000000
-4.76338169,0.41792164,0.00032733,0.07787243,0.06490577,0.09082373,0.10209066,0.13903833,0.15653445,0.00000000
