energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-4.90745373,6.32707569,1.38708359,4.60820581,0.07570870,0.10945688,0.68927080,0.00000000,1.13189599,0.00000000
-4.90145073,6.16728202,1.36192338,4.47650661,0.07320071,0.10692439,0.68469556,0.00000000,1.11681047,0.00000000
-4.89544772,6.01661246,1.33755322,4.35162538,0.07061284,0.10453812,0.68094643,0.00000000,1.10327622,0.00000000
-4.88944472,5.87848992,1.31477116,4.23606336,0.06800039,0.10236651,0.67835044,0.00000000,1.09187481,0.00000000
-4.88344172,5.75608205,1.29431747,4.13212874,0.06541668,0.10047003,0.67719901,0.00000000,1.08315410,0.00000000
-4.87743872,5.65221151,1.27685097,4.04187052,0.06291146,0.09889900,0.67773708,0.00000000,1.07761361,0.00000000
-4.87143572,5.56927588,1.26292796,3.96702036,0.06052950,0.09769178,0.68015358,0.00000000,1.07569034,0.00000000
-4.86543272,5.50918000,1.25298462,3.90894428,0.05830939,0.09687345,0.68457360,0.00000000,1.07774580,0.00000000
-4.85942971,5.47328337,1.24732365,3.86860613,0.05628274,0.09645508,0.69105266,0.00000000,1.08405450,0.00000000
-4.85342671,5.46236451,1.24610560,3.84654394,0.05447352,0.09643368,0.69957342,0.00000000,1.09479458,0.00000000
-4.84742371,5.47660397,1.24934531,3.84286032,0.05289784,0.09679268,0.71004510,0.00000000,1.11004099,0.00000000
-4.84142071,5.51558657,1.25691381,3.85722702,0.05156399,0.09750304,0.72230564,0.00000000,1.12976163,0.00000000
-4.83541771,5.57832317,1.26854543,3.88890358,0.05047267,0.09852501,0.73612684,0.00000000,1.15381675,0.00000000
-4.82941471,5.66329111,1.28385006,3.93676937,0.04961762,0.09981028,0.75122207,0.00000000,1.18196181,0.00000000
-4.82341171,5.76849182,1.30233007,3.99936746,0.04898635,0.10130459,0.76725658,0.00000000,1.21385381,0.00000000
-4.81740870,5.89152340,1.32340119,4.07495870,0.04856102,0.10295063,0.78385978,0.00000000,1.24906098,0.00000000
-4.81140570,6.02966523,1.34641658,4.16158362,0.04831958,0.10469108,0.80063928,0.00000000,1.28707557,0.00000000
-4.80540270,6.17997110,1.37069319,4.25712947,0.04823677,0.10647170,0.81719582,0.00000000,1.32732930,0.00000000
-4.79939970,6.33936707,1.39553915,4.35939975,0.04828533,0.10824425,0.83313868,0.00000000,1.36921094,0.00000000
-4.79339670,6.50474997,1.42028129,4.46618303,0.04843708,0.10996928,0.84810075,0.00000000,1.41208528,0.00000000
-4.78739370,6.67308244,1.44429153,4.57531849,0.04866394,0.11161838,0.86175260,0.00000000,1.45531277,0.00000000
-4.78139070,6.84148059,1.46701108,4.68475529,0.04893890,0.11317613,0.87381502,0.00000000,1.49826906,0.00000000
-4.77538769,7.00729085,1.48797144,4.79260358,0.04923683,0.11464131,0.88406923,0.00000000,1.54036354,0.00000000
