energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.89294647,0.18375669,0.00023806,0.02189963,0.01846644,0.02115691,0.03909372,0.12441333,0.00034696,0.01147201
-3.88694347,0.15995272,0.00020366,0.01905501,0.01668356,0.01871674,0.03339388,0.10789400,0.00029853,0.00980851
-3.88094047,0.13967390,0.00017304,0.01660569,0.01531912,0.01678762,0.02836417,0.09363359,0.00025612,0.00843201
-3.87493747,0.12283935,0.00014601,0.01454371,0.01438272,0.01536246,0.02397148,0.08157335,0.00021953,0.00732484
-3.86893447,0.10935149,0.00012237,0.01285855,0.01388448,0.01443508,0.02017720,0.07163969,0.00018851,0.00646988
-3.86293147,0.09910466,0.00010187,0.01153817,0.01383578,0.01400105,0.01693930,0.06375006,0.00016278,0.00585113
-3.85692846,0.09199228,0.00008425,0.01056987,0.01424984,0.01405838,0.01421427,0.05781809,0.00014206,0.00545415
-3.85092546,0.08791257,0.00006926,0.00994100,0.01514204,0.01460785,0.01195885,0.05375781,0.00012609,0.00526628
-3.84492246,0.08677250,0.00005661,0.00963953,0.01653010,0.01565313,0.01013146,0.05148675,0.00011462,0.00527676
-3.83891946,0.08849016,0.00004606,0.00965439,0.01843397,0.01720057,0.00869343,0.05092806,0.00010744,0.00547672
-3.83291646,0.09299546,0.00003736,0.00997565,0.02087557,0.01925878,0.00761002,0.05201167,0.00010439,0.00585904
-3.82691346,0.10022952,0.00003029,0.01059456,0.02387833,0.02183805,0.00685115,0.05467443,0.00010536,0.00641808
-3.82091046,0.11014263,0.00002463,0.01150340,0.02746656,0.02494949,0.00639197,0.05885944,0.00011032,0.00714942
-3.81490745,0.12269137,0.00002022,0.01269526,0.03166478,0.02860413,0.00621327,0.06451481,0.00011929,0.00804945
-3.80890445,0.13783496,0.00001690,0.01416369,0.03649685,0.03281195,0.00630170,0.07159183,0.00013236,0.00911501
-3.80290145,0.15553125,0.00001454,0.01590233,0.04198527,0.03758089,0.00664987,0.08004283,0.00014969,0.01034296
-3.79689845,0.17573258,0.00001304,0.01790451,0.04815033,0.04291590,0.00725636,0.08981902,0.00017154,0.01172982
-3.79089545,0.19838191,0.00001232,0.02016284,0.05500942,0.04881811,0.00812562,0.10086820,0.00019821,0.01327140
-3.78489245,0.22340941,0.00001234,0.02266888,0.06257646,0.05528418,0.00926773,0.11313291,0.00023011,0.01496253
-3.77888944,0.25072982,0.00001306,0.02541283,0.07086143,0.06230581,0.01069813,0.12654876,0.00026770,0.01679684
-3.77288644,0.28024057,0.00001447,0.02838335,0.07987003,0.06986952,0.01243718,0.14104331,0.00031150,0.01876656
-3.76688344,0.31182107,0.00001658,0.03156742,0.08960354,0.07795661,0.01450964,0.15653550,0.00036212,0.02086252
-3.76088044,0.34533283,0.00001941,0.03495036,0.10005870,0.08654344,0.01694401,0.17293559,0.00042020,0.02307416
-3.75487744,0.38062065,0.00002300,0.03851593,0.11122781,0.09560189,0.01977169,0.19014570,0.00048642,0.02538961
-3.74887444,0.41751459,0.00002739,0.04224642,0.12309865,0.10509998,0.02302594,0.20806082,0.00056149,0.02779586
-3.74287144,0.45583258,0.00003263,0.04612295,0.13565460,0.11500271,0.02674078,0.22657022,0.00064613,0.03027906
-3.73686843,0.49538341,0.00003879,0.05012571,0.14887440,0.12527292,0.03094954,0.24555912,0.00074105,0.03282468
-3.73086543,0.53596985,0.00004590,0.05423419,0.16273200,0.13587219,0.03568334,0.26491049,0.00084688,0.03541788
