energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.60730365,4.64406825,0.22094468,0.00000000,1.68536744,4.12188936,0.29582418,0.00000000
-4.60130065,4.64065547,0.21661850,0.00000000,1.67180068,4.12019936,0.29733264,0.00000000
-4.59529765,4.63881403,0.21278634,0.00000000,1.66028057,4.11886828,0.29982470,0.00000000
-4.58929465,4.63806546,0.20936302,0.00000000,1.65023800,4.11763920,0.30318333,0.00000000
-4.58329165,4.63782984,0.20625876,0.00000000,1.64109634,4.11617059,0.30727230,0.00000000
-4.57728864,4.63743085,0.20338202,0.00000000,1.63228796,4.11403547,0.31193871,0.00000000
-4.57128564,4.63610518,0.20064209,0.00000000,1.62326945,4.11072483,0.31701619,0.00000000
-4.56528264,4.63301677,0.19795159,0.00000000,1.61353526,4.10565582,0.32232862,0.00000000
-4.55927964,4.62727599,0.19522859,0.00000000,1.60262959,4.09818483,0.32769433,0.00000000
-4.55327664,4.61796366,0.19239856,0.00000000,1.59015667,4.08762558,0.33293069,0.00000000
-4.54727364,4.60415952,0.18939602,0.00000000,1.57578935,4.07327181,0.33785909,0.00000000
-4.54127064,4.58497421,0.18616583,0.00000000,1.55927607,4.05442375,0.34231001,0.00000000
-4.53526763,4.55958390,0.18266427,0.00000000,1.54044634,4.03041764,0.34612819,0.00000000
-4.52926463,4.52726590,0.17885984,0.00000000,1.51921457,4.00065683,0.34917757,0.00000000
-4.52326163,4.48743388,0.17473372,0.00000000,1.49558243,3.96464312,0.35134589,0.00000000
-4.51725863,4.43967086,0.17028004,0.00000000,1.46963937,3.92200674,0.35254869,0.00000000
-4.51125563,4.38375818,0.16550579,0.00000000,1.44156141,3.87253338,0.35273258,0.00000000
-4.50525263,4.31969879,0.16043055,0.00000000,1.41160776,3.81618672,0.35187749,0.00000000
-4.49924962,4.24773348,0.15508591,0.00000000,1.38011538,3.75312509,0.34999792,0.00000000
-4.49324662,4.16834863,0.14951460,0.00000000,1.34749110,3.68371110,0.34714286,0.00000000
-4.48724362,4.08227479,0.14376943,0.00000000,1.31420136,3.60851355,0.34339458,0.00000000
-4.48124062,3.99047575,0.13791191,0.00000000,1.28075960,3.52830104,0.33886609,0.00000000
-4.47523762,3.89412798,0.13201069,0.00000000,1.24771145,3.44402740,0.33369744,0.00000000
-4.46923462,3.79459121,0.12613978,0.00000000,1.21561801,3.35680921,0.32805094,0.00000000
-4.46323162,3.69337103,0.12037658,0.00000000,1.18503777,3.26789628,0.32210552,0.00000000
-4.45722861,3.59207486,0.11479980,0.00000000,1.15650761,3.17863617,0.31605039,0.00000000
-4.45122561,3.49236319,0.10948734,0.00000000,1.13052374,3.09043412,0.31007826,0.00000000
-4.44522261,3.39589774,0.10451411,0.00000000,1.10752324,3.00470995,0.30437854,0.00000000
-4.43921961,3.30428887,0.09994988,0.00000000,1.08786701,2.92285375,0.29913050,0.00000000
-4.43321661,3.21904409,0.09585731,0.00000000,1.07182505,2.84618195,0.29449704,0.00000000
-4.42721361,3.14151967,0.09229009,0.00000000,1.05956455,2.77589547,0.29061895,0.00000000
-4.42121061,3.07287730,0.08929132,0.00000000,1.05114164,2.71304150,0.28761022,0.00000000
-4.41520760,3.01404706,0.08689213,0.00000000,1.04649709,2.65848030,0.28555423,0.00000000
-4.40920460,2.96569826,0.08511075,0.00000000,1.04545627,2.61285804,0.28450131,0.00000000
-4.40320160,2.92821875,0.08395176,0.00000000,1.04773347,2.57658656,0.28446738,0.00000000
-4.39719860,2.90170355,0.08340582,0.00000000,1.05294046,2.54983067,0.28543394,0.00000000
-4.39119560,2.88595281,0.08344981,0.00000000,1.06059888,2.53250329,0.28734930,0.00000000
-4.38519260,2.88047912,0.08404726,0.00000000,1.07015606,2.52426845,0.29013090,0.00000000
-4.37918959,2.88452375,0.08514924,0.00000000,1.08100354,2.52455193,0.29366869,0.00000000
-4.37318659,2.89708114,0.08669561,0.00000000,1.09249760,2.53255921,0.29782939,0.00000000
-4.36718359,2.91693087,0.08861649,0.00000000,1.10398093,2.54730008,0.30246144,0.00000000
-4.36118059,2.94267585,0.09083415,0.00000000,1.11480457,2.56761904,0.30740041,0.00000000
-4.35517759,2.97278572,0.09326504,0.00000000,1.12434928,2.59223069,0.31247481,0.00000000
-4.34917459,3.00564392,0.09582198,0.00000000,1.13204563,2.61975890,0.31751187,0.00000000
-4.34317159,3.03959708,0.09841653,0.00000000,1.13739191,2.64877864,0.32234336,0.00000000
-4.33716858,3.07300511,0.10096127,0.00000000,1.13996944,2.67785919,0.32681101,0.00000000
-4.33116558,3.10429057,0.10337216,0.00000000,1.13945459,2.70560732,0.33077149,0.00000000
-4.32516258,3.13198552,0.10557073,0.00000000,1.13562730,2.73070908,0.33410083,0.00000000
