energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
1.47373687,3.72690000,0.01661693,0.10070038,0.00602157,0.00000000,1.87077563,2.29111139,0.78340933,0.00000000
1.47973987,3.70038518,0.01638243,0.09824229,0.00597912,0.00000000,1.86373253,2.27838192,0.76637067,0.00000000
1.48574287,3.66974495,0.01609029,0.09579505,0.00592778,0.00000000,1.85332237,2.26377884,0.74935371,0.00000000
1.49174587,3.63578514,0.01574345,0.09339400,0.00586883,0.00000000,1.83978364,2.24765089,0.73271067,0.00000000
1.49774887,3.59940293,0.01534656,0.09107401,0.00580382,0.00000000,1.82344364,2.23041073,0.71677693,0.00000000
1.50375188,3.56155369,0.01490579,0.08886861,0.00573449,0.00000000,1.80470536,2.21251546,0.70186239,0.00000000
1.50975488,3.52321706,0.01442859,0.08680898,0.00566268,0.00000000,1.78403198,2.19444631,0.68824417,0.00000000
1.51575788,3.48536367,0.01392338,0.08492310,0.00559031,0.00000000,1.76193003,2.17668879,0.67616099,0.00000000
1.52176088,3.44892424,0.01339928,0.08323502,0.00551926,0.00000000,1.73893184,2.15971426,0.66580923,0.00000000
1.52776388,3.41476231,0.01286575,0.08176424,0.00545133,0.00000000,1.71557821,2.14396371,0.65734098,0.00000000
1.53376688,3.38365172,0.01233225,0.08052527,0.00538818,0.00000000,1.69240193,2.12983465,0.65086374,0.00000000
1.53976988,3.35625962,0.01180798,0.07952738,0.00533124,0.00000000,1.66991292,2.11767131,0.64644202,0.00000000
1.54577289,3.33313554,0.01130155,0.07877456,0.00528174,0.00000000,1.64858530,2.10775854,0.64410036,0.00000000
1.55177589,3.31470629,0.01082078,0.07826559,0.00524060,0.00000000,1.62884697,2.10031922,0.64382780,0.00000000
1.55777889,3.30127674,0.01037241,0.07799444,0.00520847,0.00000000,1.61107167,2.09551496,0.64558322,0.00000000
1.56378189,3.29303550,0.00996206,0.07795062,0.00518571,0.00000000,1.59557365,2.09344953,0.64930147,0.00000000
1.56978489,3.29006485,0.00959403,0.07811990,0.00517238,0.00000000,1.58260477,2.09417435,0.65489972,0.00000000
1.57578789,3.29235364,0.00927130,0.07848494,0.00516829,0.00000000,1.57235378,2.09769530,0.66228377,0.00000000
1.58179090,3.29981215,0.00899552,0.07902614,0.00517298,0.00000000,1.56494746,2.10398011,0.67135388,0.00000000
1.58779390,3.31228746,0.00876703,0.07972243,0.00518582,0.00000000,1.56045321,2.11296543,0.68200988,0.00000000
1.59379690,3.32957854,0.00858500,0.08055218,0.00520596,0.00000000,1.55888264,2.12456315,0.69415524,0.00000000
1.59979990,3.35144967,0.00844749,0.08149398,0.00523244,0.00000000,1.56019582,2.13866525,0.70769993,0.00000000
1.60580290,3.37764190,0.00835164,0.08252749,0.00526418,0.00000000,1.56430590,2.15514706,0.72256183,0.00000000
1.61180590,3.40788162,0.00829380,0.08363413,0.00530003,0.00000000,1.57108364,2.17386865,0.73866697,0.00000000
1.61780890,3.44188639,0.00826972,0.08479773,0.00533881,0.00000000,1.58036190,2.19467460,0.75594828,0.00000000
1.62381191,3.47936781,0.00827473,0.08600507,0.00537931,0.00000000,1.59193982,2.21739228,0.77434333,0.00000000
1.62981491,3.52003192,0.00830390,0.08724632,0.00542033,0.00000000,1.60558678,2.24182919,0.79379112,0.00000000
1.63581791,3.56357760,0.00835220,0.08851528,0.00546071,0.00000000,1.62104611,2.26776982,0.81422832,0.00000000
1.64182091,3.60969363,0.00841468,0.08980961,0.00549929,0.00000000,1.63803871,2.29497264,0.83558520,0.00000000
1.64782391,3.65805504,0.00848659,0.09113082,0.00553501,0.00000000,1.65626673,2.32316779,0.85778179,0.00000000
1.65382691,3.70831977,0.00856351,0.09248417,0.00556682,0.00000000,1.67541740,2.35205598,0.88072436,0.00000000
1.65982991,3.76012599,0.00864142,0.09387843,0.00559378,0.00000000,1.69516706,2.38130909,0.90430284,0.00000000
1.66583292,3.81309086,0.00871682,0.09532551,0.00561499,0.00000000,1.71518572,2.41057254,0.92838924,0.00000000
1.67183592,3.86681113,0.00878674,0.09683999,0.00562966,0.00000000,1.73514178,2.43946980,0.95283729,0.00000000
1.67783892,3.92086558,0.00884884,0.09843848,0.00563707,0.00000000,1.75470725,2.46760873,0.97748348,0.00000000
1.68384192,3.97481962,0.00890139,0.10013891,0.00563662,0.00000000,1.77356312,2.49458962,1.00214933,0.00000000
1.68984492,4.02823153,0.00894326,0.10195982,0.00562782,0.00000000,1.79140484,2.52001456,1.02664500,0.00000000
1.69584792,4.08066031,0.00897395,0.10391941,0.00561028,0.00000000,1.80794764,2.54349760,1.05077377,0.00000000
1.70185093,4.13167442,0.00899354,0.10603475,0.00558378,0.00000000,1.82293156,2.56467525,1.07433730,0.00000000
1.70785393,4.18086096,0.00900267,0.10832087,0.00554820,0.00000000,1.83612589,2.58321660,1.09714128,0.00000000
1.71385693,4.22783481,0.00900245,0.11078989,0.00550359,0.00000000,1.84733292,2.59883270,1.11900102,0.00000000
1.71985993,4.27224704,0.00899445,0.11345026,0.00545014,0.00000000,1.85639066,2.61128466,1.13974668,0.00000000
1.72586293,4.31379222,0.00898063,0.11630606,0.00538818,0.00000000,1.86317473,2.62039012,1.15922783,0.00000000
1.73186593,4.35221435,0.00896325,0.11935646,0.00531818,0.00000000,1.86759908,2.62602791,1.17731687,0.00000000
1.73786893,4.38731103,0.00894480,0.12259528,0.00524077,0.00000000,1.86961576,2.62814078,1.19391135,0.00000000
1.74387194,4.41893597,0.00892795,0.12601083,0.00515667,0.00000000,1.86921386,2.62673621,1.20893487,0.00000000
1.74987494,4.44699977,0.00891546,0.12958586,0.00506673,0.00000000,1.86641765,2.62188555,1.22233661,0.00000000
1.75587794,4.47146922,0.00891009,0.13329778,0.00497189,0.00000000,1.86128423,2.61372159,1.23408970,0.00000000
1.76188094,4.49236529,0.00891456,0.13711902,0.00487315,0.00000000,1.85390086,2.60243493,1.24418833,0.00000000
1.76788394,4.50976005,0.00893145,0.14101766,0.00477157,0.00000000,1.84438219,2.58826939,1.25264424,0.00000000
1.77388694,4.52377285,0.00896314,0.14495814,0.00466826,0.00000000,1.83286748,2.57151665,1.25948253,0.00000000
1.77988994,4.53456588,0.00901174,0.14890216,0.00456430,0.00000000,1.81951811,2.55251046,1.26473742,0.00000000
1.78589295,4.54233931,0.00907907,0.15280961,0.00446080,0.00000000,1.80451516,2.53162038,1.26844814,0.00000000
1.79189595,4.54732594,0.00916656,0.15663963,0.00435882,0.00000000,1.78805729,2.50924512,1.27065528,0.00000000
