energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.29164582,2.95569536,0.92145798,1.76042288,0.00712800,0.13038691,0.72535928,0.00000000
-5.28564282,2.85165393,0.91097911,1.68054799,0.00643218,0.12917659,0.70943508,0.00000000
-5.27963982,2.75085253,0.89689467,1.60513540,0.00578136,0.12747069,0.69353533,0.00000000
-5.27363682,2.65358459,0.87934314,1.53441162,0.00517776,0.12529319,0.67762176,0.00000000
-5.26763382,2.56025789,0.85856928,1.46864164,0.00462332,0.12267947,0.66169918,0.00000000
-5.26163082,2.47138427,0.83491584,1.40812167,0.00411969,0.11967560,0.64581511,0.00000000
-5.25562781,2.38756841,0.80881190,1.35317336,0.00366820,0.11633722,0.63005826,0.00000000
-5.24962481,2.30949538,0.78075827,1.30413902,0.00326986,0.11272816,0.61455565,0.00000000
-5.24362181,2.23791646,0.75131061,1.26137753,0.00292537,0.10891863,0.59946834,0.00000000
-5.23761881,2.17363302,0.72106076,1.22526034,0.00263519,0.10498332,0.58498573,0.00000000
-5.23161581,2.11747802,0.69061705,1.19616705,0.00239958,0.10099921,0.57131868,0.00000000
-5.22561281,2.07029531,0.66058442,1.17448015,0.00221865,0.09704328,0.55869136,0.00000000
-5.21960980,2.03291677,0.63154497,1.16057851,0.00209247,0.09319029,0.54733231,0.00000000
-5.21360680,2.00613783,0.60403970,1.15482971,0.00202111,0.08951053,0.53746483,0.00000000
-5.20760380,1.99069217,0.57855215,1.15758096,0.00200469,0.08606783,0.52929728,0.00000000
-5.20160080,1.98722643,0.55549457,1.16914923,0.00204349,0.08291771,0.52301360,0.00000000
-5.19559780,1.99627624,0.53519686,1.18981068,0.00213792,0.08010596,0.51876450,0.00000000
-5.18959480,2.01824459,0.51789890,1.21979010,0.00228860,0.07766746,0.51665988,0.00000000
-5.18359180,2.05338384,0.50374629,1.25925084,0.00249633,0.07562555,0.51676277,0.00000000
-5.17758879,2.10178229,0.49278951,1.30828595,0.00276207,0.07399173,0.51908524,0.00000000
-5.17158579,2.16335609,0.48498665,1.36691073,0.00308694,0.07276587,0.52358647,0.00000000
-5.16558279,2.23784702,0.48020913,1.43505742,0.00347209,0.07193682,0.53017308,0.00000000
-5.15957979,2.32482621,0.47825037,1.51257189,0.00391872,0.07148341,0.53870184,0.00000000
-5.15357679,2.42370346,0.47883671,1.59921265,0.00442787,0.07137578,0.54898449,0.00000000
-5.14757379,2.53374152,0.48164022,1.69465170,0.00500042,0.07157701,0.56079460,0.00000000
-5.14157079,2.65407432,0.48629263,1.79847720,0.00563689,0.07204486,0.57387581,0.00000000
-5.13556778,2.78372779,0.49239990,1.91019711,0.00633733,0.07273375,0.58795130,0.00000000
-5.12956478,2.92164192,0.49955672,2.02924361,0.00710121,0.07359655,0.60273372,0.00000000
-5.12356178,3.06669249,0.50736035,2.15497741,0.00792730,0.07458646,0.61793514,0.00000000
-5.11755878,3.21771107,0.51542331,2.28669160,0.00881350,0.07565862,0.63327637,0.00000000
-5.11155578,3.37350203,0.52338437,2.42361457,0.00975675,0.07677152,0.64849528,0.00000000
-5.10555278,3.53285566,0.53091759,2.56491174,0.01075298,0.07788813,0.66335355,0.00000000
-5.09954977,3.69455685,0.53773911,2.70968606,0.01179698,0.07897661,0.67764154,0.00000000
-5.09354677,3.85738921,0.54361152,2.85697753,0.01288239,0.08001079,0.69118123,0.00000000
-5.08754377,4.02013496,0.54834595,3.00576205,0.01400165,0.08097020,0.70382697,0.00000000
-5.08154077,4.18157144,0.55180188,3.15495044,0.01514608,0.08183980,0.71546429,0.00000000
-5.07553777,4.34046527,0.55388487,3.30338820,0.01630588,0.08260942,0.72600683,0.00000000
-5.06953477,4.49556580,0.55454277,3.44985711,0.01747022,0.08327298,0.73539197,0.00000000
-5.06353177,4.64559925,0.55376044,3.59307950,0.01862740,0.08382751,0.74357526,0.00000000
-5.05752876,4.78926536,0.55155373,3.73172615,0.01976496,0.08427211,0.75052444,0.00000000
