energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
3.82691346,5.53891168,0.13644856,1.00708655,1.22172879,0.46721879,2.66542606,1.61157332,2.01290288,0.00000000
3.83291646,5.44966267,0.13320310,0.99150872,1.18536592,0.45988376,2.60554280,1.58089794,1.99712500,0.00000000
3.83891946,5.35949469,0.13020148,0.97533172,1.14693736,0.45259103,2.54427201,1.55023014,1.98227280,0.00000000
3.84492246,5.27050763,0.12749308,0.95882456,1.10715451,0.44553719,2.48297700,1.52019721,1.96888328,0.00000000
3.85092546,5.18458208,0.12512040,0.94223375,1.06669620,0.43889630,2.42293616,1.49136531,1.95737662,0.00000000
3.85692846,5.10332796,0.12311798,0.92577854,1.02619137,0.43281459,2.36530663,1.46422380,1.94804565,0.00000000
3.86293147,5.02804719,0.12151172,0.90964808,0.98620494,0.42740639,2.31109431,1.43917348,1.94105159,0.00000000
3.86893447,4.95971148,0.12031842,0.89400056,0.94722756,0.42275148,2.26113151,1.41651904,1.93642617,0.00000000
3.87493747,4.89895553,0.11954572,0.87896419,0.90966923,0.41889393,2.21606287,1.39646584,1.93407949,0.00000000
3.88094047,4.84608524,0.11919244,0.86463976,0.87385687,0.41584235,2.17633975,1.37912114,1.93381335,0.00000000
3.88694347,4.80109956,0.11924918,0.85110447,0.84003552,0.41357168,2.14222291,1.36449927,1.93533880,0.00000000
3.89294647,4.76372409,0.11969921,0.83841672,0.80837272,0.41202609,2.11379296,1.35253043,1.93829715,0.00000000
3.89894947,4.73345422,0.12051964,0.82662127,0.77896570,0.41112308,2.09096737,1.34307245,1.94228295,0.00000000
3.90495248,4.70960483,0.12168272,0.81575449,0.75185051,0.41075845,2.07352298,1.33592459,1.94686796,0.00000000
3.91095548,4.69136368,0.12315726,0.80584921,0.72701259,0.41081182,2.06112236,1.33084281,1.95162462,0.00000000
3.91695848,4.67784558,0.12491011,0.79693879,0.70439799,0.41115258,2.05334245,1.32755542,1.95614816,0.00000000
3.92296148,4.66814442,0.12690750,0.78906005,0.68392463,0.41164583,2.04970385,1.32577834,1.96007595,0.00000000
3.92896448,4.66138044,0.12911632,0.78225499,0.66549297,0.41215819,2.04969910,1.32522929,1.96310358,0.00000000
3.93496748,4.65674066,0.13150525,0.77657089,0.64899569,0.41256314,2.05281861,1.32564003,1.96499686,0.00000000
3.94097049,4.65351064,0.13404557,0.77205902,0.63432593,0.41274572,2.05857288,1.32676634,1.96559929,0.00000000
3.94697349,4.65109654,0.13671178,0.76877178,0.62138380,0.41260644,2.06651019,1.32839519,1.96483497,0.00000000
3.95297649,4.64903685,0.13948192,0.76675861,0.61008116,0.41206415,2.07622910,1.33034902,1.96270695,0.00000000
3.95897949,4.64700390,0.14233758,0.76606080,0.60034450,0.41105797,2.08738539,1.33248701,1.95929131,0.00000000
3.96498249,4.64479576,0.14526369,0.76670552,0.59211610,0.40954817,2.09969366,1.33470358,1.95472749,0.00000000
3.97098549,4.64231976,0.14824804,0.76869958,0.58535362,0.40751598,2.11292386,1.33692441,1.94920566,0.00000000
3.97698849,4.63956915,0.15128066,0.77202314,0.58002833,0.40496251,2.12689350,1.33910043,1.94295171,0.00000000
3.98299150,4.63659502,0.15435300,0.77662404,0.57612225,0.40190680,2.14145648,1.34120031,1.93621097,0.00000000
3.98899450,4.63347545,0.15745715,0.78241300,0.57362458,0.39838328,2.15648961,1.34320224,1.92923159,0.00000000
3.99499750,4.63028437,0.16058495,0.78926025,0.57252766,0.39443870,2.17187802,1.34508538,1.92224828,0.00000000
4.00100050,4.62706216,0.16372721,0.79699376,0.57282270,0.39012878,2.18750076,1.34682196,1.91546750,0.00000000
4.00700350,4.62379011,0.16687301,0.80539959,0.57449567,0.38551477,2.20321764,1.34837041,1.90905481,0.00000000
4.01300650,4.62037032,0.17000919,0.81422425,0.57752346,0.38066011,2.21885842,1.34966998,1.90312475,0.00000000
4.01900950,4.61661243,0.17311996,0.82317933,0.58187058,0.37562735,2.23421509,1.35063746,1.89773400,0.00000000
4.02501251,4.61222786,0.17618674,0.83194822,0.58748634,0.37047545,2.24903790,1.35116593,1.89287777,0.00000000
4.03101551,4.60683177,0.17918815,0.84019476,0.59430283,0.36525760,2.26303526,1.35112583,1.88848959,0.00000000
4.03701851,4.59995263,0.18210026,0.84757342,0.60223354,0.36001960,2.27587768,1.35036810,1.88444420,0.00000000
4.04302151,4.59104833,0.18489685,0.85374071,0.61117269,0.35479877,2.28720528,1.34872924,1.88056340,0.00000000
4.04902451,4.57952790,0.18754994,0.85836720,0.62099520,0.34962353,2.29663845,1.34603779,1.87662414,0.00000000
4.05502751,4.56477705,0.19003028,0.86114956,0.63155730,0.34451334,2.30379076,1.34212193,1.87236840,0.00000000
4.06103052,4.54618596,0.19230796,0.86182214,0.64269765,0.33947927,2.30828336,1.33681745,1.86751424,0.00000000
