energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.01550775,1.19536004,0.43026338,0.33896021,0.27672193,0.13688763,0.00001806,0.06971081,0.00650080,0.78510794
-5.00950475,1.13591330,0.40706767,0.32632889,0.26529171,0.12698134,0.00001618,0.06749261,0.00584801,0.74553176
-5.00350175,1.07585909,0.38382593,0.31308227,0.25354030,0.11732670,0.00001441,0.06508005,0.00522308,0.70562547
-4.99749875,1.01570200,0.36072391,0.29935252,0.24155276,0.10798518,0.00001275,0.06250141,0.00463151,0.66572583
-4.99149575,0.95597302,0.33794787,0.28529473,0.22942401,0.09901312,0.00001121,0.05978827,0.00407751,0.62618599
-4.98549275,0.89722082,0.31568312,0.27108247,0.21725832,0.09046135,0.00000978,0.05697509,0.00356405,0.58736989
-4.97948974,0.84000202,0.29411251,0.25690275,0.20516847,0.08237486,0.00000848,0.05409867,0.00309292,0.54964612
-4.97348674,0.78487085,0.27341480,0.24295039,0.19327439,0.07479265,0.00000730,0.05119745,0.00266482,0.51338147
-4.96748374,0.73236830,0.25376301,0.22942217,0.18170134,0.06774761,0.00000624,0.04831079,0.00227952,0.47893413
-4.96148074,0.68301137,0.23532260,0.21651090,0.17057774,0.06126652,0.00000530,0.04547817,0.00193595,0.44664698
-4.95547774,0.63728241,0.21824964,0.20439973,0.16003278,0.05537010,0.00000447,0.04273837,0.00163237,0.41684094
-4.94947474,0.59561924,0.20268884,0.19325676,0.15019374,0.05007310,0.00000374,0.04012871,0.00136652,0.38980874
-4.94347174,0.55840610,0.18877168,0.18323034,0.14118337,0.04538445,0.00000311,0.03768419,0.00113577,0.36580919
-4.93746873,0.52596577,0.17661452,0.17444495,0.13311721,0.04130744,0.00000256,0.03543689,0.00093721,0.34506209
-4.93146573,0.49855316,0.16631675,0.16699812,0.12610117,0.03783994,0.00000210,0.03341527,0.00076782,0.32774407
-4.92546273,0.47635048,0.15795921,0.16095809,0.12022920,0.03497454,0.00000171,0.03164377,0.00062453,0.31398521
-4.91945973,0.45946412,0.15160268,0.15636258,0.11558142,0.03269886,0.00000138,0.03014237,0.00050434,0.30386677
-4.91345673,0.44792331,0.14728667,0.15321850,0.11222257,0.03099570,0.00000111,0.02892642,0.00040436,0.29741998
-4.90745373,0.44168054,0.14502851,0.15150258,0.11020082,0.02984328,0.00000088,0.02800657,0.00032187,0.29462582
-4.90145073,0.44061379,0.14482278,0.15116293,0.10954712,0.02921548,0.00000070,0.02738878,0.00025437,0.29541596
-4.89544772,0.44453037,0.14664108,0.15212141,0.11027490,0.02908207,0.00000055,0.02707458,0.00019958,0.29967468
-4.88944472,0.45317229,0.15043219,0.15427663,0.11238025,0.02940899,0.00000043,0.02706130,0.00015547,0.30724179
-4.88344172,0.46622295,0.15612272,0.15750760,0.11584247,0.03015864,0.00000033,0.02734255,0.00012024,0.31791640
-4.87743872,0.48331501,0.16361810,0.16167773,0.12062493,0.03129021,0.00000025,0.02790858,0.00009233,0.33146158
-4.87143572,0.50403912,0.17280397,0.16663911,0.12667624,0.03276012,0.00000020,0.02874685,0.00007039,0.34760954
-4.86543272,0.52795332,0.18354803,0.17223696,0.13393165,0.03452247,0.00000015,0.02984252,0.00005327,0.36606739
-4.85942971,0.55459265,0.19570216,0.17831395,0.14231453,0.03652959,0.00000012,0.03117892,0.00004003,0.38652324
-4.85342671,0.58347898,0.20910479,0.18471440,0.15173793,0.03873263,0.00000009,0.03273805,0.00002987,0.40865243
-4.84742371,0.61413039,0.22358361,0.19128812,0.16210613,0.04108234,0.00000007,0.03450093,0.00002212,0.43212369
-4.84142071,0.64607012,0.23895821,0.19789382,0.17331612,0.04352971,0.00000006,0.03644790,0.00001627,0.45660512
-4.83541771,0.67883456,0.25504293,0.20440192,0.18525881,0.04602689,0.00000006,0.03855888,0.00001188,0.48176969
-4.82941471,0.71198024,0.27164951,0.21069684,0.19782021,0.04852795,0.00000006,0.04081342,0.00000861,0.50730013
-4.82341171,0.74508952,0.28858967,0.21667847,0.21088219,0.05098979,0.00000007,0.04319076,0.00000620,0.53289312
-4.81740870,0.77777485,0.30567740,0.22226305,0.22432313,0.05337293,0.00000009,0.04566971,0.00000443,0.55826256
-4.81140570,0.80968162,0.32273096,0.22738334,0.23801824,0.05564234,0.00000011,0.04822847,0.00000314,0.58314199
-4.80540270,0.84048959,0.33957463,0.23198818,0.25183978,0.05776813,0.00000015,0.05084447,0.00000222,0.60728603
-4.79939970,0.86991304,0.35604000,0.23604139,0.26565705,0.05972623,0.00000021,0.05349405,0.00000155,0.63047102
-4.79339670,0.89769979,0.37196705,0.23952038,0.27933641,0.06149891,0.00000028,0.05615227,0.00000108,0.65249487
-4.78739370,0.92362948,0.38720489,0.24241430,0.29274133,0.06307519,0.00000038,0.05879266,0.00000075,0.67317641
