energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-5.20160080,3.37148790,0.02538600,0.32838375,0.90912030,0.29014776,1.48364471,1.62717069,1.04836331,0.00000000
-5.19559780,3.33750392,0.02450451,0.32096121,0.88092285,0.28788713,1.45532219,1.62137306,1.02817446,0.00000000
-5.18959480,3.31432596,0.02369418,0.31469696,0.85634073,0.28629179,1.43001278,1.61991905,1.01141418,0.00000000
-5.18359180,3.30216259,0.02295208,0.30957013,0.83563641,0.28534688,1.40801398,1.62292141,0.99827993,0.00000000
-5.17758879,3.30123452,0.02227596,0.30555328,0.81904081,0.28505526,1.38963282,1.63048627,0.98898689,0.00000000
-5.17158579,3.31177994,0.02166435,0.30261221,0.80675724,0.28543803,1.37517960,1.64271490,0.98377000,0.00000000
-5.16558279,3.33405634,0.02111663,0.30070588,0.79896485,0.28653417,1.36496077,1.65970482,0.98288394,0.00000000
-5.15957979,3.36833831,0.02063297,0.29978620,0.79582096,0.28839932,1.35927089,1.68154997,0.98660088,0.00000000
-5.15357679,3.41491038,0.02021429,0.29979803,0.79746191,0.29110371,1.35838370,1.70833960,0.99520562,0.00000000
-5.14757379,3.47405516,0.01986210,0.30067911,0.80400190,0.29472918,1.36254247,1.74015570,1.00898813,0.00000000
-5.14157079,3.54603641,0.01957833,0.30236024,0.81552998,0.29936557,1.37194966,1.77706880,1.02823354,0.00000000
-5.13556778,3.63107790,0.01936510,0.30476548,0.83210483,0.30510652,1.38675633,1.81913234,1.05320983,0.00000000
-5.12956478,3.72933862,0.01922451,0.30781256,0.85374785,0.31204476,1.40705140,1.86637567,1.08415366,0.00000000
-5.12356178,3.84088559,0.01915833,0.31141348,0.88043477,0.32026723,1.43285130,1.91879594,1.12125496,0.00000000
-5.11755878,3.96566571,0.01916782,0.31547538,0.91208635,0.32985012,1.46409057,1.97634964,1.16464094,0.00000000
-5.11155578,4.10347834,0.01925341,0.31990152,0.94855892,0.34085409,1.50061364,2.03894391,1.21436037,0.00000000
-5.10555278,4.25395021,0.01941453,0.32459266,0.98963545,0.35331988,1.54216871,2.10642858,1.27036904,0.00000000
-5.09954977,4.41651460,0.01964945,0.32944856,1.03501796,0.36726455,1.58840395,2.17858939,1.33251727,0.00000000
-5.09354677,4.59039635,0.01995510,0.33436971,1.08432213,0.38267846,1.63886664,2.25514303,1.40054028,0.00000000
-5.08754377,4.77460422,0.02032710,0.33925927,1.13707471,0.39952321,1.69300569,2.33573458,1.47405221,0.00000000
-5.08154077,4.96793167,0.02075968,0.34402504,1.19271443,0.41773066,1.75017763,2.41993782,1.55254447,0.00000000
-5.07553777,5.16896690,0.02124582,0.34858158,1.25059682,0.43720303,1.80965641,2.50725864,1.63538864,0.00000000
-5.06953477,5.37611236,0.02177737,0.35285212,1.31000305,0.45781421,1.87064680,2.59714182,1.72184433,0.00000000
-5.06353177,5.58761361,0.02234528,0.35677048,1.37015300,0.47941217,1.93230115,2.68898109,1.81107186,0.00000000
