energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
0.72336168,3.07071430,-2.89353216,0.62539386,-0.39154852,1.23278238,-2.12614919,0.01601166,-0.02763915,0.53253287,-0.12488881,0.08371448,-0.01673670,0.57069331,-0.33962640,0.53441949,-0.44999747,0.00329346,-0.00179247
0.72936468,3.15478250,-2.78994997,0.63943670,-0.38196268,1.26883722,-2.03833191,0.01758623,-0.02731871,0.54892558,-0.12618829,0.08819294,-0.01626003,0.57657658,-0.32792132,0.56586627,-0.43669880,0.00332951,-0.00177737
0.73536768,3.23797051,-2.69278321,0.65243922,-0.37250279,1.30508338,-1.95540718,0.01919406,-0.02707245,0.56627417,-0.12741186,0.09259831,-0.01579895,0.58132290,-0.31639842,0.59763148,-0.42506126,0.00336142,-0.00177042
0.74137069,3.32031379,-2.60323153,0.66445788,-0.36332090,1.34152721,-1.87830209,0.02081721,-0.02691338,0.58466584,-0.12852659,0.09687034,-0.01536042,0.58495816,-0.30519688,0.62948479,-0.41529923,0.00339031,-0.00177243
0.74737369,3.40188926,-2.52230145,0.67555227,-0.35455563,1.37819046,-1.80779802,0.02243592,-0.02685270,0.60419267,-0.12949871,0.10094951,-0.01495175,0.58752275,-0.29444162,0.66117974,-0.40758088,0.00341736,-0.00178404
0.75337669,3.48279021,-2.45078813,0.68577816,-0.34632852,1.41509975,-1.74451607,0.02402901,-0.02689953,0.62494423,-0.13029501,0.10477821,-0.01458030,0.58906792,-0.28424238,0.69245521,-0.40202611,0.00344373,-0.00180569
0.75937969,3.56309860,-2.38926534,0.69518097,-0.33874116,1.45227464,-1.68890850,0.02557427,-0.02706069,0.64699911,-0.13088433,0.10830181,-0.01425330,0.58965201,-0.27469348,0.72303734,-0.39870633,0.00347053,-0.00183765
0.76538269,3.64285596,-2.33808376,0.70378977,-0.33187335,1.48971493,-1.64125642,0.02704902,-0.02734062,0.67041567,-0.13123907,0.11146970,-0.01397763,0.58933679,-0.26587429,0.75264198,-0.39764593,0.00349872,-0.00187993
0.77138569,3.72203452,-2.29737710,0.71161245,-0.32578212,1.52738789,-1.60167332,0.02843065,-0.02774129,0.69522247,-0.13133671,0.11423617,-0.01375970,0.58818398,-0.25785008,0.78097747,-0.39882552,0.00352913,-0.00193237
0.77738869,3.80050998,-2.26707554,0.71863210,-0.32050190,1.56521604,-1.57011416,0.02969720,-0.02826234,0.72140898,-0.13116107,0.11656108,-0.01360533,0.58625209,-0.25067338,0.80774808,-0.40218649,0.00356234,-0.00199457
0.78339170,3.87803759,-2.24692570,0.72480499,-0.31604552,1.60306626,-1.54638927,0.03082793,-0.02890120,0.74891692,-0.13070352,0.11841054,-0.01351974,0.58359369,-0.24438551,0.83265787,-0.40763693,0.00359870,-0.00206599
0.78939470,3.95423283,-2.23651597,0.73006025,-0.31240620,1.64074087,-1.53018256,0.03180397,-0.02965338,0.77763296,-0.12996380,0.11975728,-0.01350761,0.58025314,-0.23901829,0.85541499,-0.41505849,0.00363828,-0.00214590
0.79539770,4.02855804,-2.23530623,0.73430115,-0.30956022,1.67797128,-1.52107295,0.03260880,-0.03051282,0.80738308,-0.12895057,0.12058100,-0.01357314,0.57626485,-0.23459569,0.87573652,-0.42431390,0.00368086,-0.00223343
