energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,S_s_up,S_p_up
-5.48374187,9.16999243,0.03202828,1.78891556,7.81247648,3.09182143,0.30285783,0.18366011,3.12408808
-5.47773887,9.43454025,0.03280190,1.85324243,8.10146602,3.18848308,0.30927526,0.18890584,3.18894552
-5.47173587,9.66259064,0.03347842,1.91031718,8.36111915,3.27326673,0.31403941,0.19334766,3.24092024
-5.46573287,9.85117787,0.03405078,1.95940107,8.58791348,3.34514114,0.31708502,0.19693579,3.27934702
-5.45972986,9.99819706,0.03451460,1.99991666,8.77896131,3.40336164,0.31838897,0.19963850,3.30387792
-5.45372686,10.10243114,0.03486833,2.03145748,8.93207036,3.44747689,0.31797118,0.20144268,3.31448212
-5.44772386,10.16355126,0.03511330,2.05379256,9.04578275,3.47732701,0.31589400,0.20235375,3.31143605
-5.44172086,10.18209048,0.03525366,2.06686557,9.11939075,3.49303320,0.31226023,0.20239503,3.29530443
-5.43571786,10.15939206,0.03529620,2.07078862,9.15292855,3.49497916,0.30720974,0.20160661,3.26691284
-5.42971486,10.09753420,0.03525016,2.06583093,9.14714100,3.48378514,0.30091486,0.20004359,3.22731310
-5.42371186,9.99923486,0.03512690,2.05240281,9.10343069,3.46027567,0.29357466,0.19777404,3.17774292
-5.41770885,9.86774045,0.03493951,2.03103584,9.02378641,3.42544252,0.28540826,0.19487652,3.11958131
-5.41170585,9.70670351,0.03470234,2.00235998,8.91069630,3.38040449,0.27664759,0.19143734,3.05430177
-5.40570285,9.52005432,0.03443059,1.96707886,8.76705020,3.32636582,0.26752966,0.18754773,2.98342494
-5.39969985,9.31187213,0.03413972,1.92594417,8.59603567,3.26457499,0.25828878,0.18330096,2.90847264
-5.39369685,9.08626105,0.03384498,1.87973045,8.40103261,3.19628580,0.24914899,0.17878947,2.83092501
-5.38769385,8.84723565,0.03356091,1.82921138,8.18551117,3.12272216,0.24031689,0.17410231,2.75218216
-5.38169085,8.59862044,0.03330087,1.77513833,7.95293706,3.04504800,0.23197529,0.16932278,2.67353187
-5.37568784,8.34396661,0.03307665,1.71822223,7.70668801,2.96434337,0.22427778,0.16452641,2.59612393
-5.36968484,8.08648841,0.03289811,1.65911919,7.44998413,2.88158726,0.21734451,0.15977943,2.52095209
-5.36368184,7.82902043,0.03277295,1.59842023,7.18583376,2.79764744,0.21125919,0.15513765,2.44884359
-5.35767884,7.57399580,0.03270655,1.53664536,6.91699576,2.71327715,0.20606763,0.15064586,2.38045628
-5.35167584,7.32344438,0.03270197,1.47424162,6.64595781,2.62911809,0.20177762,0.14633768,2.31628272
-5.34567284,7.07900882,0.03275992,1.41158503,6.37492949,2.54570891,0.19836024,0.14223587,2.25666058
-5.33966983,6.84197567,0.03287902,1.34898565,6.10584809,2.46349788,0.19575255,0.13835306,2.20178806
-5.33366683,6.61331793,0.03305597,1.28669520,5.84039461,2.38285859,0.19386146,0.13469279,2.15174321
-5.32766383,6.39374521,0.03328589,1.22491649,5.58001673,2.30410717,0.19256863,0.13125089,2.10650561
-5.32166083,6.18375729,0.03356270,1.16381371,5.32595591,2.22751951,0.19173616,0.12801694,2.06597900
-5.31565783,5.98369723,0.03387950,1.10352297,5.07927542,2.15334739,0.19121287,0.12497593,2.03001340
-5.30965483,5.79380034,0.03422898,1.04416229,4.84088683,2.08183193,0.19084083,0.12210983,1.99842539
-5.30365183,5.61423598,0.03460378,0.98584045,4.61157276,2.01321386,0.19046194,0.11939915,1.97101549
-5.29764882,5.44514001,0.03499684,0.92866422,4.39200453,1.94773966,0.18992415,0.11682432,1.94758171
-5.29164582,5.28663619,0.03540166,0.87274382,4.18275400,1.88566334,0.18908731,0.11436681,1.92792874
-5.28564282,5.13884625,0.03581247,0.81819622,3.98429962,1.82724389,0.18782812,0.11201008,1.91187249
-5.27963982,5.00188886,0.03622433,0.76514658,3.79702743,1.77273875,0.18604428,0.10974017,1.89924014
-5.27363682,4.87586873,0.03663312,0.71372784,3.62122824,1.72239389,0.18365747,0.10754600,1.88986606
-5.26763382,4.76085781,0.03703551,0.66407880,3.45709282,1.67643146,0.18061530,0.10541940,1.88358427
-5.26163082,4.65687109,0.03742871,0.61634109,3.30470687,1.63503598,0.17689200,0.10335486,1.88021853
-5.25562781,4.56383993,0.03781033,0.57065537,3.16404796,1.59834038,0.17248797,0.10134909,1.87957095
-5.24962481,4.48158599,0.03817810,0.52715737,3.03498614,1.56641302,0.16742839,0.09940038,1.88141058
-5.24362181,4.40979868,0.03852961,0.48597397,2.91728995,1.53924691,0.16176073,0.09750789,1.88546308
-5.23761881,4.34801913,0.03886207,0.44721989,2.81063884,1.51675220,0.15555166,0.09567084,1.89140262
-5.23161581,4.29563275,0.03917210,0.41099520,2.71464264,1.49875272,0.14888332,0.09388785,1.89884719
-5.22561281,4.25187226,0.03945564,0.37738387,2.62886809,1.48498723,0.14184925,0.09215622,1.90735794
-5.21960980,4.21583203,0.03970782,0.34645353,2.55287178,1.47511579,0.13455022,0.09047147,1.91644328
-5.21360680,4.18649403,0.03992304,0.31825643,2.48623822,1.46873097,0.12709006,0.08882700,1.92556779
-5.20760380,4.16276456,0.04009510,0.29283150,2.42862154,1.46537386,0.11957184,0.08721398,1.93416584
-5.20160080,4.14352034,0.04021734,0.27020741,2.37978833,1.46455405,0.11209437,0.08562144,1.94165958
-5.19559780,4.12766170,0.04028301,0.25040640,2.33965944,1.46577260,0.10474930,0.08403659,1.94748030
