energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
1.49174587,3.47146317,0.02835516,0.99802940,4.79396147,0.80126800,1.42130214,0.00000000
1.49774887,3.49709414,0.02657168,1.01022143,4.80300034,0.80259421,1.44631630,0.00000000
1.50375188,3.51698317,0.02506389,1.02144248,4.80726431,0.80281198,1.46868067,0.00000000
1.50975488,3.53090283,0.02385850,1.03155472,4.80672380,0.80190226,1.48823161,0.00000000
1.51575788,3.53873803,0.02297819,1.04044390,4.80142182,0.79986792,1.50486108,0.00000000
1.52176088,3.54050064,0.02244148,1.04802583,4.79149223,0.79673701,1.51852172,0.00000000
1.52776388,3.53633623,0.02226261,1.05425056,4.77716984,0.79256430,1.52922826,0.00000000
1.53376688,3.52652213,0.02245138,1.05910413,4.75879064,0.78743083,1.53705503,0.00000000
1.53976988,3.51145642,0.02301299,1.06260753,4.73678187,0.78144141,1.54212960,0.00000000
1.54577289,3.49163843,0.02394789,1.06481296,4.71164193,0.77472026,1.54462284,0.00000000
1.55177589,3.46764166,0.02525145,1.06579777,4.68391140,0.76740489,1.54473586,0.00000000
1.55777889,3.44008099,0.02691387,1.06565638,4.65413704,0.75963874,1.54268478,0.00000000
1.56378189,3.40957611,0.02891983,1.06449090,4.62283122,0.75156287,1.53868429,0.00000000
1.56978489,3.37671383,0.03124842,1.06240103,4.59043001,0.74330756,1.53293101,0.00000000
1.57578789,3.34201167,0.03387297,1.05947423,4.55725297,0.73498403,1.52558800,0.00000000
1.58179090,3.30588543,0.03676109,1.05577670,4.52346802,0.72667723,1.51677140,0.00000000
1.58779390,3.26862300,0.03987483,1.05134607,4.48906435,0.71843997,1.50654025,0.00000000
1.59379690,3.23036638,0.04317103,1.04618631,4.45383585,0.71028895,1.49489028,0.00000000
1.59979990,3.19110318,0.04660180,1.04026535,4.41737689,0.70220297,1.48175221,0.00000000
1.60580290,3.15066857,0.05011533,1.03351566,4.37909142,0.69412356,1.46699472,0.00000000
1.61180590,3.10875741,0.05365683,1.02583786,4.33821546,0.68595790,1.45043211,0.00000000
1.61780890,3.06494626,0.05716969,1.01710713,4.29385202,0.67758412,1.43183610,0.00000000
1.62381191,3.01872366,0.06059683,1.00718213,4.24501690,0.66885844,1.41095117,0.00000000
1.62981491,2.96952705,0.06388216,0.99591581,4.19069251,0.65962395,1.38751248,0.00000000
1.63581791,2.91678394,0.06697214,0.98316745,4.12988704,0.64972033,1.36126515,0.00000000
1.64182091,2.85995474,0.06981735,0.96881511,4.06169503,0.63899409,1.33198390,0.00000000
1.64782391,2.79857473,0.07237394,0.95276775,3.98535613,0.62730863,1.29949159,0.00000000
1.65382691,2.73229249,0.07460504,0.93497608,3.90030821,0.61455349,1.26367575,0.00000000
1.65982991,2.66090250,0.07648192,0.91544152,3.80623191,0.60065239,1.22450192,0.00000000
1.66583292,2.58437011,0.07798480,0.89422262,3.70308374,0.58556946,1.18202317,0.00000000
1.67183592,2.50284725,0.07910350,0.87143854,3.59111612,0.56931339,1.13638512,0.00000000
1.67783892,2.41667837,0.07983755,0.84726922,3.47088294,0.55193928,1.08782641,0.00000000
1.68384192,2.32639608,0.08019607,0.82195236,3.34323072,0.53354811,1.03667451,0.00000000
1.68984492,2.23270729,0.08019715,0.79577722,3.20927578,0.51428394,0.98333726,0.00000000
1.69584792,2.13647052,0.07986696,0.76907572,3.07036901,0.49432899,0.92829068,0.00000000
1.70185093,2.03866606,0.07923855,0.74221121,2.92805034,0.47389700,0.87206388,0.00000000
1.70785393,1.94036079,0.07835033,0.71556572,2.78399549,0.45322518,0.81522179,0.00000000
1.71385693,1.84266964,0.07724455,0.68952629,2.63995801,0.43256536,0.75834694,0.00000000
1.71985993,1.74671606,0.07596553,0.66447120,2.49770979,0.41217474,0.70202089,0.00000000
1.72586293,1.65359341,0.07455806,0.64075688,2.35898299,0.39230675,0.64680662,0.00000000
