energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-5.09354677,1.24757460,0.02585803,0.03013700,0.73722131,0.24896026,0.19302280,0.22423483,0.01863654,0.54934475
-5.08754377,1.30850048,0.02768656,0.03181233,0.77902197,0.25277997,0.20380174,0.23830006,0.02019499,0.57184163
-5.08154077,1.37219805,0.02943676,0.03353970,0.82010867,0.25938789,0.21451141,0.25218044,0.02175381,0.59655465
-5.07553777,1.43758050,0.03107805,0.03528525,0.85978333,0.26865572,0.22494048,0.26563848,0.02329498,0.62307543
-5.06953477,1.50361801,0.03258054,0.03701539,0.89738910,0.28046353,0.23488342,0.27844606,0.02480076,0.65102231
-5.06353177,1.56936465,0.03391591,0.03869767,0.93232990,0.29470092,0.24414635,0.29039073,0.02625423,0.68004995
-5.05752876,1.63398183,0.03505833,0.04030166,0.96408827,0.31126692,0.25255258,0.30128147,0.02763986,0.70985692
-5.05152576,1.69675714,0.03598532,0.04179984,0.99224064,0.33006844,0.25994792,0.31095405,0.02894398,0.74019100
-5.04552276,1.75711721,0.03667845,0.04316836,1.01646917,0.35101732,0.26620518,0.31927535,0.03015524,0.77085155
-5.03951976,1.81463403,0.03712403,0.04438771,1.03656943,0.37402609,0.27122779,0.32614664,0.03126492,0.80168902
-5.03351676,1.86902421,0.03731359,0.04544323,1.05245362,0.39900265,0.27495239,0.33150559,0.03226717,0.83260125
-5.02751376,1.92014100,0.03724415,0.04632548,1.06414891,0.42584402,0.27735010,0.33532683,0.03315903,0.86352690
-5.02151076,1.96795975,0.03691837,0.04703030,1.07179124,0.45442974,0.27842655,0.33762121,0.03394045,0.89443627
-5.01550775,2.01255737,0.03634443,0.04755881,1.07561465,0.48461503,0.27822060,0.33843357,0.03461400,0.92532004
-5.00950475,2.05408718,0.03553579,0.04791710,1.07593691,0.51622451,0.27680185,0.33783935,0.03518456,0.95617662
-5.00350175,2.09275071,0.03451069,0.04811577,1.07314212,0.54904669,0.27426707,0.33594009,0.03565886,0.98699894
-4.99749875,2.12876813,0.03329158,0.04816934,1.06766130,0.58282989,0.27073572,0.33285821,0.03604490,1.01776152
-4.99149575,2.16234928,0.03190434,0.04809548,1.05995202,0.61727995,0.26634489,0.32873118,0.03635140,1.04840878
-4.98549275,2.19366717,0.03037747,0.04791424,1.05047819,0.65206012,0.26124381,0.32370561,0.03658715,1.07884535
-4.97948974,2.22283568,0.02874120,0.04764712,1.03969094,0.68679333,0.25558831,0.31793135,0.03676041,1.10892927
-4.97348674,2.24989292,0.02702660,0.04731626,1.02801174,0.72106715,0.24953544,0.31155610,0.03687838,1.13846848
-4.96748374,2.27479135,0.02526472,0.04694360,1.01581832,0.75444120,0.24323852,0.30472062,0.03694678,1.16722106
-4.96148074,2.29739525,0.02348576,0.04655021,1.00343417,0.78645701,0.23684284,0.29755493,0.03696952,1.19489940
-4.95547774,2.31748578,0.02171837,0.04615558,0.99112172,0.81664992,0.23048217,0.29017539,0.03694854,1.22117801
-4.94947474,2.33477314,0.01998907,0.04577723,0.97907949,0.84456262,0.22427616,0.28268298,0.03688382,1.24570470
-4.94347174,2.34891501,0.01832177,0.04543029,0.96744292,0.86975967,0.21832860,0.27516265,0.03677352,1.26811450
-4.93746873,2.35953998,0.01673744,0.04512734,0.95628843,0.89184232,0.21272675,0.26768365,0.03661428,1.28804540
-4.93146573,2.36627431,0.01525396,0.04487831,0.94564027,0.91046300,0.20754129,0.26030081,0.03640169,1.30515505
-4.92546273,2.36877020,0.01388605,0.04469052,0.93547932,0.92533851,0.20282720,0.25305648,0.03613076,1.31913739
-4.91945973,2.36673358,0.01264536,0.04456881,0.92575316,0.93626144,0.19862495,0.24598295,0.03579657,1.32973799
-4.91345673,2.35994958,0.01154066,0.04451570,0.91638644,0.94310900,0.19496224,0.23910522,0.03539487,1.33676740
-4.90745373,2.34830389,0.01057811,0.04453166,0.90729102,0.94584882,0.19185581,0.23244376,0.03492268,1.34011138
-4.90145073,2.33179865,0.00976159,0.04461529,0.89837501,0.94454133,0.18931328,0.22601706,0.03437882,1.33973757
-4.89544772,2.31056178,0.00909309,0.04476359,0.88955036,0.93933854,0.18733484,0.21984389,0.03376438,1.33569806
-4.88944472,2.28484918,0.00857309,0.04497211,0.88073851,0.93047921,0.18591465,0.21394504,0.03308299,1.32812768
-4.88344172,2.25503965,0.00820092,0.04523509,0.87187402,0.91828063,0.18504192,0.20834447,0.03234104,1.31723822
-4.87743872,2.22162292,0.00797517,0.04554562,0.86290617,0.90312735,0.18470151,0.20306977,0.03154766,1.30330883
-4.87143572,2.18518158,0.00789399,0.04589567,0.85379867,0.88545736,0.18487422,0.19815207,0.03071452,1.28667327
-4.86543272,2.14636801,0.00795533,0.04627610,0.84452788,0.86574651,0.18553665,0.19362526,0.02985556,1.26770478
-4.85942971,2.10587784,0.00815722,0.04667675,0.83507979,0.84449175,0.18666082,0.18952476,0.02898649,1.24679937
-4.85342671,2.06442152,0.00849786,0.04708638,0.82544646,0.82219409,0.18821358,0.18588587,0.02812421,1.22435877
-4.84742371,2.02269564,0.00897573,0.04749277,0.81562223,0.79934203,0.19015597,0.18274189,0.02728613,1.20077372
-4.84142071,1.98135574,0.00958962,0.04788275,0.80560022,0.77639621,0.19244261,0.18012207,0.02648948,1.17640876
-4.83541771,1.94099203,0.01033856,0.04824234,0.79536961,0.75377591,0.19502129,0.17804970,0.02575053,1.15158923
-4.82941471,1.90210925,0.01122180,0.04855692,0.78491385,0.73184803,0.19783276,0.17654023,0.02508392,1.12659116
-4.82341171,1.86511180,0.01223860,0.04881149,0.77421018,0.71091882,0.20081098,0.17559982,0.02450201,1.10163450
-4.81740870,1.83029446,0.01338812,0.04899096,0.76323040,0.69122871,0.20388366,0.17522420,0.02401434,1.07687999
-4.81140570,1.79783933,0.01466920,0.04908055,0.75194295,0.67295030,0.20697329,0.17539800,0.02362719,1.05242955
-4.80540270,1.76781849,0.01608012,0.04906616,0.74031612,0.65618930,0.20999853,0.17609457,0.02334338,1.02833024
-4.79939970,1.74020232,0.01761842,0.04893487,0.72832205,0.64098842,0.21287602,0.17727636,0.02316209,1.00458115
-4.79339670,1.71487242,0.01928062,0.04867536,0.71594138,0.62733367,0.21552245,0.17889571,0.02307893,0.98114294
-4.78739370,1.69163844,0.02106199,0.04827837,0.70316800,0.61516259,0.21785682,0.18089614,0.02308620,0.95794914
-4.78139070,1.67025757,0.02295635,0.04773713,0.69001368,0.60437409,0.21980287,0.18321400,0.02317322,0.93491867
-4.77538769,1.65045549,0.02495586,0.04704769,0.67651212,0.59483905,0.22129142,0.18578037,0.02332683,0.91196878
-4.76938469,1.63194767,0.02705080,0.04620923,0.66272204,0.58641132,0.22226258,0.18852326,0.02353201,0.88902756
-4.76338169,1.61445977,0.02922948,0.04522424,0.64872924,0.57893846,0.22266776,0.19136975,0.02377256,0.86604546
-4.75737869,1.59774610,0.03147807,0.04409863,0.63464721,0.57227164,0.22247126,0.19424830,0.02403181,0.84300516
-4.75137569,1.58160535,0.03378059,0.04284171,0.62061630,0.56627448,0.22165155,0.19709077,0.02429341,0.81992931
-4.74537269,1.56589277,0.03611888,0.04146606,0.60680144,0.56083019,0.22020191,0.19983442,0.02454198,0.79688574
-4.73936968,1.55052855,0.03847268,0.03998731,0.59338843,0.55584705,0.21813071,0.20242351,0.02476384,0.77398993
-4.73336668,1.53550186,0.04081979,0.03842381,0.58057894,0.55126187,0.21546108,0.20481066,0.02494755,0.75140479
