energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
2.12806403,2.48336628,0.41673613,0.00002964,0.59930446,0.00000000,1.54746806,1.78433856
2.13406703,2.54971282,0.42846937,0.00002856,0.59538867,0.00000000,1.54094514,1.86158504
2.14007004,2.62696379,0.44068478,0.00002765,0.59326763,0.00000000,1.53631860,1.94862580
2.14607304,2.71342202,0.45305021,0.00002690,0.59252548,0.00000000,1.53279359,2.04428315
2.15207604,2.80727319,0.46524730,0.00002628,0.59275547,0.00000000,1.52963157,2.14725228
2.15807904,2.90662458,0.47698057,0.00002578,0.59357098,0.00000000,1.52618136,2.25612036
2.16408204,3.00954445,0.48798586,0.00002537,0.59461495,0.00000000,1.52190546,2.36938714
2.17008504,3.11410166,0.49803805,0.00002504,0.59556782,0.00000000,1.51640103,2.48548718
2.17608804,3.21840495,0.50695768,0.00002475,0.59615364,0.00000000,1.50941490,2.60281404
2.18209105,3.32064131,0.51461645,0.00002450,0.59614451,0.00000000,1.50085235,2.71974616
2.18809405,3.41911278,0.52094123,0.00002426,0.59536335,0.00000000,1.49077968,2.83467449
2.19409705,3.51227094,0.52591653,0.00002402,0.59368494,0.00000000,1.47942055,2.94603157
2.20010005,3.59874832,0.52958516,0.00002377,0.59103560,0.00000000,1.46714642,3.05232146
2.20610305,3.67738567,0.53204705,0.00002350,0.58739138,0.00000000,1.45446153,3.15214980
2.21210605,3.74725442,0.53345611,0.00002321,0.58277500,0.00000000,1.44198301,3.24425331
2.21810905,3.80767309,0.53401516,0.00002288,0.57725177,0.00000000,1.43041665,3.32752734
2.22411206,3.85821717,0.53396889,0.00002252,0.57092444,0.00000000,1.42052931,3.40105073
2.23011506,3.89872152,0.53359516,0.00002214,0.56392736,0.00000000,1.41311867,3.46410644
