energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
5.49574787,2.06129594,0.04655859,0.28513973,0.13634130,0.28498521,0.99227129,0.42251573,1.70965211,0.02682187
5.50175088,1.96790557,0.04446196,0.26377726,0.13256952,0.27156219,0.94728891,0.40613186,1.66337817,0.02540990
5.50775388,1.87593840,0.04247238,0.24274262,0.12890260,0.25889891,0.90354841,0.39015583,1.61575550,0.02408210
5.51375688,1.78676975,0.04062283,0.22231570,0.12542062,0.24716994,0.86182944,0.37481301,1.56767289,0.02286235
5.51975988,1.70163979,0.03894043,0.20274496,0.12219688,0.23651338,0.82283960,0.36030680,1.51997593,0.02177230
5.52576288,1.62163281,0.03744597,0.18424373,0.11929668,0.22702813,0.78720300,0.34681555,1.47344941,0.02083103
5.53176588,1.54766201,0.03615373,0.16698787,0.11677640,0.21877265,0.75545146,0.33449013,1.42880198,0.02005478
5.53776888,1.48045982,0.03507153,0.15111485,0.11468276,0.21176513,0.72801834,0.32345223,1.38665334,0.01945686
5.54377189,1.42057311,0.03420088,0.13672401,0.11305224,0.20598492,0.70523467,0.31379334,1.34752401,0.01904741
5.54977489,1.36836320,0.03353739,0.12387791,0.11191080,0.20137535,0.68732744,0.30557417,1.31182781,0.01883340
5.55577789,1.32400974,0.03307131,0.11260451,0.11127359,0.19784744,0.67441959,0.29882472,1.27986695,0.01881847
5.56178089,1.28751809,0.03278812,0.10290006,0.11114499,0.19528466,0.66653163,0.29354469,1.25182968,0.01900296
5.56778389,1.25872950,0.03266927,0.09473239,0.11151862,0.19354825,0.66358444,0.28970433,1.22779055,0.01938383
5.57378689,1.23733354,0.03269296,0.08804453,0.11237763,0.19248301,0.66540320,0.28724567,1.20771296,0.01995469
5.57978989,1.22288230,0.03283494,0.08275838,0.11369503,0.19192328,0.67172232,0.28608405,1.19145405,0.02070579
5.58579290,1.21480594,0.03306927,0.07877840,0.11543424,0.19169896,0.68219114,0.28611002,1.17877162,0.02162407
5.59179590,1.21242926,0.03336916,0.07599509,0.11754976,0.19164120,0.69638072,0.28719156,1.16933309,0.02269326
5.59779890,1.21498904,0.03370766,0.07428840,0.11998798,0.19158776,0.71379145,0.28917658,1.16272613,0.02389401
5.60380190,1.22165203,0.03405832,0.07353075,0.12268820,0.19138775,0.73386175,0.29189593,1.15847095,0.02520408
5.60980490,1.23153342,0.03439584,0.07358990,0.12558376,0.19090564,0.75597795,0.29516656,1.15603386,0.02659862
5.61580790,1.24371561,0.03469656,0.07433157,0.12860342,0.19002456,0.77948536,0.29879519,1.15484200,0.02805053
5.62181091,1.25726745,0.03493892,0.07562184,0.13167280,0.18864864,0.80370062,0.30258226,1.15429894,0.02953089
5.62781391,1.27126355,0.03510382,0.07732932,0.13471598,0.18670459,0.82792528,0.30632614,1.15380081,0.03100953
5.63381691,1.28480369,0.03517490,0.07932723,0.13765724,0.18414239,0.85146048,0.30982772,1.15275286,0.03245561
5.63981991,1.29703207,0.03513872,0.08149534,0.14042282,0.18093524,0.87362260,0.31289503,1.15058588,0.03383833
5.64582291,1.30715620,0.03498493,0.08372174,0.14294272,0.17707882,0.89375946,0.31534803,1.14677231,0.03512772
5.65182591,1.31446493,0.03470633,0.08590456,0.14515243,0.17258992,0.91126674,0.31702336,1.14084169,0.03629539
5.65782891,1.31834544,0.03429885,0.08795355,0.14699459,0.16750467,0.92560405,0.31777893,1.13239498,0.03731537
5.66383192,1.31829857,0.03376153,0.08979145,0.14842051,0.16187639,0.93631022,0.31749811,1.12111751,0.03816490
5.66983492,1.31395212,0.03309644,0.09135528,0.14939144,0.15577326,0.94301703,0.31609361,1.10679009,0.03882516
5.67583792,1.30507157,0.03230852,0.09259733,0.14987961,0.14927584,0.94546096,0.31351061,1.08929806,0.03928195
5.68184092,1.29156787,0.03140546,0.09348587,0.14986888,0.14247472,0.94349225,0.30972918,1.06863788,0.03952621
5.68784392,1.27350177,0.03039746,0.09400561,0.14935515,0.13546813,0.93708081,0.30476590,1.04492104,0.03955444
5.69384692,1.25108449,0.02929700,0.09415776,0.14834636,0.12835980,0.92631869,0.29867434,1.01837518,0.03936897
5.69984992,1.22467449,0.02811863,0.09395966,0.14686204,0.12125705,0.91141867,0.29154469,0.98934207,0.03897796
5.70585293,1.19477024,0.02687863,0.09344414,0.14493267,0.11426904,0.89270894,0.28350216,0.95827267,0.03839533
5.71185593,1.16199905,0.02559473,0.09265831,0.14259857,0.10750528,0.87062402,0.27470443,0.92571913,0.03764045
5.71785893,1.12710215,0.02428576,0.09166207,0.13990855,0.10107438,0.84569199,0.26533799,0.89232383,0.03673760
5.72386193,1.09091641,0.02297132,0.09052621,0.13691838,0.09508292,0.81851849,0.25561365,0.85880578,0.03571537
5.72986493,1.05435302,0.02167139,0.08933019,0.13368903,0.08963447,0.78976807,0.24576110,0.82594450,0.03460583
5.73586793,1.01837371,0.02040594,0.08815962,0.13028482,0.08482864,0.76014345,0.23602296,0.79456178,0.03344361
5.74187094,0.98396521,0.01919456,0.08710354,0.12677162,0.08076015,0.73036350,0.22664816,0.76550166,0.03226492
5.74787394,0.95211245,0.01805605,0.08625160,0.12321495,0.07751784,0.70114070,0.21788519,0.73960905,0.03110648
5.75387694,0.92377137,0.01700806,0.08569111,0.11967831,0.07518359,0.67315889,0.20997502,0.71770743,0.03000444
5.75987994,0.89984177,0.01606666,0.08550412,0.11622151,0.07383103,0.64705210,0.20314429,0.70057609,0.02899335
5.76588294,0.88114123,0.01524603,0.08576462,0.11289931,0.07352413,0.62338518,0.19759858,0.68892743,0.02810513
5.77188594,0.86838038,0.01455811,0.08653588,0.10976016,0.07431563,0.60263691,0.19351626,0.68338478,0.02736811
5.77788894,0.86214038,0.01401231,0.08786801,0.10684519,0.07624527,0.58518601,0.19104285,0.68446133,0.02680626
