energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
5.61580790,0.18606908,0.00372093,0.04557188,0.00006069,0.01519934,0.00395916,0.00846061,0.04949987,0.16067018
5.62181091,0.18190777,0.00302128,0.04586384,0.00004436,0.01503622,0.00311825,0.00783065,0.04878845,0.15756498
5.62781391,0.17779429,0.00243716,0.04591655,0.00003220,0.01484465,0.00244358,0.00727886,0.04802667,0.15442113
5.63381691,0.17353309,0.00195312,0.04570978,0.00002321,0.01461178,0.00190620,0.00679049,0.04716538,0.15107466
5.63981991,0.16897025,0.00155495,0.04523176,0.00001662,0.01432808,0.00148117,0.00635248,0.04616742,0.14739813
5.64582291,0.16399348,0.00122983,0.04447922,0.00001182,0.01398730,0.00114728,0.00595353,0.04500730,0.14330040
5.65182591,0.15853069,0.00096629,0.04345695,0.00000835,0.01358632,0.00088669,0.00558419,0.04367064,0.13872532
5.65782891,0.15254742,0.00075422,0.04217733,0.00000586,0.01312497,0.00068453,0.00523680,0.04215328,0.13364937
5.66383192,0.14604335,0.00058481,0.04065941,0.00000408,0.01260571,0.00052856,0.00490542,0.04046024,0.12807849
5.66983492,0.13904794,0.00045045,0.03892801,0.00000283,0.01203326,0.00040880,0.00458572,0.03860439,0.12204427
5.67583792,0.13161559,0.00034466,0.03701254,0.00000194,0.01141425,0.00031720,0.00427477,0.03660511,0.11559961
5.68184092,0.12382040,0.00026197,0.03494581,0.00000133,0.01075672,0.00024732,0.00397086,0.03448680,0.10881415
5.68784392,0.11575086,0.00019779,0.03276278,0.00000090,0.01006973,0.00019408,0.00367330,0.03227739,0.10176965
5.69384692,0.10750467,0.00014833,0.03049931,0.00000061,0.00936293,0.00015349,0.00338221,0.03000695,0.09455542
5.69984992,0.09918377,0.00011050,0.02819102,0.00000041,0.00864614,0.00012245,0.00309831,0.02770632,0.08726400
5.70585293,0.09088986,0.00008177,0.02587222,0.00000027,0.00792900,0.00009861,0.00282270,0.02540589,0.07998727
5.71185593,0.08272045,0.00006010,0.02357499,0.00000018,0.00722065,0.00008016,0.00255675,0.02313455,0.07281305
5.71785893,0.07476564,0.00004387,0.02132841,0.00000012,0.00652944,0.00006575,0.00230187,0.02091882,0.06582226
5.72386193,0.06710552,0.00003181,0.01915800,0.00000008,0.00586277,0.00005435,0.00205945,0.01878217,0.05908671
