energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
0.56728364,1.89874053,0.00340506,0.00000000,0.89263043,1.20680821,0.02186117,0.10983226,0.14553286,0.00000000
0.57328664,1.79930816,0.00321813,0.00000000,0.85697988,1.13939927,0.02039981,0.10329407,0.13868627,0.00000000
0.57928964,1.70486263,0.00303567,0.00000000,0.82235251,1.07530179,0.01891428,0.09708125,0.13241543,0.00000000
0.58529265,1.61616746,0.00285972,0.00000000,0.78918832,1.01495324,0.01742496,0.09125520,0.12675119,0.00000000
0.59129565,1.53384771,0.00269218,0.00000000,0.75785092,0.95870434,0.01595142,0.08586527,0.12171450,0.00000000
0.59729865,1.45838428,0.00253479,0.00000000,0.72862338,0.90681656,0.01451187,0.08094877,0.11731679,0.00000000
0.60330165,1.39011443,0.00238908,0.00000000,0.70170808,0.85946345,0.01312283,0.07653148,0.11356073,0.00000000
0.60930465,1.32923845,0.00225634,0.00000000,0.67723035,0.81673568,0.01179882,0.07262855,0.11044128,0.00000000
0.61530765,1.27583147,0.00213767,0.00000000,0.65524557,0.77864930,0.01055220,0.06924579,0.10794720,0.00000000
0.62131066,1.22985980,0.00203390,0.00000000,0.63574907,0.74515672,0.00939303,0.06638124,0.10606270,0.00000000
0.62731366,1.19120024,0.00194565,0.00000000,0.61868810,0.71615942,0.00832912,0.06402680,0.10476924,0.00000000
0.63331666,1.15966114,0.00187335,0.00000000,0.60397507,0.69152175,0.00736609,0.06217005,0.10404737,0.00000000
0.63931966,1.13500366,0.00181720,0.00000000,0.59150107,0.67108470,0.00650752,0.06079592,0.10387841,0.00000000
0.64532266,1.11696175,0.00177724,0.00000000,0.58114884,0.65467877,0.00575517,0.05988828,0.10424592,0.00000000
0.65132566,1.10525949,0.00175336,0.00000000,0.57280434,0.64213512,0.00510920,0.05943121,0.10513673,0.00000000
0.65732866,1.09962472,0.00174528,0.00000000,0.56636626,0.63329425,0.00456845,0.05941004,0.10654160,0.00000000
0.66333167,1.09979810,0.00175261,0.00000000,0.56175288,0.62801176,0.00413070,0.05981193,0.10845525,0.00000000
0.66933467,1.10553711,0.00177484,0.00000000,0.55890588,0.62616076,0.00379295,0.06062615,0.11087589,0.00000000
0.67533767,1.11661503,0.00181134,0.00000000,0.55779115,0.62763091,0.00355169,0.06184390,0.11380417,0.00000000
0.68134067,1.13281502,0.00186136,0.00000000,0.55839640,0.63232440,0.00340311,0.06345781,0.11724156,0.00000000
0.68734367,1.15392019,0.00192403,0.00000000,0.56072618,0.64014905,0.00334336,0.06546111,0.12118838,0.00000000
0.69334667,1.17970055,0.00199837,0.00000000,0.56479454,0.65100936,0.00336872,0.06784657,0.12564147,0.00000000
0.69934967,1.20989812,0.00208325,0.00000000,0.57061609,0.66479613,0.00347575,0.07060532,0.13059173,0.00000000
0.70535268,1.24421168,0.00217741,0.00000000,0.57819614,0.68137576,0.00366147,0.07372560,0.13602170,0.00000000
0.71135568,1.28228258,0.00227946,0.00000000,0.58752084,0.70057986,0.00392344,0.07719167,0.14190330,0.00000000
0.71735868,1.32368311,0.00238787,0.00000000,0.59854792,0.72219649,0.00425987,0.08098279,0.14819600,0.00000000
0.72336168,1.36790860,0.00250098,0.00000000,0.61119892,0.74596348,0.00466966,0.08507259,0.15484559,0.00000000
0.72936468,1.41437445,0.00261702,0.00000000,0.62535354,0.77156484,0.00515248,0.08942880,0.16178352,0.00000000
0.73536768,1.46241864,0.00273413,0.00000000,0.64084648,0.79863057,0.00570873,0.09401333,0.16892719,0.00000000
0.74137069,1.51131004,0.00285037,0.00000000,0.65746713,0.82674019,0.00633957,0.09878290,0.17618101,0.00000000
0.74737369,1.56026258,0.00296382,0.00000000,0.67496231,0.85542999,0.00704684,0.10369009,0.18343834,0.00000000
0.75337669,1.60845452,0.00307255,0.00000000,0.69304171,0.88420380,0.00783301,0.10868484,0.19058425,0.00000000
0.75937969,1.65505213,0.00317470,0.00000000,0.71138596,0.91254669,0.00870102,0.11371627,0.19749896,0.00000000
0.76538269,1.69923639,0.00326852,0.00000000,0.72965671,0.93994085,0.00965412,0.11873487,0.20406186,0.00000000
0.77138569,1.74023136,0.00335243,0.00000000,0.74750812,0.96588294,0.01069570,0.12369469,0.21015587,0.00000000
0.77738869,1.77733251,0.00342507,0.00000000,0.76459907,0.98990170,0.01182899,0.12855574,0.21567192,0.00000000
0.78339170,1.80993334,0.00348531,0.00000000,0.78060530,1.01157493,0.01305683,0.13328615,0.22051333,0.00000000
0.78939470,1.83754886,0.00353229,0.00000000,0.79523082,1.03054481,0.01438129,0.13786410,0.22459986,0.00000000
