energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
1.32366183,2.53127285,0.04056391,0.34033752,0.64647222,0.45274581,0.09084920,0.30585189,0.90615491,1.17119477
1.32966483,2.44880238,0.04096771,0.32343504,0.63983247,0.43763599,0.08785040,0.30153653,0.86680283,1.13333536
1.33566783,2.36104600,0.04129402,0.30572446,0.63176324,0.42152981,0.08457787,0.29660364,0.82525686,1.09339614
1.34167084,2.26892555,0.04151632,0.28745967,0.62225847,0.40459900,0.08107262,0.29106374,0.78206808,1.05174969
1.34767384,2.17335385,0.04161186,0.26888727,0.61131538,0.38701530,0.07737746,0.28492799,0.73778759,1.00876039
1.35367684,2.07521641,0.04156204,0.25024079,0.59893649,0.36894647,0.07353592,0.27820885,0.69295406,0.96477813
1.35967984,1.97535766,0.04135277,0.23173583,0.58513243,0.35055312,0.06959119,0.27092123,0.64808317,0.92013424
1.36568284,1.87457209,0.04097465,0.21356617,0.56992533,0.33198631,0.06558519,0.26308399,0.60365945,0.87513970
1.37168584,1.77360018,0.04042323,0.19590113,0.55335248,0.31338604,0.06155783,0.25472167,0.56013058,0.83008551
1.37768884,1.67312863,0.03969899,0.17888386,0.53547007,0.29488044,0.05754640,0.24586631,0.51790429,0.78524491
1.38369185,1.57379446,0.03880740,0.16263083,0.51635664,0.27658578,0.05358516,0.23655928,0.47734776,0.74087722
1.38969485,1.47619200,0.03775880,0.14723226,0.49611606,0.25860693,0.04970507,0.22685291,0.43878929,0.69723274
1.39569785,1.38088202,0.03656822,0.13275333,0.47487970,0.24103838,0.04593369,0.21681185,0.40252211,0.65455841
1.40170085,1.28840195,0.03525513,0.11923611,0.45280759,0.22396546,0.04229518,0.20651402,0.36880972,0.61310360
1.40770385,1.19927647,0.03384308,0.10670200,0.43008850,0.20746574,0.03881051,0.19605107,0.33789265,0.57312588
1.41370685,1.11402753,0.03235928,0.09515447,0.40693893,0.19161040,0.03549761,0.18552840,0.30999589,0.53489611
1.41970985,1.03318327,0.03083417,0.08458199,0.38360084,0.17646557,0.03237166,0.17506464,0.28533677,0.49870282
1.42571286,0.95728519,0.02930081,0.07496095,0.36033844,0.16209337,0.02944548,0.16479058,0.26413270,0.46485552
1.43171586,0.88689340,0.02779439,0.06625853,0.33743400,0.14855277,0.02672975,0.15484774,0.24660837,0.43368680
1.43771886,0.82258951,0.02635159,0.05843534,0.31518302,0.13590018,0.02423344,0.14538652,0.23300191,0.40555316
1.44372186,0.76497719,0.02500998,0.05144773,0.29388886,0.12418972,0.02196405,0.13656404,0.22356977,0.38083453
1.44972486,0.71468030,0.02380734,0.04524993,0.27385705,0.11347324,0.01992791,0.12854171,0.21858980,0.35993236
1.45572786,0.67233868,0.02278107,0.03979570,0.25538961,0.10380013,0.01813040,0.12148271,0.21836230,0.34326646
1.46173087,0.63860157,0.02196753,0.03503975,0.23877941,0.09521690,0.01657616,0.11554929,0.22320881,0.33127035
1.46773387,0.61411882,0.02140132,0.03093881,0.22430477,0.08776660,0.01526918,0.11090000,0.23346836,0.32438532
