energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
2.14007004,1.68930740,1.70295693,0.07179227,0.00848464,0.11124704,0.08366437,0.25345112,0.21633208,0.95484631
2.14607304,1.75208838,1.75793939,0.07475064,0.00865209,0.11358946,0.08899739,0.26335709,0.22499363,0.99143163
2.15207604,1.80661615,1.80337786,0.07736300,0.00876358,0.11551614,0.09405429,0.27203268,0.23260725,1.02315767
2.15807904,1.85193618,1.83845035,0.07958614,0.00881692,0.11701393,0.09874876,0.27932235,0.23905750,1.04944276
2.16408204,1.88727169,1.86253034,0.08138376,0.00881110,0.11808637,0.10299812,0.28509661,0.24425070,1.06980229
2.17008504,1.91204374,1.87520492,0.08272752,0.00874633,0.11875276,0.10672559,0.28925555,0.24811769,1.08386214
2.17608804,1.92588564,1.87628643,0.08359783,0.00862403,0.11904660,0.10986266,0.29173149,0.25061578,1.09136889
2.18209105,1.92865088,1.86581684,0.08398444,0.00844673,0.11901349,0.11235115,0.29249069,0.25172991,1.09219662
2.18809405,1.92041422,1.84406494,0.08388663,0.00821802,0.11870855,0.11414506,0.29153405,0.25147278,1.08634977
2.19409705,1.90146578,1.81151623,0.08331321,0.00794241,0.11819353,0.11521194,0.28889662,0.24988420,1.07396201
2.20010005,1.87229857,1.76885609,0.08228207,0.00762519,0.11753364,0.11553396,0.28464610,0.24702934,1.05529115
2.20610305,1.83358961,1.71694690,0.08081958,0.00727226,0.11679428,0.11510839,0.27888032,0.24299625,1.03071022
2.21210605,1.78617579,1.65680004,0.07895960,0.00688994,0.11603793,0.11394756,0.27172374,0.23789261,1.00069518
2.21810905,1.73102526,1.58954404,0.07674234,0.00648477,0.11532104,0.11207843,0.26332321,0.23184178,0.96580966
2.22411206,1.66920563,1.51639016,0.07421298,0.00606337,0.11469144,0.10954150,0.25384309,0.22497858,0.92668748
2.23011506,1.60185034,1.43859677,0.07142025,0.00563223,0.11418607,0.10638946,0.24346006,0.21744470,0.88401359
2.23611806,1.53012452,1.35743399,0.06841486,0.00519756,0.11382925,0.10268529,0.23235765,0.20938408,0.83850424
2.24212106,1.45519180,1.27414994,0.06524804,0.00476517,0.11363165,0.09850026,0.22072088,0.20093851,0.79088715
2.24812406,1.37818317,1.18993969,0.06197006,0.00434032,0.11358983,0.09391163,0.20873115,0.19224349,0.74188240
2.25412706,1.30016923,1.10591805,0.05862891,0.00392769,0.11368646,0.08900027,0.19656158,0.18342467,0.69218479
2.26013007,1.22213655,1.02309708,0.05526919,0.00353125,0.11389126,0.08384837,0.18437293,0.17459484,0.64244825
2.26613307,1.14496903,0.94236858,0.05193115,0.00315429,0.11416243,0.07853717,0.17231035,0.16585174,0.59327262
2.27213607,1.06943447,0.86449227,0.04864999,0.00279939,0.11444871,0.07314497,0.16050083,0.15727657,0.54519346
2.27813907,0.99617668,0.79008929,0.04545545,0.00246840,0.11469182,0.06774533,0.14905167,0.14893340,0.49867467
2.28414207,0.92571294,0.71964111,0.04237157,0.00216256,0.11482924,0.06240565,0.13804967,0.14086929,0.45410436
2.29014507,0.85843649,0.65349328,0.03941673,0.00188246,0.11479714,0.05718605,0.12756131,0.13311512,0.41179352
2.29614807,0.79462349,0.59186344,0.03660395,0.00162816,0.11453343,0.05213864,0.11763351,0.12568706,0.37197759
2.30215108,0.73444371,0.53485288,0.03394125,0.00139923,0.11398071,0.04730717,0.10829516,0.11858853,0.33482039
2.30815408,0.67797429,0.48246082,0.03143228,0.00119487,0.11308894,0.04272695,0.09955912,0.11181250,0.30042019
2.31415708,0.62521538,0.43460054,0.02907700,0.00101394,0.11181798,0.03842515,0.09142459,0.10534399,0.26881734
2.32016008,0.57610714,0.39111652,0.02687238,0.00085506,0.11013950,0.03442133,0.08387970,0.09916265,0.24000310
2.32616308,0.53054698,0.35180186,0.02481320,0.00071668,0.10803860,0.03072819,0.07690421,0.09324522,0.21392926
2.33216608,0.48840637,0.31641517,0.02289277,0.00059714,0.10551481,0.02735245,0.07047215,0.08756788,0.19051794
2.33816908,0.44954660,0.28469634,0.02110361,0.00049474,0.10258255,0.02429586,0.06455434,0.08210821,0.16967138
2.34417209,0.41383289,0.25638087,0.01943810,0.00040778,0.09927107,0.02155626,0.05912059,0.07684683,0.15128131
2.35017509,0.38114653,0.23121220,0.01788896,0.00033460,0.09562388,0.01912864,0.05414168,0.07176866,0.13523754
2.35617809,0.35139471,0.20895198,0.01644966,0.00027363,0.09169770,0.01700611,0.04959089,0.06686374,0.12143569
2.36218109,0.32451802,0.18938813,0.01511472,0.00022339,0.08756104,0.01518087,0.04544527,0.06212762,0.10978386
