energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-2.99849925,5.72288406,0.00336077,0.13179398,1.31694061,4.86248647,0.08667631,0.74847700
-2.99249625,5.97896536,0.00390307,0.13544279,1.38971508,5.06511176,0.09166506,0.79337750
-2.98649325,6.24102383,0.00457604,0.13900485,1.46528522,5.27117834,0.09699476,0.84011215
-2.98049025,6.50998287,0.00538926,0.14253092,1.54387142,5.48145959,0.10269366,0.88876886
-2.97448724,6.78679264,0.00635283,0.14607653,1.62569329,5.69677044,0.10878498,0.93942630
-2.96848424,7.07233844,0.00747696,0.14969970,1.71094357,5.91789375,0.11528424,0.99213985
-2.96248124,7.36734382,0.00877160,0.15345841,1.79976050,6.14550229,0.12219659,1.04692685
-2.95647824,7.67227286,0.01024591,0.15740777,1.89219991,6.38007953,0.12951443,1.10375205
-2.95047524,7.98723605,0.01190780,0.16159725,1.98820859,6.62184293,0.13721539,1.16251400
-2.94447224,8.31190499,0.01376338,0.16606788,2.08760040,6.87067366,0.14526086,1.22303326
-2.93846923,8.64544047,0.01581650,0.17084960,2.19003670,7.12605640,0.15359509,1.28504325
-2.93246623,8.98643891,0.01806822,0.17595901,2.29501239,7.38703326,0.16214507,1.34818434
-2.92646323,9.33290093,0.02051643,0.18139740,2.40184876,7.65217496,0.17082115,1.41200198
-2.92046023,9.68222569,0.02315545,0.18714946,2.50969410,7.91957205,0.17951846,1.47594907
-2.91445723,10.03123277,0.02597583,0.19318256,2.61753255,8.18684811,0.18811910,1.53939300
-2.90845423,10.37621291,0.02896417,0.19944676,2.72420138,8.45119587,0.19649500,1.60162709
-2.90245123,10.71300679,0.03210316,0.20587558,2.82841636,8.70943596,0.20451145,1.66188648
-2.89644822,11.03710995,0.03537167,0.21238753,2.92880465,8.95809690,0.21203099,1.71936767
-2.89044522,11.34380024,0.03874510,0.21888836,3.02394385,9.19351380,0.21891769,1.77325123
-2.88444222,11.62828317,0.04219580,0.22527400,3.11240586,9.41194193,0.22504152,1.82272659
-2.87843922,11.88584880,0.04569362,0.23143403,3.19280371,9.60968055,0.23028262,1.86701800
-2.87243622,12.11203367,0.04920660,0.23725555,3.26383925,9.78320152,0.23453540,1.90541046
-2.86643322,12.30278025,0.05270180,0.24262735,3.32434968,9.92927700,0.23771208,1.93727444
-2.86043022,12.45458655,0.05614604,0.24744406,3.37335072,10.04510009,0.23974583,1.96208829
-2.85442721,12.56463898,0.05950684,0.25161025,3.41007437,10.12839284,0.24059300,1.97945733
-2.84842421,12.63092197,0.06275320,0.25504420,3.43399963,10.17749640,0.24023468,1.98912868
-2.84242121,12.65229946,0.06585638,0.25768112,3.44487464,10.19143909,0.23867737,1.99100127
-2.83641821,12.62856443,0.06879060,0.25947585,3.44272922,10.16997922,0.23595275,1.98513051
-2.83041521,12.56045432,0.07153358,0.26040469,3.42787737,10.11362086,0.23211658,1.97172751
-2.82441221,12.44963222,0.07406695,0.26046648,3.40090950,10.02360208,0.22724687,1.95115293
-2.81840920,12.29863503,0.07637647,0.25968277,3.36267496,9.90185664,0.22144131,1.92390583
-2.81240620,12.11079158,0.07845212,0.25809718,3.31425569,9.75095148,0.21481410,1.89060809
-2.80640320,11.89011522,0.08028794,0.25577392,3.25693230,9.57400324,0.20749235,1.85198508
-2.80040020,11.64117607,0.08188181,0.25279557,3.19214410,9.37457837,0.19961218,1.80884367
-2.79439720,11.36895933,0.08323502,0.24926034,3.12144495,9.15658150,0.19131473,1.76204836
-2.78839420,11.07871605,0.08435172,0.24527872,3.04645689,8.92413751,0.18274206,1.71249670
