energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
3.99499750,4.00852634,0.11053941,0.75965855,0.47094551,0.02627279,2.90969444,0.23969857,0.08616490,0.94923541
4.00100050,3.98714858,0.10968584,0.75966510,0.48455193,0.02588599,2.89367307,0.23651274,0.09049598,0.93531737
4.00700350,3.94360263,0.10817736,0.75583668,0.49714959,0.02532963,2.86158439,0.23179072,0.09484653,0.91523585
4.01300650,3.87939431,0.10605939,0.74841302,0.50874556,0.02461617,2.81452500,0.22564101,0.09920106,0.88943698
4.01900950,3.79638662,0.10338951,0.73769145,0.51934529,0.02376103,2.75384692,0.21819921,0.10353864,0.85847606
4.02501251,3.69672650,0.10023567,0.72401371,0.52894672,0.02278212,2.68110361,0.20962331,0.10783222,0.82299860
4.03101551,3.58276520,0.09667410,0.70775192,0.53753527,0.02169921,2.59799142,0.20008840,0.11204836,0.78371900
4.03701851,3.45697650,0.09278724,0.68929437,0.54507989,0.02053331,2.50628942,0.18978099,0.11614733,0.74139787
4.04302151,3.32187694,0.08866168,0.66903198,0.55153067,0.01930604,2.40780079,0.17889331,0.12008371,0.69681896
4.04902451,3.17995197,0.08438625,0.64734605,0.55681816,0.01803902,2.30429838,0.16761776,0.12380753,0.65076696
4.05502751,3.03359135,0.08005034,0.62459802,0.56085477,0.01675330,2.19747708,0.15614174,0.12726588,0.60400681
4.06103052,2.88503634,0.07574262,0.60112143,0.56353798,0.01546887,2.08891472,0.14464319,0.13040500,0.55726553
4.06703352,2.73634047,0.07155005,0.57721662,0.56475543,0.01420425,1.98004280,0.13328674,0.13317278,0.51121711
4.07303652,2.58934480,0.06755741,0.55314801,0.56439161,0.01297614,1.87212777,0.12222082,0.13552152,0.46647080
4.07903952,2.44566737,0.06384713,0.52914406,0.56233566,0.01179925,1.76626273,0.11157562,0.13741087,0.42356316
4.08504252,2.30670602,0.06049954,0.50539948,0.55848994,0.01068617,1.66336886,0.10146201,0.13881082,0.38295368
4.09104552,2.17365282,0.05759339,0.48207947,0.55277881,0.00964733,1.56420549,0.09197122,0.13970450,0.34502397
4.09704852,2.04751778,0.05520662,0.45932536,0.54515693,0.00869107,1.46938709,0.08317531,0.14009067,0.31007990
4.10305153,1.92915899,0.05341716,0.43726119,0.53561682,0.00782380,1.37940540,0.07512834,0.13998584,0.27835650
4.10905453,1.81931648,0.05230379,0.41600060,0.52419490,0.00705012,1.29465456,0.06786786,0.13942567,0.25002472
4.11505753,1.71864657,0.05194673,0.39565346,0.51097580,0.00637313,1.21545727,0.06141693,0.13846573,0.22519972
4.12106053,1.62775415,0.05242806,0.37633184,0.49609459,0.00579456,1.14209007,0.05578611,0.13718149,0.20394969
4.12706353,1.54722028,0.05383167,0.35815474,0.47973676,0.00531509,1.07480606,0.05097565,0.13566740,0.18630495
4.13306653,1.47762320,0.05624272,0.34125136,0.46213590,0.00493454,1.01385365,0.04697745,0.13403516,0.17226647
4.13906953,1.41955139,0.05974649,0.32576273,0.44356926,0.00465205,0.95949053,0.04377688,0.13241116,0.16181342
4.14507254,1.37360770,0.06442666,0.31184147,0.42435134,0.00446624,0.91199205,0.04135429,0.13093320,0.15490950
4.15107554,1.34040443,0.07036282,0.29964998,0.40482587,0.00437534,0.87165401,0.03968618,0.12974648,0.15150754
4.15707854,1.32054987,0.07762748,0.28935687,0.38535658,0.00437724,0.83878995,0.03874601,0.12899915,0.15155249
4.16308154,1.31462699,0.08628245,0.28113216,0.36631730,0.00446950,0.81372349,0.03850466,0.12883746,0.15498259
4.16908454,1.32316586,0.09637481,0.27514144,0.34808162,0.00464932,0.79677641,0.03893060,0.12940072,0.16172889
4.17508754,1.34661151,0.10793253,0.27153929,0.33101295,0.00491350,0.78825360,0.03998976,0.13081628,0.17171334
4.18109055,1.38528922,0.12096012,0.27046243,0.31545504,0.00525836,0.78842571,0.04164520,0.13319465,0.18484568
4.18709355,1.43936938,0.13543424,0.27202302,0.30172354,0.00567959,0.79751091,0.04385676,0.13662506,0.20101948
4.19309655,1.50883420,0.15129983,0.27630230,0.29009884,0.00617218,0.81565667,0.04658053,0.14117149,0.22010782
4.19909955,1.59344822,0.16846679,0.28334515,0.28082030,0.00673030,0.84292273,0.04976853,0.14686945,0.24195879
4.20510255,1.69273462,0.18680757,0.29315561,0.27408213,0.00734723,0.87926618,0.05336838,0.15372358,0.26639155
4.21110555,1.80595899,0.20615585,0.30569376,0.27003076,0.00801529,0.92452939,0.05732329,0.16170616,0.29319302
4.21710855,1.93212167,0.22630665,0.32087402,0.26876374,0.00872585,0.97843148,0.06157213,0.17075672,0.32211574
4.22311156,2.06995967,0.24701779,0.33856491,0.27032999,0.00946932,1.04056365,0.06604993,0.18078260,0.35287713
4.22911456,2.21795844,0.26801300,0.35859034,0.27473122,0.01023529,1.11038874,0.07068853,0.19166062,0.38516030
4.23511756,2.37437345,0.28898668,0.38073237,0.28192427,0.01101259,1.18724485,0.07541752,0.20323977,0.41861655
4.24112056,2.53726090,0.30961010,0.40473512,0.29182414,0.01178954,1.27035313,0.08016544,0.21534478,0.45286958
4.24712356,2.70451672,0.32953906,0.43030993,0.30430744,0.01255413,1.35882922,0.08486111,0.22778058,0.48752127
4.25312656,2.87392220,0.34842272,0.45714125,0.31921610,0.01329430,1.45169807,0.08943509,0.24033734,0.52215889
4.25912956,3.04319467,0.36591329,0.48489319,0.33636106,0.01399821,1.54791154,0.09382118,0.25279605,0.55636340
4.26513257,3.21004120,0.38167616,0.51321636,0.35552593,0.01465458,1.64636823,0.09795789,0.26493439,0.58971860
4.27113557,3.37221321,0.39540021,0.54175474,0.37647037,0.01525296,1.74593488,0.10178978,0.27653265,0.62182062
4.27713857,3.52755985,0.40680769,0.57015245,0.39893327,0.01578403,1.84546865,0.10526864,0.28737950,0.65228741
4.28314157,3.67407826,0.41566327,0.59806000,0.42263575,0.01623987,1.94383980,0.10835440,0.29727746,0.68076787
