energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-4.70935468,0.96257356,0.14915920,0.00713788,0.41484052,0.29046098,0.02198831,0.40745826
-4.70335168,0.94880076,0.14897234,0.00691502,0.40295598,0.29144014,0.02224841,0.39779359
-4.69734867,0.93555353,0.14902634,0.00668386,0.39105854,0.29279749,0.02259905,0.38816129
-4.69134567,0.92354224,0.14942607,0.00644968,0.37954318,0.29467713,0.02306026,0.37890532
-4.68534267,0.91339773,0.15026411,0.00621726,0.36877883,0.29719362,0.02364950,0.37033853
-4.67933967,0.90565040,0.15161780,0.00599073,0.35909768,0.30042729,0.02438101,0.36273260
-4.67333667,0.90071363,0.15354692,0.00577346,0.35078618,0.30442094,0.02526507,0.35630983
-4.66733367,0.89887228,0.15609215,0.00556801,0.34407786,0.30917826,0.02630745,0.35123689
-4.66133067,0.90027632,0.15927420,0.00537610,0.33914826,0.31466392,0.02750902,0.34762085
-4.65532766,0.90493983,0.16309372,0.00519859,0.33611183,0.32080541,0.02886540,0.34550742
-4.64932466,0.91274510,0.16753193,0.00503557,0.33502109,0.32749633,0.03036685,0.34488153
-4.64332166,0.92345147,0.17255181,0.00488641,0.33586762,0.33460105,0.03199832,0.34566999
-4.63731866,0.93670828,0.17809990,0.00474986,0.33858501,0.34196055,0.03373966,0.34774610
-4.63131566,0.95207139,0.18410853,0.00462420,0.34305339,0.34939904,0.03556598,0.35093608
-4.62531266,0.96902234,0.19049836,0.00450738,0.34910533,0.35673108,0.03744827,0.35502678
-4.61930965,0.98698944,0.19718116,0.00439711,0.35653300,0.36376897,0.03935412,0.35977459
-4.61330665,1.00536991,0.20406270,0.00429107,0.36509600,0.37033004,0.04124857,0.36491511
-4.60730365,1.02355227,0.21104561,0.00418698,0.37453000,0.37624356,0.04309514,0.37017319
-4.60130065,1.04093836,0.21803229,0.00408279,0.38455556,0.38135708,0.04485694,0.37527318
-4.59529765,1.05696413,0.22492752,0.00397670,0.39488711,0.38554197,0.04649781,0.37994887
-4.58929465,1.07111886,0.23164099,0.00386731,0.40524175,0.38869803,0.04798357,0.38395297
-4.58329165,1.08296213,0.23808956,0.00375365,0.41534771,0.39075708,0.04928315,0.38706584
-4.57728864,1.09213839,0.24419917,0.00363524,0.42495215,0.39168552,0.05036974,0.38910329
-4.57128564,1.09838866,0.24990653,0.00351207,0.43382828,0.39148574,0.05122186,0.38992307
-4.56528264,1.10155931,0.25516043,0.00338465,0.44178150,0.39019663,0.05182422,0.38943021
-4.55927964,1.10160783,0.25992276,0.00325395,0.44865444,0.38789296,0.05216846,0.38758085
-4.55327664,1.09860542,0.26416914,0.00312137,0.45433086,0.38468409,0.05225372,0.38438458
-4.54727364,1.09273671,0.26788924,0.00298873,0.45873817,0.38071175,0.05208689,0.37990530
-4.54127064,1.08429651,0.27108672,0.00285816,0.46184870,0.37614724,0.05168274,0.37426058
-4.53526763,1.07368380,0.27377891,0.00273208,0.46367953,0.37118811,0.05106367,0.36761950
-4.52926463,1.06139327,0.27599605,0.00261313,0.46429099,0.36605431,0.05025939,0.36019921
-4.52326163,1.04800455,0.27778038,0.00250407,0.46378395,0.36098405,0.04930620,0.35226020
-4.51725863,1.03416945,0.27918483,0.00240777,0.46229580,0.35622941,0.04824616,0.34410044
-4.51125563,1.02059754,0.28027155,0.00232708,0.45999553,0.35205167,0.04712607,0.33604856
-4.50525263,1.00804029,0.28111023,0.00226483,0.45707792,0.34871660,0.04599629,0.32845633
-4.49924962,0.99727428,0.28177625,0.00222371,0.45375701,0.34648952,0.04490945,0.32169040
-4.49324662,0.98908349,0.28234881,0.00220628,0.45025929,0.34563040,0.04391910,0.31612374
-4.48724362,0.98424134,0.28290891,0.00221486,0.44681654,0.34638885,0.04307832,0.31212672
-4.48124062,0.98349249,0.28353742,0.00225151,0.44365881,0.34899906,0.04243833,0.31005820
-4.47523762,0.98753480,0.28431311,0.00231799,0.44100758,0.35367481,0.04204717,0.31025661
-4.46923462,0.99700172,0.28531086,0.00241568,0.43906939,0.36060444,0.04194840,0.31303130
-4.46323162,1.01244537,0.28659986,0.00254560,0.43802999,0.36994589,0.04217994,0.31865415
-4.45722861,1.03432050,0.28824197,0.00270832,0.43804930,0.38182190,0.04277298,0.32735180
-4.45122561,1.06296967,0.29029025,0.00290397,0.43925710,0.39631533,0.04375109,0.33929836
-4.44522261,1.09860991,0.29278756,0.00313218,0.44174965,0.41346490,0.04512941,0.35460887
-4.43921961,1.14132112,0.29576530,0.00339211,0.44558717,0.43326118,0.04691403,0.37333375
-4.43321661,1.19103658,0.29924238,0.00368239,0.45079231,0.45564333,0.04910159,0.39545411
-4.42721361,1.24753588,0.30322419,0.00400114,0.45734940,0.48049641,0.05167898,0.42087832
-4.42121061,1.31044066,0.30770190,0.00434601,0.46520469,0.50764970,0.05462329,0.44943994
-4.41520760,1.37921350,0.31265187,0.00471412,0.47426739,0.53687611,0.05790195,0.48089702
-4.40920460,1.45316033,0.31803527,0.00510217,0.48441148,0.56789283,0.06147311,0.51493319
-4.40320160,1.53143661,0.32379806,0.00550643,0.49547832,0.60036337,0.06528621,0.55116040
-4.39719860,1.61305762,0.32987117,0.00592282,0.50727993,0.63390126,0.06928275,0.58912364
-4.39119560,1.69691276,0.33617113,0.00634693,0.51960292,0.66807526,0.07339737,0.62830747
-4.38519260,1.78178412,0.34260107,0.00677416,0.53221301,0.70241620,0.07755906,0.66814462
-4.37918959,1.86636886,0.34905206,0.00719970,0.54486007,0.73642539,0.08169261,0.70802632
-4.37318659,1.94930518,0.35540497,0.00761869,0.55728350,0.76958442,0.08572025,0.74731438
-4.36718359,2.02920132,0.36153273,0.00802627,0.56921798,0.80136615,0.08956341,0.78535468
-4.36118059,2.10466674,0.36730288,0.00841766,0.58039933,0.83124649,0.09314458,0.82149183
-4.35517759,2.17434470,0.37258056,0.00878826,0.59057046,0.85871675,0.09638925,0.85508446
-4.34917459,2.23694512,0.37723162,0.00913369,0.59948713,0.88329604,0.09922779,0.88552084
-4.34317159,2.29127659,0.38112599,0.00944991,0.60692349,0.90454325,0.10159732,0.91223418
-4.33716858,2.33627651,0.38414097,0.00973324,0.61267706,0.92206832,0.10344341,0.93471712
-4.33116558,2.37103805,0.38616455,0.00998043,0.61657332,0.93554210,0.10472154,0.95253492
-4.32516258,2.39483318,0.38709838,0.01018869,0.61846936,0.94470470,0.10539836,0.96533674
-4.31915958,2.40713063,0.38686061,0.01035573,0.61825693,0.94937182,0.10545262,0.97286469
