energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.39219610,3.94208697,0.04541328,0.13573665,0.55716887,2.88864707,0.10927083,0.36211949,0.47972773,0.00000000
-2.38619310,4.12703178,0.04826644,0.14038091,0.57196480,3.04326073,0.11771329,0.36760051,0.49985822,0.00000000
-2.38019010,4.32401882,0.05099360,0.14516988,0.58599653,3.21024442,0.12638937,0.37310366,0.52016860,0.00000000
-2.37418709,4.53171818,0.05355342,0.15013516,0.59903991,3.38850974,0.13523804,0.37862971,0.54034176,0.00000000
-2.36818409,4.74863474,0.05590650,0.15530897,0.61088270,3.57679124,0.14419595,0.38417851,0.56005986,0.00000000
-2.36218109,4.97311164,0.05801649,0.16072149,0.62133029,3.77365366,0.15319857,0.38974430,0.57901217,0.00000000
-2.35617809,5.20333540,0.05985106,0.16639803,0.63021088,3.97750091,0.16218126,0.39531132,0.59690256,0.00000000
-2.35017509,5.43734333,0.06138285,0.17235633,0.63737991,4.18658685,0.17108015,0.40085017,0.61345634,0.00000000
-2.34417209,5.67303392,0.06259024,0.17860394,0.64272338,4.39902809,0.17983298,0.40631509,0.62842606,0.00000000
-2.33816908,5.90818071,0.06345791,0.18513596,0.64616029,4.61281919,0.18837965,0.41164259,0.64159633,0.00000000
-2.33216608,6.14045039,0.06397723,0.19193320,0.64764372,4.82585040,0.19666269,0.41675126,0.65278733,0.00000000
-2.32616308,6.36742545,0.06414648,0.19896090,0.64716095,5.03592850,0.20462753,0.42154326,0.66185702,0.00000000
-2.32016008,6.58663197,0.06397070,0.20616807,0.64473233,5.24080091,0.21222267,0.42590703,0.66870207,0.00000000
-2.31415708,6.79557260,0.06346146,0.21348764,0.64040923,5.43818337,0.21939982,0.42972155,0.67325766,0.00000000
-2.30815408,6.99176483,0.06263639,0.22083725,0.63427115,5.62579149,0.22611402,0.43286152,0.67549609,0.00000000
-2.30215108,7.17278425,0.06151842,0.22812098,0.62642217,5.80137594,0.23232378,0.43520365,0.67542459,0.00000000
-2.29614807,7.33631218,0.06013505,0.23523169,0.61698694,5.96276132,0.23799142,0.43663328,0.67308250,0.00000000
-2.29014507,7.48018690,0.05851733,0.24205413,0.60610648,6.10788803,0.24308350,0.43705136,0.66853790,0.00000000
-2.28414207,7.60245711,0.05669889,0.24846868,0.59393399,6.23485661,0.24757148,0.43638120,0.66188418,0.00000000
-2.27813907,7.70143617,0.05471488,0.25435544,0.58063090,6.34197336,0.25143256,0.43457453,0.65323648,0.00000000
-2.27213607,7.77575517,0.05260096,0.25959870,0.56636315,6.42779595,0.25465071,0.43161681,0.64272841,0.00000000
-2.26613307,7.82441280,0.05039230,0.26409149,0.55129818,6.49117748,0.25721787,0.42753111,0.63050904,0.00000000
-2.26013007,7.84681967,0.04812278,0.26774002,0.53560230,6.53130713,0.25913512,0.42238056,0.61674028,0.00000000
-2.25412706,7.84283480,0.04582418,0.27046782,0.51943882,6.54774545,0.26041395,0.41626904,0.60159473,0.00000000
-2.24812406,7.81279194,0.04352565,0.27221929,0.50296665,6.54045236,0.26107726,0.40934007,0.58525391,0.00000000
-2.24212106,7.75751373,0.04125323,0.27296263,0.48633951,6.50980598,0.26116022,0.40177380,0.56790681,0.00000000
-2.23611806,7.67831189,0.03902966,0.27269179,0.46970551,6.45661056,0.26071065,0.39378224,0.54974880,0.00000000
-2.23011506,7.57697223,0.03687426,0.27142747,0.45320707,6.38209231,0.25978899,0.38560288,0.53098056,0.00000000
-2.22411206,7.45572378,0.03480302,0.26921693,0.43698102,6.28788209,0.25846766,0.37749086,0.51180705,0.00000000
-2.21810905,7.31719234,0.03282883,0.26613278,0.42115867,6.17598486,0.25682976,0.36971008,0.49243647,0.00000000
-2.21210605,7.16433895,0.03096180,0.26227058,0.40586588,6.04873606,0.25496718,0.36252362,0.47307885,0.00000000
-2.20610305,7.00038529,0.02920973,0.25774545,0.39122293,5.90874614,0.25297806,0.35618375,0.45394449,0.00000000
-2.20010005,6.82872822,0.02757853,0.25268778,0.37734414,5.75883463,0.25096364,0.35092220,0.43524200,0.00000000
-2.19409705,6.65284668,0.02607283,0.24723828,0.36433726,5.60195637,0.24902476,0.34694084,0.41717610,0.00000000
-2.18809405,6.47620457,0.02469642,0.24154257,0.35230258,5.44112253,0.24725800,0.34440348,0.39994504,0.00000000
-2.18209105,6.30215375,0.02345280,0.23574553,0.34133187,5.27931962,0.24575177,0.34342893,0.38373793,0.00000000
-2.17608804,6.13384119,0.02234559,0.22998573,0.33150720,5.11942999,0.24458247,0.34408590,0.36873185,0.00000000
-2.17008504,5.97412465,0.02137892,0.22439021,0.32289975,4.96415718,0.24381104,0.34638975,0.35508911,0.00000000
-2.16408204,5.82550041,0.02055766,0.21906985,0.31556868,4.81595942,0.24348004,0.35030153,0.34295453,0.00000000
-2.15807904,5.69004654,0.01988762,0.21411552,0.30956025,4.67699403,0.24361144,0.35572911,0.33245309,0.00000000
