energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
1.94197099,4.41628997,0.10450244,1.32432665,2.13261332,1.94885132,0.48689616,0.00000000,0.17700157,0.45121557
1.94797399,4.61412092,0.10921232,1.37693398,2.25283587,2.03810922,0.51462123,0.00000000,0.18589989,0.47196034
1.95397699,4.81231743,0.11350861,1.43048574,2.36847381,2.12757342,0.54178645,0.00000000,0.19449515,0.49377144
1.95997999,5.00763382,0.11732388,1.48399070,2.47782455,2.21572604,0.56808392,0.00000000,0.20265661,0.51632358
1.96598299,5.19689652,0.12060903,1.53643722,2.57929973,2.30107414,0.59324173,0.00000000,0.21026376,0.53928069
1.97198599,5.37710188,0.12333547,1.58682470,2.67147025,2.38219340,0.61703338,0.00000000,0.21721018,0.56230596
1.97798899,5.54550930,0.12549680,1.63419475,2.75310733,2.45777037,0.63928566,0.00000000,0.22340709,0.58507191
1.98399200,5.69972567,0.12710979,1.67766073,2.82321782,2.52664156,0.65988459,0.00000000,0.22878629,0.60727034
1.98999500,5.83777722,0.12821475,1.71643465,2.88107211,2.58782761,0.67877902,0.00000000,0.23330242,0.62862140
1.99599800,5.95816589,0.12887495,1.74985029,2.92622340,2.64056116,0.69598160,0.00000000,0.23693452,0.64888170
2.00200100,6.05990751,0.12917530,1.77738174,2.95851746,2.68430724,0.71156695,0.00000000,0.23968658,0.66785093
2.00800400,6.14255031,0.12922013,1.79865678,2.97809224,2.71877525,0.72566702,0.00000000,0.24158735,0.68537676
2.01400700,6.20617302,0.12913027,1.81346456,2.98536747,2.74392212,0.73846382,0.00000000,0.24268921,0.70135782
2.02001001,6.25136254,0.12903921,1.82175753,2.98102456,2.75994644,0.75017973,0.00000000,0.24306612,0.71574467
2.02601301,6.27917252,0.12908884,1.82364744,2.96597770,2.76727396,0.76106586,0.00000000,0.24281097,0.72853859
2.03201601,6.29106440,0.12942456,1.81939596,2.94133731,2.76653486,0.77138888,0.00000000,0.24203213,0.73978835
2.03801901,6.28883388,0.13019010,1.80940011,2.90836736,2.75853400,0.78141709,0.00000000,0.24084962,0.74958502
2.04402201,6.27452579,0.13152219,1.79417336,2.86843850,2.74421522,0.79140625,0.00000000,0.23939086,0.75805515
2.05002501,6.25034130,0.13354523,1.77432319,2.82297857,2.72462130,0.80158590,0.00000000,0.23778628,0.76535247
2.05602801,6.21854128,0.13636625,1.75052602,2.77342291,2.70085112,0.81214692,0.00000000,0.23616486,0.77164856
2.06203102,6.18135021,0.14007026,1.72350056,2.72116603,2.67401592,0.82323074,0.00000000,0.23464991,0.77712295
2.06803402,6.14086440,0.14471617,1.69398069,2.66751672,2.64519636,0.83492098,0.00000000,0.23335509,0.78195296
2.07403702,6.09896863,0.15033362,1.66268899,2.61365820,2.61540207,0.84723774,0.00000000,0.23238094,0.78630385
2.08004002,6.05726445,0.15692060,1.63031190,2.56061474,2.58553546,0.86013490,0.00000000,0.23181185,0.79031974
2.08604302,6.01701311,0.16444225,1.59747741,2.50922578,2.55636104,0.87350049,0.00000000,0.23171380,0.79411558
2.09204602,5.97909515,0.17283071,1.56473631,2.46012841,2.52848147,0.88716024,0.00000000,0.23213274,0.79777073
2.09804902,5.94398826,0.18198626,1.53254745,2.41374864,2.50232124,0.90088385,0.00000000,0.23309364,0.80132425
