energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
0.78339170,0.74428725,0.17058574,0.01163424,0.00006458,0.43641843,0.33423681,0.04224713,0.00204648,0.21753921
0.78939470,0.67649532,0.15587052,0.01048995,0.00004805,0.39763020,0.30484526,0.03840961,0.00169370,0.19682283
0.79539770,0.61154790,0.14156190,0.00942431,0.00003552,0.36020482,0.27641859,0.03472829,0.00139199,0.17721964
0.80140070,0.54973986,0.12777412,0.00843245,0.00002608,0.32437919,0.24914829,0.03122158,0.00113605,0.15875826
0.80740370,0.49132902,0.11460690,0.00751099,0.00001902,0.29035854,0.22320162,0.02790543,0.00092069,0.14146492
0.81340670,0.43652648,0.10214357,0.00665752,0.00001378,0.25831181,0.19871777,0.02479275,0.00074093,0.12535996
0.81940970,0.38548982,0.09044997,0.00587020,0.00000992,0.22836863,0.17580528,0.02189319,0.00059208,0.11045502
0.82541271,0.33831919,0.07957395,0.00514744,0.00000709,0.20061805,0.15454087,0.01921290,0.00046980,0.09675110
0.83141571,0.29505601,0.06954557,0.00448765,0.00000504,0.17510869,0.13496940,0.01675453,0.00037015,0.08423749
0.83741871,0.25568436,0.06037788,0.00388903,0.00000355,0.15185038,0.11710509,0.01451735,0.00028958,0.07289141
0.84342171,0.22013444,0.05206818,0.00334949,0.00000249,0.13081702,0.10093364,0.01249749,0.00022494,0.06267834
0.84942471,0.18828785,0.04459966,0.00286657,0.00000173,0.11195036,0.08641516,0.01068824,0.00017350,0.05355295
0.85542771,0.15998421,0.03794338,0.00243745,0.00000120,0.09516453,0.07348772,0.00908049,0.00013287,0.04546048
0.86143072,0.13502864,0.03206037,0.00205897,0.00000082,0.08035097,0.06207113,0.00766313,0.00010103,0.03833843
0.86743372,0.11319968,0.02690378,0.00172769,0.00000056,0.06738358,0.05207103,0.00642354,0.00007628,0.03211836
0.87343672,0.09425723,0.02242109,0.00143997,0.00000038,0.05612376,0.04338285,0.00534803,0.00005718,0.02672791
0.87943972,0.07795019,0.01855609,0.00119203,0.00000026,0.04642528,0.03589560,0.00442229,0.00004256,0.02209265
0.88544272,0.06402345,0.01525080,0.00098007,0.00000017,0.03813871,0.02949536,0.00363179,0.00003145,0.01813785
0.89144572,0.05222420,0.01244708,0.00080032,0.00000012,0.03111525,0.02406835,0.00296212,0.00002308,0.01479008
0.89744872,0.04230715,0.01008803,0.00064914,0.00000008,0.02521012,0.01950354,0.00239933,0.00001681,0.01197858
0.90345173,0.03403890,0.00811914,0.00052305,0.00000005,0.02028519,0.01569478,0.00193013,0.00001216,0.00963636
0.90945473,0.02720118,0.00648916,0.00041881,0.00000004,0.01621107,0.01254244,0.00154210,0.00000874,0.00770108
0.91545773,0.02159329,0.00515070,0.00033345,0.00000003,0.01286855,0.00995450,0.00122380,0.00000624,0.00611562
0.92146073,0.01703354,0.00406067,0.00026430,0.00000003,0.01014956,0.00784740,0.00096491,0.00000443,0.00482850
0.92746373,0.01336000,0.00318046,0.00020900,0.00000004,0.00795764,0.00614630,0.00075617,0.00000314,0.00379410
0.93346673,0.01043069,0.00247596,0.00016552,0.00000006,0.00620807,0.00478521,0.00058949,0.00000223,0.00297264
0.93946973,0.00812322,0.00191752,0.00013217,0.00000008,0.00482761,0.00370678,0.00045783,0.00000160,0.00233020
0.94547274,0.00633415,0.00147973,0.00010761,0.00000013,0.00375418,0.00286194,0.00035526,0.00000119,0.00183853
0.95147574,0.00497819,0.00114121,0.00009085,0.00000019,0.00293630,0.00220941,0.00027679,0.00000096,0.00147491
0.95747874,0.00398729,0.00088428,0.00008124,0.00000029,0.00233253,0.00171520,0.00021841,0.00000086,0.00122195
0.96348174,0.00330987,0.00069471,0.00007852,0.00000044,0.00191097,0.00135201,0.00017698,0.00000091,0.00106755
0.96948474,0.00291013,0.00056144,0.00008282,0.00000067,0.00164877,0.00109878,0.00015019,0.00000110,0.00100479
0.97548774,0.00276769,0.00047633,0.00009471,0.00000099,0.00153182,0.00094015,0.00013651,0.00000146,0.00103202
0.98149075,0.00287749,0.00043395,0.00011522,0.00000147,0.00155466,0.00086618,0.00013518,0.00000205,0.00115305
0.98749375,0.00325013,0.00043148,0.00014591,0.00000217,0.00172049,0.00087207,0.00014621,0.00000294,0.00137745
0.99349675,0.00391261,0.00046862,0.00018894,0.00000317,0.00204152,0.00095803,0.00017037,0.00000425,0.00172100
0.99949975,0.00490947,0.00054754,0.00024715,0.00000460,0.00253952,0.00112934,0.00020922,0.00000613,0.00220636
1.00550275,0.00630448,0.00067305,0.00032417,0.00000663,0.00324664,0.00139649,0.00026519,0.00000881,0.00286378
1.01150575,0.00818266,0.00085266,0.00042449,0.00000949,0.00420645,0.00177552,0.00034161,0.00001259,0.00373204
1.01750875,0.01065285,0.00109682,0.00055363,0.00001347,0.00547527,0.00228839,0.00044286,0.00001787,0.00485944
1.02351176,0.01385050,0.00141928,0.00071819,0.00001899,0.00712366,0.00296364,0.00057442,0.00002520,0.00630495
1.02951476,0.01794085,0.00183734,0.00092604,0.00002659,0.00923811,0.00383699,0.00074301,0.00003527,0.00813927
1.03551776,0.02312224,0.00237237,0.00118640,0.00003695,0.01192278,0.00495212,0.00095672,0.00004901,0.01044606
1.04152076,0.02962948,0.00305022,0.00150991,0.00005098,0.01530134,0.00636146,0.00122515,0.00006762,0.01332294
1.04752376,0.03773703,0.00390173,0.00190879,0.00006984,0.01951868,0.00812701,0.00155949,0.00009264,0.01688236
1.05352676,0.04776191,0.00496326,0.00239678,0.00009498,0.02474246,0.01032107,0.00197264,0.00012599,0.02125232
1.05952976,0.06006598,0.00627718,0.00298922,0.00012825,0.03116432,0.01302696,0.00247929,0.00017012,0.02657659
1.06553277,0.07505743,0.00789240,0.00370297,0.00017193,0.03900066,0.01633945,0.00309596,0.00022806,0.03301461
1.07153577,0.09319103,0.00986473,0.00455629,0.00022882,0.04849270,0.02036511,0.00384096,0.00030353,0.04074073
1.07753877,0.11496707,0.01225727,0.00556865,0.00030237,0.05990579,0.02522218,0.00473433,0.00040108,0.04994284
1.08354177,0.14092846,0.01514055,0.00676045,0.00039667,0.07352769,0.03104019,0.00579767,0.00052618,0.06082024
1.08954477,0.17165586,0.01859262,0.00815267,0.00051666,0.08966568,0.03795898,0.00705392,0.00068534,0.07358062
1.09554777,0.20776045,0.02269878,0.00976641,0.00066811,0.10864234,0.04612726,0.00852696,0.00088623,0.08843626
1.10155078,0.24987431,0.02755116,0.01162237,0.00085774,0.13078990,0.05570048,0.01024122,0.00113778,0.10559922
1.10755378,0.29863800,0.03324795,0.01374018,0.00109330,0.15644308,0.06683806,0.01222109,0.00145024,0.12527573
1.11355678,0.35468566,0.03989222,0.01613777,0.00138353,0.18593034,0.07969992,0.01449023,0.00183523,0.14765972
1.11955978,0.41862736,0.04759046,0.01883057,0.00173824,0.21956368,0.09444226,0.01707086,0.00230574,0.17292573
1.12556278,0.49102915,0.05645057,0.02183077,0.00216821,0.25762708,0.11121272,0.01998283,0.00287609,0.20122126
1.13156578,0.57239106,0.06657949,0.02514654,0.00268511,0.30036384,0.13014486,0.02324273,0.00356174,0.23265888
1.13756878,0.66312361,0.07808035,0.02878126,0.00330136,0.34796305,0.15135221,0.02686292,0.00437919,0.26730834
1.14357179,0.76352346,0.09104918,0.03273290,0.00402990,0.40054578,0.17492192,0.03085054,0.00534558,0.30518904
1.14957479,0.87374914,0.10557121,0.03699338,0.00488388,0.45815140,0.20090829,0.03520654,0.00647837,0.34626316
1.15557779,0.99379766,0.12171687,0.04154817,0.00587633,0.52072461,0.22932638,0.03992484,0.00779483,0.39042994
1.16158079,1.12348324,0.13953748,0.04637604,0.00701968,0.58810396,0.26014605,0.04499156,0.00931146,0.43752134
1.16758379,1.26241915,0.15906086,0.05144901,0.00832527,0.66001243,0.29328659,0.05038444,0.01104330,0.48729960
1.17358679,1.41000391,0.18028691,0.05673251,0.00980278,0.73605086,0.32861238,0.05607246,0.01300319,0.53945687
1.17958979,1.56541296,0.20318342,0.06218587,0.01145962,0.81569482,0.36592991,0.06201580,0.01520095,0.59361731
1.18559280,1.72759676,0.22768216,0.06776297,0.01330030,0.89829559,0.40498637,0.06816599,0.01764257,0.64934175
1.19159580,1.89528623,0.25367569,0.07341319,0.01532577,0.98308562,0.44547008,0.07446648,0.02032932,0.70613496
1.19759880,2.06700610,0.28101486,0.07908262,0.01753289,1.06918881,0.48701307,0.08085351,0.02325701,0.76345564
1.20360180,2.24109648,0.30950740,0.08471541,0.01991381,1.15563571,0.52919582,0.08725732,0.02641526,0.82072872
1.20960480,2.41574267,0.33891768,0.09025530,0.02245564,1.24138351,0.57155431,0.09360375,0.02978694,0.87735991
1.21560780,2.58901273,0.36896793,0.09564733,0.02514008,1.32534040,0.61358914,0.09981598,0.03334778,0.93275188
1.22161081,2.75890200,0.39934087,0.10083945,0.02794330,1.40639369,0.65477680,0.10581671,0.03706620,0.98632161
1.22761381,2.92338332,0.42968407,0.10578427,0.03083605,1.48344079,0.69458253,0.11153034,0.04090337,1.03751822
1.23361681,3.08046134,0.45961579,0.11044056,0.03378390,1.55542196,0.73247454,0.11688527,0.04481363,1.08584056
1.23961981,3.22822892,0.48873242,0.11477466,0.03674776,1.62135360,0.76793905,0.12181629,0.04874513,1.13085376
1.24562281,3.36492356,0.51661727,0.11876162,0.03968459,1.68036050,0.80049551,0.12626668,0.05264077,1.17220394
1.25162581,3.48898119,0.54285054,0.12238602,0.04254838,1.73170590,0.82971144,0.13019024,0.05643952,1.20963038
1.25762881,3.59908530,0.56702009,0.12564248,0.04529123,1.77481760,0.85521621,0.13355290,0.06007785,1.24297441
1.26363182,3.69420869,0.58873270,0.12853564,0.04786468,1.80930907,0.87671308,0.13633403,0.06349149,1.27218445
1.26963482,3.77364608,0.60762539,0.13107986,0.05022111,1.83499432,0.89398903,0.13852713,0.06661723,1.29731687
1.27563782,3.83703563,0.62337626,0.13329842,0.05231514,1.85189560,0.90692166,0.14014013,0.06939492,1.31853236
1.28164082,3.88436805,0.63571451,0.13522231,0.05410513,1.86024354,0.91548309,0.14119501,0.07176930,1.33608788
1.28764382,3.91598286,0.64442908,0.13688868,0.05555454,1.86046939,0.91974023,0.14172694,0.07369191,1.35032440
1.29364682,3.93255129,0.64937558,0.13833900,0.05663314,1.85318966,0.91985179,0.14178286,0.07512265,1.36165079
1.29964982,3.93504680,0.65048112,0.13961693,0.05731810,1.83918371,0.91606166,0.14141958,0.07603123,1.37052466
1.30565283,3.92470413,0.64774687,0.14076616,0.05759475,1.81936516,0.90868940,0.14070149,0.07639820,1.37743095
