energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-2.92046023,1.15036541,0.00000472,0.02395777,0.50609757,0.00000000,0.25711188,0.18566733,0.53325016,0.41304764
-2.91445723,1.15716871,0.00000425,0.02360207,0.47780460,0.00000000,0.24933648,0.18982006,0.56046944,0.41855190
-2.90845423,1.16328291,0.00000404,0.02325173,0.44952750,0.00000000,0.24144625,0.19384037,0.58683980,0.42391147
-2.90245123,1.16841126,0.00000408,0.02290626,0.42154904,0.00000000,0.23349458,0.19761997,0.61195143,0.42898994
-2.89644822,1.17223883,0.00000437,0.02256410,0.39412253,0.00000000,0.22552629,0.20104710,0.63540469,0.43365001
-2.89044522,1.17444853,0.00000492,0.02222275,0.36746833,0.00000000,0.21757813,0.20401035,0.65682499,0.43776046
-2.88444222,1.17473896,0.00000574,0.02187895,0.34177182,0.00000000,0.20967987,0.20640286,0.67587800,0.44120358
-2.87843922,1.17284317,0.00000686,0.02152893,0.31718283,0.00000000,0.20185575,0.20812648,0.69228451,0.44388287
-2.87243622,1.16854741,0.00000832,0.02116871,0.29381631,0.00000000,0.19412626,0.20909584,0.70583415,0.44573047
-2.86643322,1.16170859,0.00001015,0.02079443,0.27175419,0.00000000,0.18651002,0.20924206,0.71639720,0.44671396
-2.86043022,1.15226956,0.00001239,0.02040269,0.25104825,0.00000000,0.17902571,0.20851597,0.72393387,0.44684198
-2.85442721,1.14027099,0.00001512,0.01999086,0.23172362,0.00000000,0.17169382,0.20689055,0.72850038,0.44616833
-2.84842421,1.12585928,0.00001837,0.01955739,0.21378280,0.00000000,0.16453810,0.20436259,0.73025145,0.44479426
-2.84242121,1.10928954,0.00002221,0.01910200,0.19720994,0.00000000,0.15758669,0.20095344,0.72943875,0.44286851
-2.83641821,1.09092349,0.00002671,0.01862595,0.18197499,0.00000000,0.15087261,0.19670878,0.72640541,0.44058512
-2.83041521,1.07122204,0.00003193,0.01813206,0.16803771,0.00000000,0.14443386,0.19169735,0.72157639,0.43817883
-2.82441221,1.05073269,0.00003791,0.01762476,0.15535125,0.00000000,0.13831286,0.18600891,0.71544527,0.43591828
-2.81840920,1.03007233,0.00004472,0.01711007,0.14386510,0.00000000,0.13255539,0.17975130,0.70855772,0.43409714
-2.81240620,1.00990611,0.00005239,0.01659546,0.13352756,0.00000000,0.12720907,0.17304682,0.70149250,0.43302354
-2.80640320,0.99092329,0.00006096,0.01608966,0.12428744,0.00000000,0.12232136,0.16602823,0.69484062,0.43300821
-2.80040020,0.97381137,0.00007044,0.01560246,0.11609517,0.00000000,0.11793743,0.15883435,0.68918374,0.43435200
-2.79439720,0.95922969,0.00008082,0.01514441,0.10890330,0.00000000,0.11409770,0.15160564,0.68507268,0.43733315
-2.78839420,0.94778382,0.00009208,0.01472661,0.10266659,0.00000000,0.11083558,0.14447988,0.68300712,0.44219522
-2.78239120,0.94000212,0.00010417,0.01436039,0.09734165,0.00000000,0.10817523,0.13758819,0.68341742,0.44913604
-2.77638819,0.93631562,0.00011701,0.01405712,0.09288638,0.00000000,0.10612965,0.13105149,0.68664941,0.45829851
-2.77038519,0.93704228,0.00013051,0.01382797,0.08925931,0.00000000,0.10469923,0.12497763,0.69295296,0.46976352
-2.76438219,0.94237648,0.00014454,0.01368378,0.08641898,0.00000000,0.10387077,0.11945926,0.70247483,0.48354568
-2.75837919,0.95238427,0.00015895,0.01363499,0.08432338,0.00000000,0.10361715,0.11457239,0.71525615,0.49959188
-2.75237619,0.96700454,0.00017356,0.01369156,0.08292968,0.00000000,0.10389759,0.11037584,0.73123473,0.51778300
-2.74637319,0.98605608,0.00018817,0.01386300,0.08219421,0.00000000,0.10465859,0.10691141,0.75025183,0.53793863
-2.74037019,1.00925013,0.00020258,0.01415844,0.08207263,0.00000000,0.10583549,0.10420470,0.77206340,0.55982463
-2.73436718,1.03620757,0.00021656,0.01458673,0.08252053,0.00000000,0.10735451,0.10226657,0.79635472,0.58316316
