energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
1.52776388,1.73528491,0.03181298,0.11331407,1.50075447,1.23582743,0.02100108,0.29683812,0.16267008,0.00161228
1.53376688,1.77235511,0.03115743,0.11220896,1.53866381,1.27537065,0.01992532,0.30333432,0.16518932,0.00163862
1.53976988,1.80488331,0.03046056,0.11085814,1.57130652,1.31190396,0.01885799,0.30894860,0.16709526,0.00166321
1.54577289,1.83214729,0.02972419,0.10926421,1.59803331,1.34472859,0.01781105,0.31356442,0.16833943,0.00168549
1.55177589,1.85352519,0.02895094,0.10742927,1.61830949,1.37322486,0.01679537,0.31708197,0.16889072,0.00170492
1.55777889,1.86851683,0.02814444,0.10535585,1.63173186,1.39686966,0.01582080,0.31942138,0.16873673,0.00172099
1.56378189,1.87676166,0.02730949,0.10304768,1.63804183,1.41525115,0.01489629,0.32052525,0.16788454,0.00173324
1.56978489,1.87805239,0.02645210,0.10051066,1.63713398,1.42808006,0.01403005,0.32036073,0.16636080,0.00174131
1.57578789,1.87234360,0.02557954,0.09775363,1.62905980,1.43519683,0.01322967,0.31892075,0.16421113,0.00174490
1.58179090,1.85975478,0.02470027,0.09478902,1.61402626,1.43657453,0.01250229,0.31622451,0.16149884,0.00174384
1.58779390,1.84056754,0.02382384,0.09163339,1.59238931,1.43231710,0.01185468,0.31231714,0.15830293,0.00173809
1.59379690,1.81521704,0.02296061,0.08830763,1.56464268,1.42265318,0.01129334,0.30726851,0.15471562,0.00172771
1.59979990,1.78427800,0.02212153,0.08483704,1.53140225,1.40792571,0.01082454,0.30117128,0.15083932,0.00171290
1.60580290,1.74844585,0.02131779,0.08125111,1.49338696,1.38857780,0.01045424,0.29413823,0.14678322,0.00169398
1.61180590,1.70851388,0.02056043,0.07758305,1.45139682,1.36513562,0.01018807,0.28629904,0.14265970,0.00167138
1.61780890,1.66534742,0.01985996,0.07386911,1.40628923,1.33818888,0.01003112,0.27779662,0.13858057,0.00164563
1.62381191,1.61985605,0.01922593,0.07014780,1.35895433,1.30837012,0.00998783,0.26878312,0.13465346,0.00161733
1.62981491,1.57296523,0.01866656,0.06645891,1.31029055,1.27633333,0.01006167,0.25941587,0.13097828,0.00158715
1.63581791,1.52558835,0.01818840,0.06284244,1.26118109,1.24273313,0.01025495,0.24985336,0.12764409,0.00155579
1.64182091,1.47860027,0.01779602,0.05933757,1.21247222,1.20820514,0.01056850,0.24025130,0.12472634,0.00152398
1.64782391,1.43281342,0.01749176,0.05598160,1.16495401,1.17334826,0.01100142,0.23075911,0.12228467,0.00149243
1.65382691,1.38895710,0.01727562,0.05280898,1.11934391,1.13870956,0.01155083,0.22151671,0.12036128,0.00146184
1.65982991,1.34766071,0.01714515,0.04985044,1.07627353,1.10477207,0.01221164,0.21265184,0.11897991,0.00143287
1.66583292,1.30944106,0.01709548,0.04713226,1.03627879,1.07194569,0.01297643,0.20427781,0.11814551,0.00140610
1.67183592,1.27469423,0.01711942,0.04467575,0.99979332,1.04056148,0.01383535,0.19649190,0.11784452,0.00138206
1.67783892,1.24369166,0.01720765,0.04249682,0.96714508,1.01086904,0.01477615,0.18937413,0.11804585,0.00136119
1.68384192,1.21658050,0.01734897,0.04060582,0.93855594,0.98303696,0.01578425,0.18298659,0.11870233,0.00134383
1.68984492,1.19338783,0.01753063,0.03900753,0.91414390,0.95715591,0.01684298,0.17737324,0.11975274,0.00133022
1.69584792,1.17402833,0.01773873,0.03770131,0.89392762,0.93324419,0.01793389,0.17256004,0.12112430,0.00132052
