energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.48374187,0.36785529,0.00255273,0.01619219,0.10078730,0.01239824,0.04386388,0.08096937,0.28042333,0.13303119
5.48974487,0.33502340,0.00211714,0.01495211,0.08966411,0.01137096,0.04022633,0.07435184,0.25646749,0.12156613
5.49574787,0.30346970,0.00174663,0.01371213,0.07946326,0.01036574,0.03666453,0.06785308,0.23319957,0.11045475
5.50175088,0.27334934,0.00143364,0.01248799,0.07014055,0.00939090,0.03320937,0.06153146,0.21078075,0.09976918
5.50775388,0.24479934,0.00117096,0.01129397,0.06165149,0.00845400,0.02988862,0.05544018,0.18935619,0.08957427
5.51375688,0.21793417,0.00095191,0.01014267,0.05395153,0.00756165,0.02672634,0.04962587,0.16905092,0.07992570
5.51975988,0.19284256,0.00077034,0.00904476,0.04699631,0.00671936,0.02374233,0.04412753,0.14996685,0.07086855
5.52576288,0.16958540,0.00062071,0.00800884,0.04074162,0.00593142,0.02095193,0.03897591,0.13218084,0.06243643
5.53176588,0.14819488,0.00049809,0.00704144,0.03514347,0.00520088,0.01836589,0.03419317,0.11574397,0.05465110
5.53776888,0.12867488,0.00039813,0.00614702,0.03015805,0.00452953,0.01599046,0.02979302,0.10068175,0.04752257
5.54377189,0.11100233,0.00031707,0.00532810,0.02574186,0.00391800,0.01382765,0.02578108,0.08699538,0.04104968
5.54977489,0.09512957,0.00025164,0.00458544,0.02185176,0.00336582,0.01187557,0.02215550,0.07466377,0.03522103
5.55577789,0.08098738,0.00019911,0.00391819,0.01844518,0.00287153,0.01012890,0.01890786,0.06364615,0.03001617
5.56178089,0.06848855,0.00015713,0.00332417,0.01548036,0.00243287,0.00857942,0.01602411,0.05388514,0.02540702
5.56778389,0.05753170,0.00012378,0.00280010,0.01291663,0.00204692,0.00721657,0.01348567,0.04531007,0.02135946
5.57378689,0.04800526,0.00009746,0.00234184,0.01071473,0.00171023,0.00602802,0.01127046,0.03784038,0.01783482
5.57978989,0.03979136,0.00007688,0.00194463,0.00883719,0.00141901,0.00500023,0.00935399,0.03138889,0.01479147
5.58579290,0.03276949,0.00006102,0.00160333,0.00724859,0.00116927,0.00411893,0.00771036,0.02586502,0.01218626
5.59179590,0.02681986,0.00004906,0.00131261,0.00591595,0.00095694,0.00336964,0.00631313,0.02117755,0.00997587
5.59779890,0.02182635,0.00004042,0.00106710,0.00480900,0.00077800,0.00273803,0.00513614,0.01723720,0.00811790
5.60380190,0.01767908,0.00003467,0.00086157,0.00390047,0.00062856,0.00221024,0.00415415,0.01395878,0.00657197
5.60980490,0.01427649,0.00003160,0.00069104,0.00316629,0.00050496,0.00177322,0.00334341,0.01126292,0.00530044
5.61580790,0.01152712,0.00003112,0.00055084,0.00258591,0.00040382,0.00141484,0.00268207,0.00907756,0.00426914
5.62181091,0.00935090,0.00003334,0.00043671,0.00214238,0.00032207,0.00112410,0.00215049,0.00733904,0.00344785
5.62781391,0.00768027,0.00003855,0.00034480,0.00182268,0.00025701,0.00089121,0.00173151,0.00599295,0.00281068
5.63381691,0.00646104,0.00004722,0.00027173,0.00161786,0.00020630,0.00070759,0.00141057,0.00499483,0.00233638
5.63981991,0.00565305,0.00006005,0.00021456,0.00152328,0.00016798,0.00056594,0.00117581,0.00431062,0.00200857
5.64582291,0.00523082,0.00007800,0.00017081,0.00153890,0.00014048,0.00046020,0.00101813,0.00391711,0.00181588
5.65182591,0.00518412,0.00010228,0.00013843,0.00166958,0.00012258,0.00038551,0.00093124,0.00380230,0.00175213
5.65782891,0.00551857,0.00013446,0.00011577,0.00192540,0.00011345,0.00033816,0.00091164,0.00396573,0.00181647
5.66383192,0.00625629,0.00017646,0.00010157,0.00232205,0.00011261,0.00031556,0.00095866,0.00441887,0.00201354
5.66983492,0.00743652,0.00023065,0.00009494,0.00288126,0.00011995,0.00031617,0.00107443,0.00518550,0.00235361
5.67583792,0.00911637,0.00029982,0.00009532,0.00363117,0.00013569,0.00033947,0.00126396,0.00630210,0.00285276
5.68184092,0.01137140,0.00038732,0.00010245,0.00460677,0.00016039,0.00038588,0.00153508,0.00781821,0.00353303
5.68784392,0.01429622,0.00049702,0.00011635,0.00585024,0.00019493,0.00045672,0.00189850,0.00979673,0.00442255
5.69384692,0.01800476,0.00063341,0.00013733,0.00741119,0.00024053,0.00055418,0.00236775,0.01231412,0.00555558
5.69984992,0.02263034,0.00080157,0.00016591,0.00934674,0.00029872,0.00068126,0.00295913,0.01546027,0.00697251
5.70585293,0.02832512,0.00100719,0.00020285,0.01172149,0.00037129,0.00084170,0.00369161,0.01933819,0.00871967
