energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-5.18959480,0.69496419,0.08629419,0.53430761,0.00493460,0.00004040,0.00422666,0.05879661
-5.18359180,0.79693432,0.09885957,0.61282022,0.00563489,0.00004662,0.00483258,0.06738075
-5.17758879,0.90741675,0.11245561,0.69790881,0.00638902,0.00005340,0.00548645,0.07667354
-5.17158579,1.02592459,0.12701910,0.78920228,0.00719283,0.00006074,0.00618495,0.08663269
-5.16558279,1.15172488,0.14245663,0.88613989,0.00804051,0.00006860,0.00692335,0.09719530
-5.15957979,1.28382857,0.15864350,0.98796333,0.00892456,0.00007692,0.00769543,0.10827707
-5.15357679,1.42098894,0.17542366,1.09371535,0.00983585,0.00008564,0.00849356,0.11977232
-5.14757379,1.56170940,0.19261079,1.20224553,0.01076370,0.00009466,0.00930870,0.13155463
-5.14157079,1.70426153,0.20999064,1.31222401,0.01169604,0.00010389,0.01013063,0.14347853
-5.13556778,1.84671356,0.22732466,1.42216330,0.01261969,0.00011321,0.01094805,0.15538194
-5.12956478,1.98696923,0.24435482,1.53044795,0.01352061,0.00012248,0.01174893,0.16708951
-5.12356178,2.12281612,0.26080962,1.63537176,0.01438431,0.00013157,0.01252074,0.17841678
-5.11755878,2.25198227,0.27641101,1.73518124,0.01519624,0.00014033,0.01325086,0.18917504
-5.11155578,2.37219917,0.29088210,1.82812415,0.01594228,0.00014861,0.01392697,0.19917662
-5.10555278,2.48126897,0.30395530,1.91250122,0.01660915,0.00015627,0.01453746,0.20824065
-5.09954977,2.57713316,0.31538060,1.98671915,0.01718493,0.00016315,0.01507184,0.21619886
-5.09354677,2.65793988,0.32493360,2.04934260,0.01765951,0.00016913,0.01552119,0.22290130
-5.08754377,2.72210704,0.33242302,2.09914289,0.01802498,0.00017410,0.01587849,0.22822163
-5.08154077,2.76837827,0.33769726,2.13514130,0.01827605,0.00017796,0.01613904,0.23206190
-5.07553777,2.79586913,0.34064973,2.15664492,0.01841025,0.00018063,0.01630069,0.23435648
-5.06953477,2.80410150,0.34122272,2.16327333,0.01842825,0.00018207,0.01636407,0.23507488
-5.06353177,2.79302434,0.33940962,2.15497480,0.01833388,0.00018226,0.01633273,0.23422364
