energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-4.76938469,6.03917490,0.06662254,0.36909687,0.20356181,3.96179819,2.48697996,0.03803124,3.26304866
-4.76338169,5.77222217,0.06119440,0.35786506,0.18799683,3.75629445,2.41457573,0.03583846,3.09219003
-4.75737869,5.52304407,0.05610934,0.34724064,0.17398000,3.56089579,2.34984816,0.03374034,2.93147460
-4.75137569,5.29256684,0.05142637,0.33726629,0.16151311,3.37630549,2.29283389,0.03174880,2.78155620
-4.74537269,5.08124908,0.04719560,0.32796180,0.15056836,3.20295579,2.24335908,0.02987273,2.64283923
-4.73936968,4.88911576,0.04345847,0.31932581,0.14109323,3.04102265,2.20105969,0.02811811,2.51549388
-4.73336668,4.71580322,0.04024822,0.31133818,0.13301575,2.89044611,2.16540751,0.02648812,2.39947664
-4.72736368,4.56061288,0.03759039,0.30396284,0.12624992,2.75095547,2.13574070,0.02498338,2.29455494
-4.72136068,4.42257151,0.03550353,0.29715121,0.12070100,2.62209844,2.11129761,0.02360216,2.20033508
-4.71535768,4.30049543,0.03399981,0.29084583,0.11627052,2.50327332,2.09125242,0.02234070,2.11629194
-4.70935468,4.19305601,0.03308563,0.28498431,0.11286075,2.39376302,2.07475122,0.02119354,2.04179969
-4.70335168,4.09884407,0.03276209,0.27950319,0.11037848,2.29277001,2.06094703,0.02015382,1.97616200
-4.69734867,4.01643058,0.03302535,0.27434179,0.10873807,2.19945078,2.04903241,0.01921367,1.91864090
-4.69134567,3.94442154,0.03386688,0.26944576,0.10786355,2.11294894,2.03826848,0.01836456,1.86848318
-4.68534267,3.88150517,0.03527345,0.26477019,0.10768985,2.03242568,2.02800920,0.01759764,1.82494360
-4.67933967,3.82649002,0.03722707,0.26028220,0.10816318,1.95708685,2.01772018,0.01690406,1.78730419
-4.67333667,3.77833286,0.03970474,0.25596293,0.10924055,1.88620561,2.00699161,0.01627529,1.75488934
-4.66733367,3.73615618,0.04267818,0.25180872,0.11088852,1.81914040,1.99554486,0.01570341,1.72707632
-4.66133067,3.69925513,0.04611349,0.24783154,0.11308144,1.75534747,1.98323301,0.01518130,1.70330149
