energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.78989495,1.63891053,-1.44864440,0.53120043,-0.52720408,0.59266169,-0.50266049,0.23180362,-0.21488949,0.00000000,-0.00000000,0.00236460,-0.00221589,0.48941088,-0.44489565,0.02599817,-0.02083821,0.39949658,-0.34254390
-5.78389195,1.66579009,-1.48796890,0.52339214,-0.52977189,0.60260024,-0.51947775,0.23183038,-0.21377118,0.00000000,-0.00000000,0.00257095,-0.00231436,0.49270768,-0.45714596,0.02853390,-0.02282880,0.41042137,-0.35259859
-5.77788894,1.68917915,-1.52968343,0.51412408,-0.53179444,0.61031896,-0.53634591,0.23193193,-0.21378140,0.00000000,-0.00000000,0.00281712,-0.00245622,0.49388295,-0.46875175,0.03122345,-0.02504503,0.42147251,-0.36435417
-5.77188594,1.70816866,-1.57241045,0.50334028,-0.53290876,0.61552203,-0.55277043,0.23191497,-0.21471337,0.00000000,-0.00000000,0.00310289,-0.00264140,0.49279887,-0.47931096,0.03403414,-0.02746563,0.43232889,-0.37748953
-5.76588294,1.72198581,-1.61476739,0.49103742,-0.53279300,0.61797522,-0.56826294,0.23160412,-0.21634588,0.00000000,-0.00000000,0.00342809,-0.00286977,0.48937455,-0.48845118,0.03692962,-0.03006441,0.44268692,-0.39165405
-5.75987994,1.73001158,-1.65540329,0.47726240,-0.53117523,0.61751164,-0.58235450,0.23084754,-0.21845042,0.00000000,-0.00000000,0.00379264,-0.00314113,0.48358589,-0.49583904,0.03987062,-0.03281054,0.45226986,-0.40647767
-5.75387694,1.73179351,-1.69303434,0.46210813,-0.52784025,0.61403533,-0.59460830,0.22952142,-0.22079857,0.00000000,-0.00000000,0.00419648,-0.00345526,0.47546380,-0.50118831,0.04281581,-0.03566907,0.46083630,-0.42158166
-5.74787394,1.72705326,-1.72647726,0.44570799,-0.52263396,0.60752260,-0.60463161,0.22753339,-0.22316919,0.00000000,-0.00000000,0.00463959,-0.00381194,0.46509079,-0.50426639,0.04572281,-0.03860158,0.46818719,-0.43658997
-5.74187094,1.71568880,-1.75467967,0.42822928,-0.51546559,0.59802124,-0.61208639,0.22482451,-0.22535524,0.00000000,-0.00000000,0.00512196,-0.00421093,0.45259623,-0.50489892,0.04854936,-0.04156702,0.47417145,-0.45114057
-5.73586793,1.69777146,-1.77674628,0.40986585,-0.50630749,0.58564742,-0.61669827,0.22137004,-0.22717009,0.00000000,-0.00000000,0.00564350,-0.00465200,0.43815054,-0.50297266,0.05125447,-0.04452269,0.47868960,-0.46489648
-5.72986493,1.67353774,-1.79196033,0.39083055,-0.49519289,0.57058064,-0.61826356,0.21717878,-0.22845282,0.00000000,-0.00000000,0.00620403,-0.00513486,0.42195856,-0.49843644,0.05379966,-0.04742531,0.48169551,-0.47755589
-5.72386193,1.64337650,-1.79979933,0.37134753,-0.48221168,0.55305682,-0.61665407,0.21229106,-0.22907262,0.00000000,-0.00000000,0.00680311,-0.00565910,0.40425231,-0.49130020,0.05615008,-0.05023229,0.48319604,-0.48886116
-5.71785893,1.60781186,-1.79994469,0.35164488,-0.46750458,0.53335984,-0.61181947,0.20677567,-0.22893187,0.00000000,-0.00000000,0.00744002,-0.00622422,0.38528350,-0.48163240,0.05827563,-0.05290285,0.48324862,-0.49860601
-5.71185593,1.56748240,-1.79228489,0.33194780,-0.45125591,0.51181197,-0.60378722,0.20072570,-0.22796795,0.00000000,-0.00000000,0.00811361,-0.00682943,0.36531603,-0.46955577,0.06015180,-0.05539929,0.48195689,-0.50664082
-5.70585293,1.52311760,-1.77691200,0.31247240,-0.43368549,0.48876335,-0.59266003,0.19425352,-0.22615365,0.00000000,-0.00000000,0.00882214,-0.00747367,0.34461871,-0.45524170,0.06176040,-0.05768813,0.47946455,-0.51287561
-5.69984992,1.47551204,-1.75411172,0.29342040,-0.41503979,0.46458114,-0.57861089,0.18748529,-0.22349613,0.00000000,-0.00000000,0.00956325,-0.00815540,0.32345836,-0.43890353,0.06308996,-0.05974104,0.47594763,-0.51728065
-5.69384692,1.42549855,-1.72434732,0.27497471,-0.39558290,0.43963863,-0.56187602,0.18055505,-0.22003467,0.00000000,-0.00000000,0.01033371,-0.00887258,0.30209363,-0.42078894,0.06413593,-0.06153570,0.47160562,-0.51988453
-5.68784392,1.37392095,-1.68823808,0.25729598,-0.37558757,0.41430465,-0.54274597,0.17359879,-0.21583714,0.00000000,-0.00000000,0.01112943,-0.00962250,0.28076947,-0.40117179,0.06490049,-0.06305632,0.46665172,-0.52076983
-5.68184092,1.32160752,-1.64653300,0.24052004,-0.35532656,0.38893378,-0.52155513,0.16674872,-0.21099542,0.00000000,-0.00000000,0.01194528,-0.01040167,0.25971255,-0.38034367,0.06539216,-0.06429399,0.46130273,-0.52006666
-5.67583792,1.26934599,-1.60008095,0.22475635,-0.33506466,0.36385747,-0.49867027,0.16012790,-0.20562016,0.00000000,-0.00000000,0.01277507,-0.01120573,0.23912752,-0.35860553,0.06562503,-0.06524663,0.45576896,-0.51794415
-5.66983492,1.21786085,-1.54979837,0.21008721,-0.31505156,0.33937653,-0.47447844,0.15384564,-0.19983484,0.00000000,-0.00000000,0.01361149,-0.01202935,0.21919426,-0.33625947,0.06561791,-0.06591877,0.45024472,-0.51460060
-5.66383192,1.16779387,-1.49663575,0.19656784,-0.29551575,0.31575504,-0.44937475,0.14799355,-0.19376968,0.00000000,-0.00000000,0.01444616,-0.01286617,0.20006606,-0.31360116,0.06539310,-0.06632088,0.44489962,-0.51025245
-5.65782891,1.11968838,-1.44154446,0.18422712,-0.27665952,0.29321584,-0.42375047,0.14264267,-0.18755558,0.00000000,-0.00000000,0.01526968,-0.01370881,0.18186869,-0.29091299,0.06497520,-0.06646863,0.43987137,-0.50512297
-5.65182591,1.07397781,-1.38544495,0.17306898,-0.25865524,0.27193774,-0.39798192,0.13784154,-0.18131833,0.00000000,-0.00000000,0.01607173,-0.01454884,0.16470033,-0.26845805,0.06438982,-0.06638181,0.43526013,-0.49943092
-5.64582291,1.03097887,-1.32919789,0.16307443,-0.24164283,0.25205432,-0.37242057,0.13361542,-0.17517343,0.00000000,-0.00000000,0.01684129,-0.01537684,0.14863219,-0.24647524,0.06366225,-0.06608317,0.43112492,-0.49337998
-5.63981991,0.99088953,-1.27357916,0.15420398,-0.22572848,0.23365436,-0.34738462,0.12996648,-0.16922165,0.00000000,-0.00000000,0.01756680,-0.01618258,0.13370987,-0.22517547,0.06281631,-0.06559713,0.42748213,-0.48714941
-5.63381691,0.95379183,-1.21925970,0.14640058,-0.21098462,0.21678376,-0.32315232,0.12687509,-0.16354562,0.00000000,-0.00000000,0.01823650,-0.01695511,0.11995520,-0.20473898,0.06187336,-0.06494851,0.42430622,-0.48088638
-5.62781391,0.91965922,-1.16679093,0.13959284,-0.19745094,0.20144871,-0.29995720,0.12430198,-0.15820748,0.00000000,-0.00000000,0.01883868,-0.01768302,0.10736853,-0.18531382,0.06085141,-0.06416132,0.42153268,-0.47470042
-5.62181091,0.88836814,-1.11659617,0.13369857,-0.18513643,0.18762008,-0.27798534,0.12219120,-0.15324767,0.00000000,-0.00000000,0.01936207,-0.01835469,0.09593141,-0.16701546,0.05976464,-0.06325768,0.41906304,-0.46866025
-5.61580790,0.85971330,-1.06896819,0.12862859,-0.17402242,0.17523857,-0.25737459,0.12047371,-0.14868494,0.00000000,-0.00000000,0.01979615,-0.01895857,0.08560938,-0.14992737,0.05862308,-0.06225694,0.41677174,-0.46279308
-5.60980490,0.83342586,-1.02407280,0.12429054,-0.16406627,0.16422059,-0.23821559,0.11907145,-0.14451736,0.00000000,-0.00000000,0.02013151,-0.01948355,0.07635494,-0.13410252,0.05743264,-0.06117499,0.41451453,-0.45708643
-5.60380190,0.80919378,-0.98195803,0.12059282,-0.15520567,0.15446452,-0.22055458,0.11790169,-0.14072447,0.00000000,-0.00000000,0.02036022,-0.01991926,0.06811054,-0.11956561,0.05619538,-0.06002388,0.41213795,-0.45149237
-5.59779890,0.78668341,-0.94256824,0.11744846,-0.14736351,0.14585705,-0.20439766,0.11688143,-0.13727022,0.00000000,-0.00000000,0.02047604,-0.02025642,0.06081148,-0.10631595,0.05491003,-0.05881172,0.40948959,-0.44593386
-5.59179590,0.76556141,-0.90576232,0.11477878,-0.14045284,0.13827949,-0.18971614,0.11593170,-0.13410655,0.00000000,-0.00000000,0.02047479,-0.02048717,0.05438865,-0.09433078,0.05357269,-0.05754283,0.40642841,-0.44031288
-5.58579290,0.74551585,-0.87133494,0.11251676,-0.13438209,0.13161368,-0.17645283,0.11498161,-0.13117756,0.00000000,-0.00000000,0.02035441,-0.02060535,0.04877110,-0.08356887,0.05217772,-0.05621816,0.40283480,-0.43451985
-5.57978989,0.72627588,-0.83903961,0.11061011,-0.12906010,0.12574743,-0.16452883,0.11397191,-0.12842375,0.00000000,-0.00000000,0.02011517,-0.02060677,0.04388830,-0.07397425,0.05071863,-0.05483587,0.39861983,-0.42844381
-5.57378689,0.70762881,-0.80861255,0.10902365,-0.12440096,0.12057919,-0.15385052,0.11285797,-0.12578646,0.00000000,-0.00000000,0.01975968,-0.02048935,0.03967216,-0.06547996,0.04918910,-0.05339216,0.39373313,-0.42198287
-5.56778389,0.68943403,-0.77979598,0.10774129,-0.12032846,0.11602193,-0.14431641,0.11161209,-0.12321199,0.00000000,-0.00000000,0.01929282,-0.02025329,0.03605861,-0.05801166,0.04758384,-0.05188211,0.38816915,-0.41505434
-5.56178089,0.67163318,-0.75235976,0.10676714,-0.11677993,0.11200606,-0.13582360,0.11022498,-0.12065537,0.00000000,-0.00000000,0.01872166,-0.01990108,0.03298895,-0.05149096,0.04589943,-0.05030063,0.38197141,-0.40760384
-5.55577789,0.65425603,-0.72612056,0.10612588,-0.11370948,0.10848134,-0.12827363,0.10870646,-0.11808362,0.00000000,-0.00000000,0.01805521,-0.01943745,0.03041077,-0.04583846,0.04413494,-0.04864336,0.37523446,-0.39961323
-5.54977489,0.63742201,-0.70095744,0.10586242,-0.11109034,0.10541773,-0.12157735,0.10708533,-0.11547820,0.00000000,-0.00000000,0.01730422,-0.01886932,0.02827851,-0.04097634,0.04229247,-0.04690749,0.36810347,-0.39110662
-5.54377189,0.62133719,-0.67682338,0.10604051,-0.10891649,0.10280525,-0.11565895,0.10540834,-0.11283679,0.00000000,-0.00000000,0.01648081,-0.01820552,0.02655369,-0.03683054,0.04037738,-0.04509241,0.36077148,-0.38215433
