energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-1.58179090,2.94544597,0.37110987,0.37365700,0.04154142,0.16615431,0.27980138,1.82598464,0.07315161,0.16667045
-1.57578789,2.96603104,0.37184677,0.37760690,0.04086297,0.16928099,0.28511989,1.82816426,0.07431983,0.17342547
-1.56978489,2.98186852,0.37195072,0.38089259,0.04020041,0.17202934,0.29036029,1.82767101,0.07530216,0.17998218
-1.56378189,2.99224064,0.37152300,0.38349166,0.03959258,0.17437723,0.29545556,1.82395628,0.07607510,0.18624127
-1.55777889,2.99659270,0.37068047,0.38540170,0.03907812,0.17631462,0.30033987,1.81656967,0.07662106,0.19211269
-1.55177589,2.99455651,0.36955467,0.38664204,0.03869457,0.17784463,0.30494979,1.80517571,0.07692908,0.19751830
-1.54577289,2.98596846,0.36829058,0.38725479,0.03847744,0.17898417,0.30922553,1.78956725,0.07699549,0.20239405
-1.53976988,2.97088070,0.36704499,0.38730507,0.03845937,0.17976411,0.31311246,1.76967470,0.07682420,0.20669184
-1.53376688,2.94956461,0.36598425,0.38688037,0.03866919,0.18022892,0.31656245,1.74557051,0.07642682,0.21038078
-1.52776388,2.92250568,0.36528139,0.38608874,0.03913111,0.18043565,0.31953534,1.71746843,0.07582247,0.21344784
-1.52176088,2.89038957,0.36511248,0.38505600,0.03986387,0.18045230,0.32200005,1.68571735,0.07503728,0.21589789
-1.51575788,2.85407949,0.36565230,0.38392177,0.04087999,0.18035563,0.32393556,1.65078981,0.07410359,0.21775307
-1.50975488,2.81458548,0.36706921,0.38283461,0.04218512,0.18022837,0.32533151,1.61326554,0.07305895,0.21905143
-1.50375188,2.77302669,0.36951962,0.38194628,0.04377743,0.18015602,0.32618834,1.57381053,0.07194481,0.21984506
-1.49774887,2.73058825,0.37314187,0.38140547,0.04564720,0.18022336,0.32651710,1.53315255,0.07080505,0.22019766
-1.49174587,2.68847453,0.37805017,0.38135113,0.04777656,0.18051082,0.32633872,1.49205422,0.06968445,0.22018161
-1.48574287,2.64786097,0.38432856,0.38190589,0.05013941,0.18109078,0.32568290,1.45128470,0.06862698,0.21987486
-1.47973987,2.60984677,0.39202541,0.38316983,0.05270162,0.18202428,0.32458664,1.41159139,0.06767421,0.21935760
-1.47373687,2.57541086,0.40114875,0.38521486,0.05542146,0.18335795,0.32309246,1.37367291,0.06686378,0.21870895
-1.46773387,2.54537311,0.41166266,0.38808022,0.05825030,0.18512164,0.32124644,1.33815460,0.06622804,0.21800381
-1.46173087,2.52036308,0.42348522,0.39176923,0.06113362,0.18732674,0.31909626,1.30556765,0.06579286,0.21731004
-1.45572786,2.50079763,0.43648801,0.39624759,0.06401228,0.18996530,0.31668923,1.27633289,0.06557679,0.21668615
-1.44972486,2.48686870,0.45049752,0.40144332,0.06682401,0.19301012,0.31407059,1.25074988,0.06559051,0.21617944
-1.44372186,2.47854192,0.46529845,0.40724848,0.06950511,0.19641574,0.31128212,1.22899169,0.06583659,0.21582497
-1.43771886,2.47556609,0.48063890,0.41352250,0.07199238,0.20012028,0.30836118,1.21110568,0.06630967,0.21564515
-1.43171586,2.47749306,0.49623734,0.42009725,0.07422501,0.20404821,0.30534024,1.19702001,0.06699694,0.21565009
-1.42571286,2.48370708,0.51179114,0.42678333,0.07614656,0.20811372,0.30224697,1.18655548,0.06787889,0.21583873
-1.41970985,2.49346208,0.52698632,0.43337755,0.07770687,0.21222471,0.29910488,1.17944207,0.06893048,0.21620060
-1.41370685,2.50592498,0.54150821,0.43967117,0.07886378,0.21628715,0.29593441,1.17533910,0.07012237,0.21671810
-1.40770385,2.52022287,0.55505249,0.44545851,0.07958458,0.22020952,0.29275453,1.17385818,0.07142245,0.21736933
-1.40170085,2.53549164,0.56733620,0.45054557,0.07984730,0.22390728,0.28958457,1.17458751,0.07279738,0.21813109
-1.39569785,2.55092369,0.57810820,0.45475819,0.07964141,0.22730701,0.28644625,1.17711637,0.07421422,0.21898207
-1.38969485,2.56581219,0.58715863,0.45794951,0.07896832,0.23035013,0.28336573,1.18105856,0.07564193,0.21990586
-1.38369185,2.57958981,0.59432689,0.46000622,0.07784135,0.23299592,0.28037549,1.18607358,0.07705285,0.22089377
-1.37768884,2.59185991,0.59950786,0.46085347,0.07628525,0.23522382,0.27751584,1.19188450,0.07842392,0.22194719
-1.37168584,2.60241871,0.60265588,0.46045817,0.07433536,0.23703476,0.27483599,1.19829163,0.07973768,0.22307925
-1.36568284,2.61126731,0.60378656,0.45883044,0.07203639,0.23845161,0.27239452,1.20518142,0.08098301,0.22431589
-1.35967984,2.61861298,0.60297609,0.45602341,0.06944082,0.23951857,0.27025906,1.21253007,0.08215556,0.22569594
-1.35367684,2.62485972,0.60035814,0.45213113,0.06660716,0.24029967,0.26850537,1.22040184,0.08325783,0.22727047
-1.34767384,2.63058851,0.59611860,0.44728484,0.06359790,0.24087636,0.26721549,1.22894212,0.08429893,0.22910114
-1.34167084,2.63652826,0.59048818,0.44164784,0.06047748,0.24134431,0.26647536,1.23836578,0.08529400,0.23125783
-1.33566783,2.64351892,0.58373336,0.43540895,0.05731022,0.24180959,0.26637171,1.24894132,0.08626344,0.23381548
-1.32966483,2.65246840,0.57614606,0.42877520,0.05415832,0.24238433,0.26698860,1.26097184,0.08723174,0.23685034
-1.32366183,2.66430562,0.56803240,0.42196373,0.05108001,0.24318211,0.26840356,1.27477369,0.08822624,0.24043584
-1.31765883,2.67993162,0.55970116,0.41519352,0.04812793,0.24431325,0.27068372,1.29065407,0.08927564,0.24463825
-1.31165583,2.70017136,0.55145230,0.40867701,0.04534780,0.24588014,0.27388209,1.30888865,0.09040850,0.24951233
-1.30565283,2.72572815,0.54356622,0.40261229,0.04277731,0.24797284,0.27803409,1.32970042,0.09165173,0.25509721
-1.29964982,2.75714299,0.53629395,0.39717576,0.04044542,0.25066517,0.28315469,1.35324075,0.09302900,0.26141283
-1.29364682,2.79476056,0.52984882,0.39251587,0.03837199,0.25401130,0.28923620,1.37957375,0.09455947,0.26845687
-1.28764382,2.83870330,0.52439994,0.38874798,0.03656766,0.25804311,0.29624690,1.40866447,0.09625647,0.27620263
-1.28164082,2.88885466,0.52006750,0.38595048,0.03503414,0.26276828,0.30413056,1.44037164,0.09812653,0.28459781
-1.27563782,2.94485207,0.51692020,0.38416247,0.03376471,0.26816931,0.31280690,1.47444512,0.10016866,0.29356429
-1.26963482,3.00608982,0.51497476,0.38338277,0.03274499,0.27420337,0.32217299,1.51052815,0.10237384,0.30299898
-1.26363182,3.07173149,0.51419737,0.38357053,0.03195394,0.28080307,0.33210535,1.54816417,0.10472491,0.31277571
-1.25762881,3.14073112,0.51450693,0.38464717,0.03136498,0.28787799,0.34246293,1.58680773,0.10719675,0.32274798
-1.25162581,3.21186219,0.51577994,0.38649962,0.03094725,0.29531709,0.35309052,1.62583903,0.10975673,0.33275264
-1.24562281,3.28375286,0.51785652,0.38898478,0.03066690,0.30299173,0.36382259,1.66458109,0.11236555,0.34261413
-1.23961981,3.35492600,0.52054747,0.39193483,0.03048845,0.31075929,0.37448728,1.70231897,0.11497830,0.35214927
-1.23361681,3.42384224,0.52364182,0.39516333,0.03037604,0.31846724,0.38491048,1.73831993,0.11754578,0.36117225
-1.22761381,3.48894444,0.52691463,0.39847183,0.03029471,0.32595750,0.39491965,1.77185387,0.12001605,0.36949977
-1.22161081,3.54870190,0.53013472,0.40165674,0.03021150,0.33307101,0.40434744,1.80221308,0.12233607,0.37695598
-1.21560780,3.60165275,0.53307197,0.40451619,0.03009639,0.33965232,0.41303488,1.82873079,0.12445351,0.38337712
-1.20960480,3.64644330,0.53550404,0.40685677,0.02992323,0.34555398,0.42083409,1.85079773,0.12631857,0.38861573
-1.20360180,3.68186327,0.53722235,0.40849977,0.02967027,0.35064084,0.42761058,1.86787660,0.12788571,0.39254424
-1.19759880,3.70687600,0.53803716,0.40928683,0.02932071,0.35479383,0.43324499,1.87951383,0.12911535,0.39505783
-1.19159580,3.72064303,0.53778163,0.40908477,0.02886291,0.35791331,0.43763453,1.88534884,0.12997537,0.39607665
-1.18559280,3.72254277,0.53631512,0.40778954,0.02829049,0.35992183,0.44069394,1.88512048,0.13044241,0.39554720
-1.17958979,3.71218300,0.53352539,0.40532910,0.02760220,0.36076621,0.44235628,1.87867104,0.13050283,0.39344301
-1.17358679,3.68940725,0.52933011,0.40166516,0.02680168,0.36041886,0.44257343,1.86594772,0.13015338,0.38976457
-1.16758379,3.65429514,0.52367758,0.39679377,0.02589700,0.35887836,0.44131649,1.84700196,0.12940151,0.38453865
-1.16158079,3.60715704,0.51654676,0.39074481,0.02490015,0.35616920,0.43857606,1.82198664,0.12826521,0.37781702
-1.15557779,3.54852319,0.50794672,0.38358032,0.02382639,0.35234071,0.43436244,1.79115151,0.12677257,0.36967466
-1.14957479,3.47912791,0.49791567,0.37539176,0.02269352,0.34746529,0.42870569,1.75483693,0.12496079,0.36020755
-1.14357179,3.39988915,0.48651946,0.36629643,0.02152116,0.34163585,0.42165561,1.71346604,0.12287496,0.34953014
-1.13756878,3.31188399,0.47384969,0.35643305,0.02032998,0.33496265,0.41328143,1.66753553,0.12056644,0.33777253
-1.13156578,3.21632072,0.46002150,0.34595674,0.01914095,0.32756966,0.40367131,1.61760513,0.11809097,0.32507748
-1.12556278,3.11450805,0.44517095,0.33503356,0.01797464,0.31959044,0.39293136,1.56428588,0.11550665,0.31159732
-1.11955978,3.00782227,0.42945211,0.32383495,0.01685055,0.31116388,0.38118432,1.50822733,0.11287171,0.29749074
-1.11355678,2.89767318,0.41303382,0.31253205,0.01578659,0.30242983,0.36856770,1.45010388,0.11024236,0.28291970
-1.10755378,2.78546967,0.39609615,0.30129033,0.01479851,0.29352481,0.35523140,1.39060050,0.10767068,0.26804625
-1.10155078,2.67258596,0.37882670,0.29026464,0.01389956,0.28457801,0.34133481,1.33039800,0.10520269,0.25302965
-1.09554777,2.56032947,0.36141666,0.27959491,0.01310020,0.27570773,0.32704344,1.27015844,0.10287668,0.23802351
-1.08954477,2.44991140,0.34405686,0.26940257,0.01240788,0.26701838,0.31252520,1.21051079,0.10072191,0.22317332
-1.08354177,2.34242096,0.32693376,0.25978791,0.01182694,0.25859816,0.29794645,1.15203761,0.09875770,0.20861412
-1.07753877,2.23880410,0.31022567,0.25082843,0.01135865,0.25051755,0.28346786,1.09526300,0.09699290,0.19446865
-1.07153577,2.13984754,0.29409922,0.24257817,0.01100126,0.24282860,0.26924051,1.04064229,0.09542599,0.18084577
-1.06553277,2.04616857,0.27870612,0.23506800,0.01075023,0.23556502,0.25540217,0.98855409,0.09404541,0.16783940
-1.05952976,1.95821105,0.26418050,0.22830690,0.01059839,0.22874313,0.24207415,0.93929475,0.09283056,0.15552780
-1.05352676,1.87624748,0.25063682,0.22228399,0.01053633,0.22236342,0.22935866,0.89307574,0.09175299,0.14397336
-1.04752376,1.80038709,0.23816835,0.21697121,0.01055275,0.21641277,0.21733716,0.85002391,0.09077800,0.13322286
-1.04152076,1.73058931,0.22684640,0.21232650,0.01063484,0.21086708,0.20606942,0.81018468,0.08986651,0.12330804
-1.03551776,1.66668199,0.21672021,0.20829728,0.01076877,0.20569423,0.19559367,0.77352808,0.08897693,0.11424666
-1.02951476,1.60838336,0.20781743,0.20482399,0.01094010,0.20085703,0.18592762,0.73995721,0.08806725,0.10604387
-1.02351176,1.55532663,0.20014529,0.20184352,0.01113432,0.19631626,0.17707049,0.70931887,0.08709687,0.09869381
-1.01750875,1.50708616,0.19369222,0.19929241,0.01133727,0.19203334,0.16900576,0.68141575,0.08602849,0.09218149
-1.01150575,1.46320380,0.18842990,0.19710954,0.01153562,0.18797273,0.16170471,0.65601975,0.08482960,0.08648473
-1.00550275,1.42321448,0.18431563,0.19523839,0.01171729,0.18410383,0.15513040,0.63288568,0.08347376,0.08157629
-0.99949975,1.38666986,0.18129488,0.19362860,0.01187187,0.18040229,0.14924205,0.61176485,0.08194153,0.07742585
-0.99349675,1.35315925,0.17930399,0.19223703,0.01199092,0.17685085,0.14399942,0.59241796,0.08022102,0.07400206
-0.98749375,1.32232716,0.17827281,0.19102815,0.01206826,0.17343956,0.13936723,0.57462674,0.07830806,0.07127443
-0.98149075,1.29388695,0.17812737,0.18997392,0.01210021,0.17016548,0.13531920,0.55820397,0.07620601,0.06921507
-0.97548774,1.26763053,0.17879235,0.18905325,0.01208570,0.16703197,0.13184161,0.54300159,0.07392532,0.06780024
-0.96948474,1.24343396,0.18019340,0.18825115,0.01202633,0.16404765,0.12893622,0.52891653,0.07148265,0.06701164
-0.96348174,1.22125923,0.18225929,0.18755768,0.01192632,0.16122514,0.12662245,0.51589437,0.06889999,0.06683756
-0.95747874,1.20115253,0.18492385,0.18696691,0.01179246,0.15857971,0.12493862,0.50393061,0.06620344,0.06727364
-0.95147574,1.18323944,0.18812758,0.18647587,0.01163386,0.15612791,0.12394229,0.49306978,0.06342199,0.06832342
-0.94547274,1.16771744,0.19181913,0.18608370,0.01146175,0.15388634,0.12370959,0.48340247,0.06058633,0.06999858
-0.93946973,1.15484638,0.19595638,0.18579108,0.01128909,0.15187064,0.12433359,0.47506047,0.05772763,0.07231886
-0.93346673,1.14493710,0.20050729,0.18559985,0.01113024,0.15009466,0.12592173,0.46821037,0.05487643,0.07531158
