energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
0.89744872,3.73430795,0.64028482,0.00000000,2.76642353,2.44266973,0.10898455,0.47428275
0.90345173,3.74390550,0.65215208,0.00000000,2.75396771,2.44135463,0.11332545,0.47686621
0.90945473,3.73996993,0.66208457,0.00000000,2.72984392,2.43119601,0.11731064,0.47715025
0.91545773,3.72306945,0.66999447,0.00000000,2.69477067,2.41264505,0.12089349,0.47517570
0.92146073,3.69403120,0.67583694,0.00000000,2.64970215,2.38631510,0.12403837,0.47103051
0.92746373,3.65391776,0.67961058,0.00000000,2.59580096,2.35296496,0.12672126,0.46484691
0.93346673,3.60399673,0.68135661,0.00000000,2.53440529,2.31347797,0.12892995,0.45679736
0.93946973,3.54570433,0.68115692,0.00000000,2.46699149,2.26883738,0.13066380,0.44708932
0.94547274,3.48060403,0.67913085,0.00000000,2.39513318,2.22009880,0.13193313,0.43595925
0.95147574,3.41034141,0.67543096,0.00000000,2.32045802,2.16836050,0.13275810,0.42366571
0.95747874,3.33659669,0.67023773,0.00000000,2.24460348,2.11473248,0.13316738,0.41048216
0.96348174,3.26103634,0.66375348,0.00000000,2.16917273,2.06030524,0.13319646,0.39668929
0.96948474,3.18526540,0.65619560,0.00000000,2.09569205,2.00611938,0.13288579,0.38256743
0.97548774,3.11078194,0.64778941,0.00000000,2.02557084,1.95313686,0.13227883,0.36838904
0.98149075,3.03893527,0.63876078,0.00000000,1.96006542,1.90221500,0.13142004,0.35441158
0.98749375,2.97088920,0.62932894,0.00000000,1.90024778,1.85408404,0.13035300,0.34087102
0.99349675,2.90759171,0.61969953,0.00000000,1.84698005,1.80932908,0.12911856,0.32797603
0.99949975,2.84975205,0.61005843,0.00000000,1.80089571,1.76837696,0.12775337,0.31590315
1.00550275,2.79782597,0.60056636,0.00000000,1.76238794,1.73148855,0.12628854,0.30479300
1.01150575,2.75200993,0.59135467,0.00000000,1.73160576,1.69875678,0.12474873,0.29474764
1.01750875,2.71224416,0.58252235,0.00000000,1.70845799,1.67011042,0.12315153,0.28582928
1.02351176,2.67822479,0.57413452,0.00000000,1.69262495,1.64532342,0.12150724,0.27806018
1.02951476,2.64942449,0.56622233,0.00000000,1.68357776,1.62402966,0.11981901,0.27142391
1.03551776,2.62512096,0.55878440,0.00000000,1.68060431,1.60574223,0.11808327,0.26586790
1.04152076,2.60443212,0.55178959,0.00000000,1.68284119,1.58987687,0.11629056,0.26130711
