energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
1.79789895,2.46510615,1.69195209,0.12880118,0.05905407,0.28419348,0.41691731,0.98580093,0.06485532,0.41363389
1.80390195,2.51779644,1.73275210,0.12987943,0.06229462,0.28898990,0.41758943,1.01231976,0.06866130,0.41463917
1.80990495,2.56890413,1.77185469,0.13078717,0.06527521,0.29348300,0.41796488,1.03872598,0.07254070,0.41551288
1.81590795,2.61718477,1.80846340,0.13147867,0.06794251,0.29754838,0.41790864,1.06442791,0.07644429,0.41608883
1.82191096,2.66129927,1.84172419,0.13190688,0.07024717,0.30105289,0.41727144,1.08877678,0.08031667,0.41618769
1.82791396,2.69986027,1.87075427,0.13202543,0.07214539,0.30385971,0.41589730,1.11108827,0.08409752,0.41562427
1.83391696,2.73148245,1.89467347,0.13179060,0.07360029,0.30583390,0.41363154,1.13066662,0.08772311,0.41421535
1.83991996,2.75483456,1.91263675,0.13116317,0.07458311,0.30684803,0.41032874,1.14683023,0.09112795,0.41178761
1.84592296,2.76869088,1.92386651,0.13011022,0.07507418,0.30678769,0.40586018,1.15893756,0.09424664,0.40818528
1.85192596,2.77197990,1.92768328,0.12860659,0.07506361,0.30555669,0.40012068,1.16641222,0.09701582,0.40327715
1.85792896,2.76382787,1.92353324,0.12663607,0.07455167,0.30308162,0.39303417,1.16876599,0.09937604,0.39696262
1.86393197,2.74359555,1.91101161,0.12419226,0.07354882,0.29931562,0.38455805,1.16561887,0.10127366,0.38917647
1.86993497,2.71090652,1.88988087,0.12127906,0.07207544,0.29424128,0.37468607,1.15671514,0.10266255,0.37989231
1.87593797,2.66566593,1.86008291,0.11791079,0.07016121,0.28787244,0.36344960,1.14193479,0.10350562,0.36912428
1.88194097,2.60806906,1.82174497,0.11411186,0.06784422,0.28025483,0.35091741,1.12129992,0.10377605,0.35692731
1.88794397,2.53859953,1.77517891,0.10991626,0.06516986,0.27146572,0.33719393,1.09497575,0.10345820,0.34339571
1.89394697,2.45801752,1.72087426,0.10536656,0.06218943,0.26161237,0.32241627,1.06326654,0.10254820,0.32866027
1.89994997,2.36733871,1.65948528,0.10051279,0.05895870,0.25082957,0.30675008,1.02660652,0.10105411,0.31288417
1.90595298,2.26780508,1.59181286,0.09541103,0.05553634,0.23927635,0.29038452,0.98554651,0.09899574,0.29625776
1.91195598,2.16084919,1.51878201,0.09012195,0.05198241,0.22713190,0.27352669,0.94073685,0.09640405,0.27899256
1.91795898,2.04805342,1.44141610,0.08470918,0.04835681,0.21459106,0.25639573,0.89290754,0.09332025,0.26131481
1.92396198,1.93110611,1.36080892,0.07923776,0.04471791,0.20185953,0.23921680,0.84284657,0.08979458,0.24345879
1.92996498,1.81175635,1.27809562,0.07377257,0.04112130,0.18914877,0.22221528,0.79137724,0.08588479,0.22566026
1.93596798,1.69176922,1.19442380,0.06837687,0.03761874,0.17667115,0.20561137,0.73933562,0.08165453,0.20815019
1.94197099,1.57288290,1.11092555,0.06311101,0.03425737,0.16463513,0.18961518,0.68754881,0.07717154,0.19114912
1.94797399,1.45676918,1.02869155,0.05803124,0.03107904,0.15324084,0.17442256,0.63681480,0.07250578,0.17486219
1.95397699,1.34499830,0.94874776,0.05318881,0.02811998,0.14267603,0.16021158,0.58788457,0.06772768,0.15947510
1.95997999,1.23900887,0.87203540,0.04862913,0.02541064,0.13311247,0.14713982,0.54144675,0.06290632,0.14515090
1.96598299,1.14008349,0.79939438,0.04439128,0.02297572,0.12470295,0.13534237,0.49811522,0.05810791,0.13202776
1.97198599,1.04932996,0.73155061,0.04050757,0.02083441,0.11757864,0.12493058,0.45841961,0.05339434,0.12021763
1.97798899,0.96766829,0.66910697,0.03700339,0.01900073,0.11184711,0.11599131,0.42279882,0.04882203,0.10980573
1.98399200,0.89582299,0.61253784,0.03389718,0.01748400,0.10759067,0.10858686,0.39159726,0.04444098,0.10085077
1.98999500,0.83432036,0.56218714,0.03120053,0.01628941,0.10486529,0.10275522,0.36506368,0.04029414,0.09338582
1.99599800,0.78349015,0.51826922,0.02891841,0.01541855,0.10369984,0.09851073,0.34335221,0.03641700,0.08741967
2.00200100,0.74347104,0.48087257,0.02704948,0.01487007,0.10409578,0.09584502,0.32652532,0.03283745,0.08293858
2.00800400,0.71421944,0.44996575,0.02558655,0.01464019,0.10602724,0.09472813,0.31455844,0.02957587,0.07990832
