energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-5.03951976,5.29000520,1.96369545,1.99223599,0.06192575,0.59113048,0.30522643,0.07741905,2.71280051
-5.03351676,5.28260512,1.96297117,2.01357133,0.06180661,0.58741754,0.30958171,0.07824172,2.69875763
-5.02751376,5.25903053,1.96092065,2.02833994,0.06140184,0.58116536,0.31246318,0.07866015,2.67737436
-5.02151076,5.21859721,1.95749863,2.03612672,0.06070718,0.57239573,0.31380823,0.07865703,2.64820769
-5.01550775,5.16107250,1.95274935,2.03671560,0.05972536,0.56118883,0.31359676,0.07822455,2.61101987
-5.00950475,5.08669702,1.94680517,2.03010426,0.05846624,0.54768074,0.31185242,0.07736472,2.56579395
-5.00350175,4.99618805,1.93988008,2.01651040,0.05694682,0.53205912,0.30864216,0.07608941,2.51274040
-4.99749875,4.89072415,1.93225832,1.99636927,0.05519091,0.51455725,0.30407439,0.07442001,2.45229443
-4.99149575,4.77191161,1.92427894,1.97032225,0.05322867,0.49544668,0.29829570,0.07238673,2.38510410
-4.98549275,4.64173415,1.91631718,1.93919683,0.05109581,0.47502886,0.29148623,0.07002762,2.31200990
-4.97948974,4.50248817,1.90876386,1.90397888,0.04883270,0.45362602,0.28385398,0.06738734,2.23401693
-4.97348674,4.35670682,1.90200429,1.86577831,0.04648327,0.43157178,0.27562827,0.06451567,2.15226101
-4.96748374,4.20707620,1.89639809,1.82578967,0.04409381,0.40920184,0.26705258,0.06146599,2.06797075
-4.96148074,4.05634789,1.89226120,1.78524951,0.04171169,0.38684501,0.25837707,0.05829357,1.98242724
-4.95547774,3.90725161,1.88985157,1.74539233,0.03938405,0.36481514,0.24985102,0.05505399,1.89692359
-4.94947474,3.76241185,1.88935924,1.70740710,0.03715652,0.34340392,0.24171558,0.05180157,1.81272606
-4.94347174,3.62427212,1.89090168,1.67239627,0.03507201,0.32287511,0.23419681,0.04858794,1.73103853
