energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Li_s_up,Li_s_down,S_s_up,S_s_down,S_p_up,S_p_down
5.09954977,0.12157646,-1.58688130,0.00201111,-0.03588922,0.00627524,-0.07323638,0.06061904,-0.33288728,0.00118667,-0.07027919,0.03604818,-1.26564635,0.01323500,-0.06009368,0.00507425,-0.27413723
5.10555278,0.13566961,-1.53909314,0.00219801,-0.03567856,0.00695428,-0.07137760,0.06897423,-0.32213270,0.00129394,-0.06865974,0.03732286,-1.22892298,0.01519841,-0.05790330,0.00510096,-0.26730551
5.11155578,0.15201899,-1.49104602,0.00245563,-0.03551947,0.00774725,-0.06949243,0.07843604,-0.31168234,0.00142447,-0.06700540,0.03947558,-1.19220148,0.01736627,-0.05560475,0.00526380,-0.26021101
5.11755878,0.17048343,-1.44382856,0.00278400,-0.03543690,0.00864519,-0.06763500,0.08897071,-0.30176861,0.00157614,-0.06536222,0.04240344,-1.15631067,0.01973110,-0.05323878,0.00554520,-0.25304180
5.12356178,0.19089625,-1.39843620,0.00318347,-0.03545304,0.00963789,-0.06585482,0.10052784,-0.29259950,0.00174668,-0.06377278,0.04600767,-1.12200051,0.02228078,-0.05084522,0.00592887,-0.24597447
5.12956478,0.21306066,-1.35573828,0.00365443,-0.03558634,0.01071374,-0.06419498,0.11303786,-0.28435255,0.00193363,-0.06227458,0.05019192,-1.08991705,0.02499810,-0.04846182,0.00639943,-0.23916776
5.13556778,0.23674626,-1.31645000,0.00419709,-0.03585082,0.01185951,-0.06269052,0.12641007,-0.27716974,0.00213430,-0.06089860,0.05486079,-1.06058095,0.02786054,-0.04612327,0.00694227,-0.23275690
5.14157079,0.26168694,-1.28111047,0.00481123,-0.03625540,0.01306035,-0.06136726,0.14053133,-0.27115373,0.00234578,-0.05966818,0.05991866,-1.03437084,0.03084019,-0.04386029,0.00754328,-0.22684903
5.14757379,0.28758055,-1.25006768,0.00549592,-0.03680349,0.01429973,-0.06024096,0.15526550,-0.26636538,0.00256486,-0.05859820,0.06526906,-1.01151209,0.03390390,-0.04169893,0.00818873,-0.22151970
5.15357679,0.31409044,-1.22347114,0.00624928,-0.03749281,0.01555965,-0.05931696,0.17045394,-0.26282272,0.00278815,-0.05769461,0.07081446,-0.99207163,0.03701364,-0.03966000,0.00886523,-0.21681093
5.15957979,0.34084902,-1.20127235,0.00706824,-0.03831531,0.01682081,-0.05859020,0.18591681,-0.26050141,0.00301202,-0.05695441,0.07645671,-0.97595908,0.04012707,-0.03775875,0.00955970,-0.21273053
5.16558279,0.36746333,-1.18323309,0.00794833,-0.03925749,0.01806300,-0.05804574,0.20145555,-0.25933665,0.00323272,-0.05636593,0.08209800,-0.96293419,0.04319842,-0.03600479,0.01025949,-0.20925308
5.17158579,0.39352255,-1.16894109,0.00888354,-0.04030071,0.01926547,-0.05765968,0.21685629,-0.25922647,0.00344641,-0.05590956,0.08764244,-0.95262021,0.04617943,-0.03440214,0.01095255,-0.20632215
5.17758879,0.41860715,-1.15783239,0.00986617,-0.04142191,0.02040751,-0.05740039,0.23189413,-0.26003611,0.00364926,-0.05555873,0.09299808,-0.94452268,0.04902064,-0.03294960,0.01162764,-0.20385392
5.18359180,0.44229950,-1.14921911,0.01088682,-0.04259431,0.02146902,-0.05723011,0.24633827,-0.26160354,0.00383756,-0.05528126,0.09807936,-0.93805279,0.05167266,-0.03164116,0.01227468,-0.20174189
5.18959480,0.46419534,-1.14232163,0.01193437,-0.04378834,0.02243110,-0.05710669,0.25995781,-0.26374568,0.00400782,-0.05504089,0.10280982,-0.93255413,0.05408768,-0.03046669,0.01288505,-0.19986239
5.19559780,0.48391592,-1.13630342,0.01299612,-0.04497261,0.02327670,-0.05698557,0.27252787,-0.26626511,0.00415686,-0.05479892,0.10712508,-0.92733176,0.05622088,-0.02941267,0.01345199,-0.19808071
5.20160080,0.50111990,-1.13030710,0.01405792,-0.04611497,0.02399126,-0.05682170,0.28383593,-0.26895704,0.00428194,-0.05451602,0.11097565,-0.92168216,0.05803187,-0.02846301,0.01397096,-0.19625758
5.20760380,0.51551490,-1.12349006,0.01510442,-0.04718351,0.02456328,-0.05657151,0.29368813,-0.27161619,0.00438085,-0.05415389,0.11432980,-0.91492277,0.05948607,-0.02759993,0.01444003,-0.19425554
5.21360680,0.52686778,-1.11505807,0.01611942,-0.04814757,0.02498478,-0.05619470,0.30191520,-0.27404336,0.00445201,-0.05367696,0.11717594,-0.90641974,0.06055585,-0.02680480,0.01486018,-0.19194503
5.21960980,0.53501342,-1.10429549,0.01708623,-0.04897866,0.02525173,-0.05565585,0.30837778,-0.27605145,0.00449449,-0.05305383,0.11952468,-0.89561278,0.06122152,-0.02605897,0.01523556,-0.18920991
5.22561281,0.53986135,-1.09059095,0.01798808,-0.04965124,0.02536432,-0.05492572,0.31297091,-0.27747066,0.00450812,-0.05225849,0.12141021,-0.88203607,0.06147204,-0.02534453,0.01557371,-0.18595219
5.23161581,0.54140010,-1.07345745,0.01880862,-0.05014338,0.02532709,-0.05398233,0.31562754,-0.27815286,0.00449348,-0.05127135,0.12289097,-0.86533431,0.06130547,-0.02464494,0.01588564,-0.18209565
5.23761881,0.53969880,-1.05254634,0.01953240,-0.05043728,0.02514888,-0.05281156,0.31632084,-0.27797483,0.00445189,-0.05007983,0.12404955,-0.84527356,0.06072902,-0.02394554,0.01618576,-0.17758847
5.24362181,0.53490607,-1.02765483,0.02014535,-0.05051964,0.02484271,-0.05140752,0.31506513,-0.27684052,0.00438538,-0.04867872,0.12499164,-0.82174646,0.05975889,-0.02323400,0.01649178,-0.17240458
5.24962481,0.52724614,-0.99872714,0.02063522,-0.05038175,0.02442539,-0.04977246,0.31191566,-0.27468216,0.00429667,-0.04707014,0.12584412,-0.79477194,0.05841973,-0.02250054,0.01682441,-0.16654384
5.25562781,0.51701230,-0.96584948,0.02099202,-0.05001961,0.02391708,-0.04791637,0.30696687,-0.27146043,0.00418904,-0.04526327,0.12675218,-0.76448959,0.05674387,-0.02173805,0.01720691,-0.16003110
5.26163082,0.50455797,-0.92923967,0.02120835,-0.04943372,0.02334068,-0.04585633,0.30034961,-0.26716361,0.00406625,-0.04327371,0.12787559,-0.73114950,0.05477020,-0.02094213,0.01766454,-0.15291423
5.26763382,0.49028575,-0.88923205,0.02127972,-0.04862889,0.02272112,-0.04361555,0.29222707,-0.26180600,0.00393242,-0.04112267,0.12938416,-0.69509796,0.05254301,-0.02011092,0.01822391,-0.14526131
5.27363682,0.47463477,-0.84625883,0.02120465,-0.04761383,0.02208457,-0.04122223,0.28278989,-0.25542566,0.00379189,-0.03883595,0.13145245,-0.65676017,0.05011056,-0.01924496,0.01891213,-0.13715708
5.27963982,0.45806708,-0.80082893,0.02098482,-0.04640074,0.02145761,-0.03870832,0.27225050,-0.24808164,0.00364911,-0.03644280,0.13425399,-0.61662093,0.04752364,-0.01834685,0.01975595,-0.12869898
5.28564282,0.44105328,-0.75350548,0.02062500,-0.04500482,0.02086637,-0.03610819,0.26083700,-0.23985090,0.00350845,-0.03397472,0.13795502,-0.57520413,0.04483408,-0.01742098,0.02078078,-0.11999297
5.29164582,0.42405828,-0.70488304,0.02013297,-0.04344373,0.02033570,-0.03345730,0.24878673,-0.23082500,0.00337410,-0.03146422,0.14270816,-0.53305233,0.04209335,-0.01647313,0.02200971,-0.11114923
5.29764882,0.40752752,-0.65556566,0.01951921,-0.04173704,0.01988834,-0.03079097,0.23634000,-0.22110684,0.00324993,-0.02894371,0.14864595,-0.49070711,0.03935121,-0.01551012,0.02346248,-0.10227809
5.30365183,0.39187423,-0.60614663,0.01879668,-0.03990573,0.01954420,-0.02814321,0.22373394,-0.21080738,0.00313936,-0.02644440,0.15587480,-0.44869112,0.03665457,-0.01453949,0.02515458,-0.09348627
5.30965483,0.37746826,-0.55719060,0.01798036,-0.03797168,0.01931976,-0.02554572,0.21119696,-0.20004259,0.00304528,-0.02399539,0.16446937,-0.40749247,0.03404649,-0.01356909,0.02709630,-0.08487360
5.31565783,0.36462673,-0.50921869,0.01708685,-0.03595716,0.01922756,-0.02302711,0.19894379,-0.18893066,0.00296994,-0.02162292,0.17446771,-0.36755182,0.03156542,-0.01260687,0.02929204,-0.07653031
5.32166083,0.35360701,-0.46269684,0.01613390,-0.03388443,0.01927581,-0.02061225,0.18717148,-0.17758952,0.00291494,-0.01934980,0.18586745,-0.32925264,0.02924469,-0.01166061,0.03173969,-0.06853496
5.32766383,0.34460209,-0.41802760,0.01513991,-0.03177534,0.01946822,-0.01832191,0.17605624,-0.16613462,0.00288114,-0.01719500,0.19862317,-0.29291463,0.02711221,-0.01073770,0.03443032,-0.06095303
5.33366683,0.33773863,-0.37554527,0.01412346,-0.02965097,0.01980398,-0.01617249,0.16575139,-0.15467718,0.00286872,-0.01517346,0.21264518,-0.25879018,0.02519044,-0.00984503,0.03734801,-0.05383617
5.33966983,0.33307760,-0.33551419,0.01310287,-0.02753137,0.02027784,-0.01417607,0.15638635,-0.14332268,0.00287713,-0.01329609,0.22779987,-0.22706388,0.02349652,-0.00898892,0.04047007,-0.04722206
5.34567284,0.33061757,-0.29812995,0.01209577,-0.02543525,0.02088046,-0.01234054,0.14806659,-0.13216981,0.00290519,-0.01156987,0.24391172,-0.19785450,0.02204264,-0.00817506,0.04376751,-0.04113477
