energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-1.62381191,4.02186284,0.20748896,0.68178177,0.00254707,0.05580922,0.24534264,3.20880398,0.01424106,0.13004598
-1.61780890,3.88202590,0.19964973,0.65364501,0.00239152,0.05396318,0.23178806,3.10391479,0.01366089,0.12350802
-1.61180590,3.75423398,0.19250918,0.62790855,0.00224085,0.05231396,0.21895758,3.00816863,0.01310476,0.11759768
-1.60580290,3.64006371,0.18617067,0.60494999,0.00209757,0.05089537,0.20707183,2.92261372,0.01258311,0.11239223
-1.59979990,3.54083122,0.18071773,0.58508200,0.00196392,0.04973580,0.19632833,2.84811758,0.01210600,0.10795764
-1.59379690,3.45757059,0.17621262,0.56854680,0.00184180,0.04885770,0.18689747,2.78535407,0.01168282,0.10434729
-1.58779390,3.39101966,0.17269546,0.55551241,0.00173279,0.04827698,0.17891939,2.73479527,0.01132215,0.10160105
-1.58179090,3.34161236,0.17018401,0.54607084,0.00163809,0.04800273,0.17250193,2.69670754,0.01103152,0.09974453
-1.57578789,3.30947713,0.16867400,0.54023803,0.00155857,0.04803698,0.16771945,2.67115141,0.01081722,0.09878871
-1.56978489,3.29444052,0.16813999,0.53795547,0.00149476,0.04837457,0.16461254,2.65798435,0.01068416,0.09872974
-1.56378189,3.29603523,0.16853668,0.53909329,0.00144687,0.04900321,0.16318848,2.65686605,0.01063576,0.09954899
-1.55777889,3.31351175,0.16980063,0.54345470,0.00141482,0.04990364,0.16342232,2.66726549,0.01067380,0.10121341
-1.55177589,3.34585321,0.17185222,0.55078152,0.00139829,0.05104998,0.16525860,2.68846954,0.01079838,0.10367595
-1.54577289,3.39179284,0.17459792,0.56076068,0.00139668,0.05241013,0.16861336,2.71959294,0.01100784,0.10687630
-1.53976988,3.44983399,0.17793262,0.57303142,0.00140922,0.05394640,0.17337669,2.75958952,0.01129879,0.11074177
-1.53376688,3.51827262,0.18174212,0.58719317,0.00143494,0.05561623,0.17941538,2.80726498,0.01166609,0.11518836
-1.52776388,3.59522240,0.18590557,0.60281376,0.00147272,0.05737306,0.18657595,2.86129144,0.01210291,0.12012205
-1.52176088,3.67864260,0.19029791,0.61943798,0.00152129,0.05916733,0.19468774,2.92022413,0.01260084,0.12544026
-1.51575788,3.76636899,0.19479231,0.63659635,0.00157927,0.06094758,0.20356619,2.98252063,0.01315004,0.13103347
-1.50975488,3.85614792,0.19926240,0.65381388,0.00164515,0.06266167,0.21301631,3.04656287,0.01373940,0.13678712
-1.50375188,3.94567355,0.20358444,0.67061883,0.00171737,0.06425802,0.22283614,3.11068214,0.01435678,0.14258357
-1.49774887,4.03262797,0.20763940,0.68655136,0.00179425,0.06568692,0.23282041,3.17318702,0.01498928,0.14830426
-1.49174587,4.11472391,0.21131482,0.70117184,0.00187407,0.06690179,0.24276420,3.23239399,0.01562353,0.15383196
-1.48574287,4.18974923,0.21450656,0.71406888,0.00195503,0.06786047,0.25246663,3.28666017,0.01624604,0.15905309
-1.47973987,4.25561214,0.21712041,0.72486675,0.00203535,0.06852629,0.26173455,3.33441759,0.01684350,0.16386004
-1.47373687,4.31038616,0.21907346,0.73323224,0.00211321,0.06886917,0.27038612,3.37420774,0.01740319,0.16815342
-1.46773387,4.35235308,0.22029535,0.73888073,0.00218681,0.06886635,0.27825420,3.40471555,0.01791332,0.17184423
-1.46173087,4.38004280,0.22072934,0.74158132,0.00225441,0.06850307,0.28518957,3.42480125,0.01836330,0.17485573
-1.45572786,4.39226810,0.22033306,0.74116089,0.00231437,0.06777295,0.29106367,3.43352904,0.01874413,0.17712513
-1.44972486,4.38815321,0.21907917,0.73750701,0.00236514,0.06667805,0.29577099,3.43019112,0.01904858,0.17860491
-1.44372186,4.36715466,0.21695561,0.73056952,0.00240533,0.06522877,0.29923093,3.41432601,0.01927140,0.17926370
-1.43771886,4.32907336,0.21396572,0.72036082,0.00243377,0.06344343,0.30138898,3.38573024,0.01940949,0.17908680
-1.43171586,4.27405731,0.21012798,0.70695465,0.00244947,0.06134758,0.30221732,3.34446268,0.01946190,0.17807618
-1.42571286,4.20259451,0.20547546,0.69048351,0.00245172,0.05897315,0.30171466,3.29084113,0.01942988,0.17625002
-1.41970985,4.11549613,0.20005501,0.67113483,0.00244007,0.05635737,0.29990544,3.22543128,0.01931670,0.17364185
-1.41370685,4.01387057,0.19392610,0.64914566,0.00241438,0.05354158,0.29683828,3.14902828,0.01912761,0.17029918
-1.40770385,3.89908924,0.18715942,0.62479650,0.00237476,0.05056996,0.29258387,3.06263158,0.01886949,0.16628186
-1.40170085,3.77274544,0.17983524,0.59840401,0.00232166,0.04748816,0.28723232,2.96741420,0.01855069,0.16166009
-1.39569785,3.63660798,0.17204150,0.57031314,0.00225578,0.04434202,0.28089003,2.86468755,0.01818065,0.15651219
-1.38969485,3.49257129,0.16387182,0.54088878,0.00217808,0.04117635,0.27367629,2.75586331,0.01776957,0.15092233
-1.38369185,3.34260410,0.15542336,0.51050725,0.00208976,0.03803378,0.26571975,2.64241392,0.01732812,0.14497814
-1.37768884,3.18869860,0.14679464,0.47954794,0.00199220,0.03495375,0.25715477,2.52583323,0.01686701,0.13876840
-1.37168584,3.03282214,0.13808349,0.44838535,0.00188694,0.03197177,0.24811798,2.40759895,0.01639678,0.13238092
-1.36568284,2.87687298,0.12938495,0.41738174,0.00177562,0.02911875,0.23874501,2.28913811,0.01592741,0.12590057
