energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
3.77888944,0.70847313,-0.70847317,0.30300170,-0.30300171,0.00000000,-0.00000000,0.38554597,-0.38554599,0.16837531,-0.16837532,0.00579899,-0.00579899,0.21807392,-0.21807393
3.78489245,0.76181467,-0.76181471,0.31083998,-0.31083999,0.00000000,-0.00000000,0.42530844,-0.42530847,0.18159992,-0.18159993,0.00601715,-0.00601715,0.24051772,-0.24051774
3.79089545,0.82147570,-0.82147575,0.32092391,-0.32092392,0.00000000,-0.00000000,0.46884328,-0.46884332,0.19630583,-0.19630585,0.00631976,-0.00631976,0.26505213,-0.26505215
3.79689845,0.88707384,-0.88707389,0.33328154,-0.33328156,0.00000000,-0.00000000,0.51583106,-0.51583109,0.21237520,-0.21237522,0.00670526,-0.00670526,0.29145372,-0.29145374
3.80290145,0.95807521,-0.95807527,0.34789758,-0.34789759,0.00000000,-0.00000000,0.56585271,-0.56585274,0.22965412,-0.22965413,0.00717122,-0.00717122,0.31944689,-0.31944691
3.80890445,1.03379888,-1.03379895,0.36471531,-0.36471533,0.00000000,-0.00000000,0.61839109,-0.61839113,0.24795413,-0.24795415,0.00771422,-0.00771422,0.34870621,-0.34870624
3.81490745,1.11342689,-1.11342695,0.38364051,-0.38364053,0.00000000,-0.00000000,0.67283605,-0.67283609,0.26705513,-0.26705514,0.00832997,-0.00832997,0.37886065,-0.37886067
3.82091046,1.19601988,-1.19601995,0.40454678,-0.40454680,0.00000000,-0.00000000,0.72849317,-0.72849321,0.28670950,-0.28670952,0.00901328,-0.00901328,0.40949971,-0.40949973
3.82691346,1.28053825,-1.28053832,0.42728245,-0.42728248,0.00000000,-0.00000000,0.78459626,-0.78459630,0.30664765,-0.30664766,0.00975815,-0.00975815,0.44018146,-0.44018148
3.83291646,1.36586807,-1.36586813,0.45167839,-0.45167842,0.00000000,-0.00000000,0.84032334,-0.84032338,0.32658451,-0.32658453,0.01055783,-0.01055783,0.47044226,-0.47044229
3.83891946,1.45085108,-1.45085114,0.47755650,-0.47755652,0.00000000,-0.00000000,0.89481579,-0.89481583,0.34622713,-0.34622715,0.01140495,-0.01140495,0.49980796,-0.49980798
3.84492246,1.53431767,-1.53431773,0.50473834,-0.50473837,0.00000000,-0.00000000,0.94720001,-0.94720005,0.36528275,-0.36528276,0.01229166,-0.01229167,0.52780610,-0.52780612
3.85092546,1.61512140,-1.61512146,0.53305347,-0.53305349,0.00000000,-0.00000000,0.99661087,-0.99661090,0.38346728,-0.38346729,0.01320976,-0.01320976,0.55397883,-0.55397885
3.85692846,1.69217366,-1.69217371,0.56234691,-0.56234694,0.00000000,-0.00000000,1.04221598,-1.04221601,0.40051372,-0.40051373,0.01415086,-0.01415086,0.57789582,-0.57789584
3.86293147,1.76447684,-1.76447690,0.59248541,-0.59248544,0.00000000,-0.00000000,1.08323996,-1.08323999,0.41618012,-0.41618013,0.01510659,-0.01510659,0.59916673,-0.59916675
3.86893447,1.83115458,-1.83115463,0.62336196,-0.62336199,0.00000000,-0.00000000,1.11898735,-1.11898738,0.43025676,-0.43025677,0.01606872,-0.01606872,0.61745269,-0.61745270
3.87493747,1.89147745,-1.89147749,0.65489839,-0.65489842,0.00000000,-0.00000000,1.14886347,-1.14886348,0.44257217,-0.44257218,0.01702937,-0.01702937,0.63247612,-0.63247614
3.88094047,1.94488294,-1.94488298,0.68704582,-0.68704584,0.00000000,-0.00000000,1.17239199,-1.17239200,0.45299775,-0.45299776,0.01798114,-0.01798114,0.64402864,-0.64402864
3.88694347,1.99098884,-1.99098887,0.71978281,-0.71978283,0.00000000,-0.00000000,1.18922868,-1.18922869,0.46145069,-0.46145070,0.01891720,-0.01891720,0.65197641,-0.65197641
