energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,W_p_up,W_d_up
4.26513257,0.57077780,0.04731985,0.11075955,0.09838303,0.03487539,0.01797082,0.05064173,0.25483951,0.28458489
4.27113557,0.54491281,0.04602192,0.10833003,0.09359517,0.03431722,0.01688862,0.04692662,0.24450483,0.26972420
4.27713857,0.52533467,0.04515735,0.10688087,0.09003937,0.03410268,0.01608295,0.04407606,0.23701127,0.25806487
4.28314157,0.51125973,0.04466823,0.10628082,0.08754696,0.03417713,0.01551326,0.04196624,0.23198575,0.24923131
4.28914457,0.50187234,0.04449327,0.10638795,0.08594864,0.03448450,0.01514011,0.04047769,0.22904141,0.24283075
4.29514757,0.49633957,0.04456882,0.10705287,0.08507675,0.03496814,0.01492551,0.03949657,0.22778500,0.23846068
4.30115058,0.49382680,0.04483014,0.10812229,0.08476769,0.03557174,0.01483335,0.03891578,0.22782434,0.23571656
4.30715358,0.49351386,0.04521273,0.10944266,0.08486430,0.03624036,0.01482974,0.03863594,0.22877606,0.23419979
4.31315658,0.49461114,0.04565371,0.11086403,0.08521825,0.03692146,0.01488335,0.03856622,0.23027306,0.23352561
4.31915958,0.49637536,0.04609333,0.11224375,0.08569241,0.03756595,0.01496569,0.03862507,0.23197182,0.23333075
4.32516258,0.49812431,0.04647627,0.11345005,0.08616298,0.03812918,0.01505137,0.03874085,0.23355916,0.23328055
4.33116558,0.49925028,0.04675304,0.11436531,0.08652150,0.03857187,0.01511834,0.03885227,0.23475829,0.23307535
4.33716858,0.49923147,0.04688107,0.11488885,0.08667656,0.03886091,0.01514802,0.03890879,0.23533404,0.23245592
4.34317159,0.49764132,0.04682572,0.11493927,0.08655513,0.03897004,0.01512543,0.03887081,0.23509696,0.23120781
4.34917459,0.49415509,0.04656103,0.11445615,0.08610361,0.03888029,0.01503924,0.03870978,0.23390626,0.22916435
4.35517759,0.48855382,0.04607019,0.11340107,0.08528837,0.03858030,0.01488178,0.03840814,0.23167142,0.22620835
4.36118059,0.48072532,0.04534586,0.11175801,0.08409593,0.03806638,0.01464893,0.03795903,0.22835251,0.22227238
4.36718359,0.47066239,0.04439012,0.10953293,0.08253267,0.03734238,0.01434001,0.03736596,0.22395911,0.21733765
4.37318659,0.45845839,0.04321429,0.10675287,0.08062421,0.03641937,0.01395758,0.03664227,0.21854798,0.21143163
4.37918959,0.44430035,0.04183846,0.10346424,0.07841436,0.03531512,0.01350716,0.03581043,0.21221954,0.20462446
