energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
3.84492246,0.59888559,0.40048041,0.02107039,0.26969595,0.00003707,0.03133875,0.16497806
3.85092546,0.59979110,0.39785212,0.02114986,0.28013056,0.00003878,0.03120921,0.16156702
3.85692846,0.60424110,0.39752391,0.02133853,0.29130689,0.00004066,0.03125771,0.15945742
3.86293147,0.61236216,0.39966642,0.02164169,0.30325519,0.00004270,0.03147358,0.15865876
3.86893447,0.62424635,0.40444014,0.02206411,0.31601006,0.00004493,0.03184132,0.15915913
3.87493747,0.63994528,0.41198776,0.02260972,0.32960612,0.00004734,0.03234101,0.16092622
3.88094047,0.65946407,0.42242616,0.02328125,0.34407320,0.00004994,0.03294900,0.16390836
3.88694347,0.68275551,0.43583863,0.02407986,0.35943137,0.00005274,0.03363863,0.16803575
3.89294647,0.70971481,0.45226752,0.02500478,0.37568624,0.00005574,0.03438106,0.17322165
3.89894947,0.74017533,0.47170793,0.02605301,0.39282491,0.00005892,0.03514617,0.17936369
3.90495248,0.77390571,0.49410274,0.02721903,0.41081270,0.00006227,0.03590348,0.18634519
3.91095548,0.81060877,0.51933952,0.02849465,0.42959130,0.00006578,0.03662299,0.19403662
3.91695848,0.84992272,0.54724953,0.02986895,0.44907826,0.00006942,0.03727611,0.20229720
3.92296148,0.89142473,0.57760919,0.03132828,0.46916822,0.00007315,0.03783641,0.21097664
3.92896448,0.93463723,0.61014416,0.03285650,0.48973574,0.00007695,0.03828032,0.21991719
3.93496748,0.97903704,0.64453602,0.03443526,0.51063982,0.00008077,0.03858770,0.22895598
3.94097049,1.02406706,0.68043150,0.03604445,0.53172978,0.00008457,0.03874232,0.23792761
3.94697349,1.06915041,0.71745405,0.03766277,0.55285217,0.00008830,0.03873211,0.24666710
3.95297649,1.11370650,0.75521713,0.03926840,0.57385842,0.00009191,0.03854938,0.25501315
3.95897949,1.15716851,0.79333888,0.04083967,0.59461258,0.00009537,0.03819082,0.26281158
3.96498249,1.19900146,0.83145741,0.04235588,0.61499860,0.00009863,0.03765735,0.26991891
3.97098549,1.23872001,0.86924581,0.04379800,0.63492664,0.00010166,0.03695394,0.27620599
3.97698849,1.27590520,0.90642625,0.04514941,0.65433784,0.00010444,0.03608927,0.28156149
3.98299150,1.31021900,0.94278205,0.04639646,0.67320705,0.00010694,0.03507524,0.28589510
3.98899450,1.34141603,0.97816727,0.04752899,0.69154319,0.00010917,0.03392655,0.28914030
3.99499750,1.36935139,1.01251268,0.04854067,0.70938705,0.00011112,0.03266015,0.29125650
4.00100050,1.39398431,1.04582799,0.04942911,0.72680642,0.00011282,0.03129465,0.29223049
4.00700350,1.41537689,1.07819960,0.05019581,0.74388886,0.00011428,0.02984980,0.29207692
4.01300650,1.43368811,1.10978402,0.05084595,0.76073224,0.00011554,0.02834593,0.29083791
4.01900950,1.44916289,1.14079685,0.05138791,0.77743371,0.00011666,0.02680343,0.28858167
4.02501251,1.46211695,1.17149788,0.05183270,0.79407772,0.00011768,0.02524233,0.28540007
4.03101551,1.47291788,1.20217281,0.05219317,0.81072383,0.00011865,0.02368178,0.28140533
4.03701851,1.48196349,1.23311248,0.05248324,0.82739515,0.00011963,0.02213980,0.27672596
4.04302151,1.48965847,1.26459070,0.05271694,0.84406825,0.00012068,0.02063290,0.27150193
4.04902451,1.49639066,1.29684175,0.05290756,0.86066524,0.00012185,0.01917591,0.26587954
4.05502751,1.50250814,1.33003894,0.05306678,0.87704881,0.00012319,0.01778173,0.26000593
4.06103052,1.50829851,1.36427524,0.05320399,0.89302058,0.00012472,0.01646129,0.25402369
4.06703352,1.51397147,1.39954743,0.05332559,0.90832319,0.00012648,0.01522346,0.24806578
4.07303652,1.51964574,1.43574455,0.05343468,0.92264609,0.00012847,0.01407505,0.24225085
4.07903952,1.52534105,1.47264159,0.05353075,0.93563500,0.00013070,0.01302087,0.23667935
4.08504252,1.53097579,1.50989901,0.05360972,0.94690453,0.00013315,0.01206382,0.23143053
4.09104552,1.53637033,1.54706821,0.05366414,0.95605341,0.00013579,0.01120503,0.22656050
4.09704852,1.54125607,1.58360312,0.05368357,0.96268160,0.00013858,0.01044401,0.22210125
4.10305153,1.54528954,1.61887736,0.05365521,0.96640826,0.00014145,0.00977888,0.21806102
4.10905453,1.54807100,1.65220648,0.05356457,0.96688973,0.00014436,0.00920655,0.21442556
4.11505753,1.54916642,1.68287421,0.05339637,0.96383649,0.00014723,0.00872299,0.21116047
4.12106053,1.54813172,1.71016165,0.05313534,0.95702814,0.00014999,0.00832345,0.20821443
4.12706353,1.54453796,1.73337811,0.05276720,0.94632569,0.00015257,0.00800276,0.20552306
4.13306653,1.53799621,1.75189213,0.05227944,0.93168038,0.00015489,0.00775549,0.20301323
4.13906953,1.52818074,1.76516121,0.05166215,0.91313870,0.00015689,0.00757624,0.20060771
4.14507254,1.51484944,1.77275893,0.05090860,0.89084326,0.00015853,0.00745984,0.19822974
